,asofdate,pnl
0,1971-01-13 01:00:00+00:00,0.0
1,1971-01-14 01:00:00+00:00,0.0
2,1971-01-15 01:00:00+00:00,0.0
3,1971-01-18 01:00:00+00:00,0.0
4,1971-01-19 01:00:00+00:00,0.0
5,1971-01-20 01:00:00+00:00,
6,1971-01-21 01:00:00+00:00,
7,1971-01-22 01:00:00+00:00,
8,1971-01-25 01:00:00+00:00,
9,1971-01-26 01:00:00+00:00,
10,1971-01-27 01:00:00+00:00,0.75
11,1971-01-28 01:00:00+00:00,-1.375
12,1971-01-29 01:00:00+00:00,-0.375
13,1971-02-01 01:00:00+00:00,0.25
14,1971-02-02 01:00:00+00:00,-0.375
15,1971-02-03 01:00:00+00:00,-1.0
16,1971-02-04 01:00:00+00:00,0.5
17,1971-02-05 01:00:00+00:00,0.25
18,1971-02-08 01:00:00+00:00,1.625
19,1971-02-09 01:00:00+00:00,1.75
20,1971-02-10 01:00:00+00:00,3.0
21,1971-02-11 01:00:00+00:00,3.5
22,1971-02-12 01:00:00+00:00,3.375
23,1971-02-16 01:00:00+00:00,1.875
24,1971-02-17 01:00:00+00:00,0.875
25,1971-02-18 01:00:00+00:00,0.625
26,1971-02-19 01:00:00+00:00,-0.875
27,1971-02-22 01:00:00+00:00,0.25
28,1971-02-23 01:00:00+00:00,-1.125
29,1971-02-24 01:00:00+00:00,1.25
30,1971-02-25 01:00:00+00:00,0.375
31,1971-02-26 01:00:00+00:00,1.25
32,1971-03-01 01:00:00+00:00,1.125
33,1971-03-02 01:00:00+00:00,3.125
34,1971-03-03 01:00:00+00:00,2.125
35,1971-03-04 01:00:00+00:00,-1.75
36,1971-03-05 01:00:00+00:00,-1.0
37,1971-03-08 01:00:00+00:00,-1.25
38,1971-03-09 01:00:00+00:00,-0.375
39,1971-03-10 01:00:00+00:00,-1.625
40,1971-03-11 01:00:00+00:00,2.0
41,1971-03-12 01:00:00+00:00,2.25
42,1971-03-15 01:00:00+00:00,1.875
43,1971-03-16 01:00:00+00:00,-1.125
44,1971-03-17 01:00:00+00:00,-2.875
45,1971-03-18 01:00:00+00:00,-2.375
46,1971-03-19 01:00:00+00:00,-2.375
47,1971-03-22 01:00:00+00:00,-2.25
48,1971-03-23 01:00:00+00:00,0.75
49,1971-03-24 01:00:00+00:00,0.75
50,1971-03-25 01:00:00+00:00,0.875
51,1971-03-26 01:00:00+00:00,1.5
52,1971-03-29 01:00:00+00:00,1.0
53,1971-03-30 01:00:00+00:00,0.125
54,1971-03-31 01:00:00+00:00,3.25
55,1971-04-01 01:00:00+00:00,3.5
56,1971-04-02 01:00:00+00:00,3.625
57,1971-04-05 01:00:00+00:00,4.75
58,1971-04-06 01:00:00+00:00,5.625
59,1971-04-07 01:00:00+00:00,1.5
60,1971-04-08 01:00:00+00:00,-1.5
61,1971-04-12 01:00:00+00:00,-0.875
62,1971-04-13 01:00:00+00:00,-0.5
63,1971-04-14 01:00:00+00:00,-1.5
64,1971-04-15 01:00:00+00:00,-3.0
65,1971-04-16 01:00:00+00:00,-2.125
66,1971-04-19 01:00:00+00:00,-1.25
67,1971-04-20 01:00:00+00:00,-1.75
68,1971-04-21 01:00:00+00:00,0.25
69,1971-04-22 01:00:00+00:00,0.125
70,1971-04-23 01:00:00+00:00,-0.625
71,1971-04-26 00:00:00+00:00,-2.125
72,1971-04-27 00:00:00+00:00,-2.375
73,1971-04-28 00:00:00+00:00,-3.0
74,1971-04-29 00:00:00+00:00,-3.0
75,1971-04-30 00:00:00+00:00,-0.125
76,1971-05-03 00:00:00+00:00,2.375
77,1971-05-04 00:00:00+00:00,1.875
78,1971-05-05 00:00:00+00:00,3.125
79,1971-05-06 00:00:00+00:00,2.75
80,1971-05-07 00:00:00+00:00,-3.5
81,1971-05-10 00:00:00+00:00,-5.625
82,1971-05-11 00:00:00+00:00,-4.5
83,1971-05-12 00:00:00+00:00,-5.125
84,1971-05-13 00:00:00+00:00,-5.0
85,1971-05-14 00:00:00+00:00,0.375
86,1971-05-17 00:00:00+00:00,-2.25
87,1971-05-18 00:00:00+00:00,0.375
88,1971-05-19 00:00:00+00:00,-1.125
89,1971-05-20 00:00:00+00:00,-2.125
90,1971-05-21 00:00:00+00:00,-0.5
91,1971-05-24 00:00:00+00:00,-1.5
92,1971-05-25 00:00:00+00:00,0.25
93,1971-05-26 00:00:00+00:00,0.5
94,1971-05-27 00:00:00+00:00,-0.875
95,1971-05-28 00:00:00+00:00,1.25
96,1971-06-01 00:00:00+00:00,2.5
97,1971-06-02 00:00:00+00:00,1.125
98,1971-06-03 00:00:00+00:00,0.25
99,1971-06-04 00:00:00+00:00,0.875
100,1971-06-07 00:00:00+00:00,1.25
101,1971-06-08 00:00:00+00:00,0.125
102,1971-06-09 00:00:00+00:00,3.5
103,1971-06-10 00:00:00+00:00,3.625
104,1971-06-11 00:00:00+00:00,4.125
105,1971-06-14 00:00:00+00:00,3.625
106,1971-06-15 00:00:00+00:00,4.125
107,1971-06-16 00:00:00+00:00,1.0
108,1971-06-17 00:00:00+00:00,2.875
109,1971-06-18 00:00:00+00:00,2.125
110,1971-06-21 00:00:00+00:00,-0.375
111,1971-06-22 00:00:00+00:00,-0.875
112,1971-06-23 00:00:00+00:00,-5.75
113,1971-06-24 00:00:00+00:00,-8.375
114,1971-06-25 00:00:00+00:00,-8.25
115,1971-06-28 00:00:00+00:00,-7.625
116,1971-06-29 00:00:00+00:00,-6.375
117,1971-06-30 00:00:00+00:00,-5.875
118,1971-07-01 00:00:00+00:00,0.5
119,1971-07-02 00:00:00+00:00,0.5
120,1971-07-06 00:00:00+00:00,3.375
121,1971-07-07 00:00:00+00:00,0.25
122,1971-07-08 00:00:00+00:00,4.625
123,1971-07-09 00:00:00+00:00,3.0
124,1971-07-12 00:00:00+00:00,1.5
125,1971-07-13 00:00:00+00:00,-0.5
126,1971-07-14 00:00:00+00:00,2.75
127,1971-07-15 00:00:00+00:00,3.75
128,1971-07-16 00:00:00+00:00,2.625
129,1971-07-19 00:00:00+00:00,4.25
130,1971-07-20 00:00:00+00:00,-5.5
131,1971-07-21 00:00:00+00:00,-5.125
132,1971-07-22 00:00:00+00:00,-2.375
133,1971-07-23 00:00:00+00:00,-6.125
134,1971-07-26 00:00:00+00:00,-7.75
135,1971-07-27 00:00:00+00:00,2.625
136,1971-07-28 00:00:00+00:00,-1.25
137,1971-07-29 00:00:00+00:00,1.875
138,1971-07-30 00:00:00+00:00,-1.875
139,1971-08-02 00:00:00+00:00,-3.0
140,1971-08-03 00:00:00+00:00,0.5
141,1971-08-04 00:00:00+00:00,7.0
142,1971-08-05 00:00:00+00:00,5.0
143,1971-08-06 00:00:00+00:00,7.125
144,1971-08-09 00:00:00+00:00,6.125
145,1971-08-10 00:00:00+00:00,7.875
146,1971-08-11 00:00:00+00:00,7.0
147,1971-08-12 00:00:00+00:00,7.125
148,1971-08-13 00:00:00+00:00,6.75
149,1971-08-16 00:00:00+00:00,10.375
150,1971-08-17 00:00:00+00:00,7.25
151,1971-08-18 00:00:00+00:00,5.875
152,1971-08-19 00:00:00+00:00,8.75
153,1971-08-20 00:00:00+00:00,9.0
154,1971-08-23 00:00:00+00:00,3.875
155,1971-08-24 00:00:00+00:00,4.0
156,1971-08-25 00:00:00+00:00,4.25
157,1971-08-26 00:00:00+00:00,0.25
158,1971-08-27 00:00:00+00:00,-2.0
159,1971-08-30 00:00:00+00:00,1.375
160,1971-08-31 00:00:00+00:00,-0.875
161,1971-09-01 00:00:00+00:00,-2.25
162,1971-09-02 00:00:00+00:00,-1.0
163,1971-09-03 00:00:00+00:00,-0.0
164,1971-09-07 00:00:00+00:00,-0.0
165,1971-09-08 00:00:00+00:00,-3.25
166,1971-09-09 00:00:00+00:00,-5.125
167,1971-09-10 00:00:00+00:00,-6.875
168,1971-09-13 00:00:00+00:00,-7.125
169,1971-09-14 00:00:00+00:00,-6.125
170,1971-09-15 00:00:00+00:00,3.375
171,1971-09-16 00:00:00+00:00,0.5
172,1971-09-17 00:00:00+00:00,-3.625
173,1971-09-20 00:00:00+00:00,-2.625
174,1971-09-21 00:00:00+00:00,-1.75
175,1971-09-22 00:00:00+00:00,1.125
176,1971-09-23 00:00:00+00:00,2.0
177,1971-09-24 00:00:00+00:00,4.0
178,1971-09-27 00:00:00+00:00,5.25
179,1971-09-28 00:00:00+00:00,3.75
180,1971-09-29 00:00:00+00:00,3.0
181,1971-09-30 00:00:00+00:00,4.125
182,1971-10-01 00:00:00+00:00,4.625
183,1971-10-04 00:00:00+00:00,2.875
184,1971-10-05 00:00:00+00:00,2.0
185,1971-10-06 00:00:00+00:00,-0.875
186,1971-10-07 00:00:00+00:00,-1.125
187,1971-10-08 00:00:00+00:00,-0.375
188,1971-10-11 00:00:00+00:00,0.375
189,1971-10-12 00:00:00+00:00,-1.125
190,1971-10-13 00:00:00+00:00,-1.25
191,1971-10-14 00:00:00+00:00,-0.375
192,1971-10-15 00:00:00+00:00,0.25
193,1971-10-18 00:00:00+00:00,-0.625
194,1971-10-19 00:00:00+00:00,0.125
195,1971-10-20 00:00:00+00:00,1.5
196,1971-10-21 00:00:00+00:00,1.0
197,1971-10-22 00:00:00+00:00,0.875
198,1971-10-25 00:00:00+00:00,1.625
199,1971-10-26 00:00:00+00:00,1.625
200,1971-10-27 00:00:00+00:00,0.75
201,1971-10-28 00:00:00+00:00,-0.5
202,1971-10-29 00:00:00+00:00,-1.875
203,1971-11-01 01:00:00+00:00,-2.25
204,1971-11-02 01:00:00+00:00,-1.625
205,1971-11-03 01:00:00+00:00,-4.625
206,1971-11-04 01:00:00+00:00,-5.125
207,1971-11-05 01:00:00+00:00,-2.125
208,1971-11-08 01:00:00+00:00,-0.625
209,1971-11-09 01:00:00+00:00,0.375
210,1971-11-10 01:00:00+00:00,-2.75
211,1971-11-11 01:00:00+00:00,-3.375
212,1971-11-12 01:00:00+00:00,-2.5
213,1971-11-15 01:00:00+00:00,-2.625
214,1971-11-16 01:00:00+00:00,-1.375
215,1971-11-17 01:00:00+00:00,0.875
216,1971-11-18 01:00:00+00:00,1.25
217,1971-11-19 01:00:00+00:00,-0.375
218,1971-11-22 01:00:00+00:00,-1.625
219,1971-11-23 01:00:00+00:00,-1.0
220,1971-11-24 01:00:00+00:00,0.25
221,1971-11-26 01:00:00+00:00,0.375
222,1971-11-29 01:00:00+00:00,-0.625
223,1971-11-30 01:00:00+00:00,-1.75
224,1971-12-01 01:00:00+00:00,-1.5
225,1971-12-02 01:00:00+00:00,-0.0
226,1971-12-03 01:00:00+00:00,0.5
227,1971-12-06 01:00:00+00:00,0.875
228,1971-12-07 01:00:00+00:00,-0.125
229,1971-12-08 01:00:00+00:00,-1.25
230,1971-12-09 01:00:00+00:00,0.875
231,1971-12-10 01:00:00+00:00,1.0
232,1971-12-13 01:00:00+00:00,0.375
233,1971-12-14 01:00:00+00:00,-0.125
234,1971-12-15 01:00:00+00:00,-0.125
235,1971-12-16 01:00:00+00:00,0.375
236,1971-12-17 01:00:00+00:00,2.5
237,1971-12-20 01:00:00+00:00,3.5
238,1971-12-21 01:00:00+00:00,3.0
239,1971-12-22 01:00:00+00:00,2.25
240,1971-12-23 01:00:00+00:00,-2.875
241,1971-12-27 01:00:00+00:00,-1.125
242,1971-12-28 01:00:00+00:00,-1.5
243,1971-12-29 01:00:00+00:00,-1.25
244,1971-12-30 01:00:00+00:00,-1.75
245,1972-01-03 01:00:00+00:00,-0.625
246,1972-01-04 01:00:00+00:00,-0.375
247,1972-01-05 01:00:00+00:00,-1.625
248,1972-01-06 01:00:00+00:00,-1.25
249,1972-01-07 01:00:00+00:00,-1.875
250,1972-01-10 01:00:00+00:00,0.875
251,1972-01-11 01:00:00+00:00,1.5
252,1972-01-12 01:00:00+00:00,0.625
253,1972-01-13 01:00:00+00:00,-0.5
254,1972-01-14 01:00:00+00:00,-1.25
255,1972-01-17 01:00:00+00:00,0.125
256,1972-01-18 01:00:00+00:00,0.125
257,1972-01-19 01:00:00+00:00,-0.125
258,1972-01-20 01:00:00+00:00,0.375
259,1972-01-21 01:00:00+00:00,0.75
260,1972-01-24 01:00:00+00:00,-0.125
261,1972-01-25 01:00:00+00:00,-0.25
262,1972-01-26 01:00:00+00:00,-2.5
263,1972-01-27 01:00:00+00:00,-2.125
264,1972-01-28 01:00:00+00:00,-1.75
265,1972-01-31 01:00:00+00:00,-0.375
266,1972-02-01 01:00:00+00:00,-0.75
267,1972-02-02 01:00:00+00:00,1.125
268,1972-02-03 01:00:00+00:00,1.0
269,1972-02-04 01:00:00+00:00,0.125
270,1972-02-07 01:00:00+00:00,0.875
271,1972-02-08 01:00:00+00:00,-0.75
272,1972-02-09 01:00:00+00:00,0.625
273,1972-02-10 01:00:00+00:00,0.75
274,1972-02-11 01:00:00+00:00,-0.25
275,1972-02-14 01:00:00+00:00,0.125
276,1972-02-15 01:00:00+00:00,0.75
277,1972-02-16 01:00:00+00:00,-1.125
278,1972-02-17 01:00:00+00:00,-0.5
279,1972-02-18 01:00:00+00:00,0.375
280,1972-02-22 01:00:00+00:00,0.25
281,1972-02-23 01:00:00+00:00,1.25
282,1972-02-24 01:00:00+00:00,2.0
283,1972-02-25 01:00:00+00:00,1.375
284,1972-02-28 01:00:00+00:00,1.25
285,1972-02-29 01:00:00+00:00,0.875
286,1972-03-01 01:00:00+00:00,0.75
287,1972-03-02 01:00:00+00:00,0.5
288,1972-03-03 01:00:00+00:00,0.375
289,1972-03-06 01:00:00+00:00,0.5
290,1972-03-07 01:00:00+00:00,-0.625
291,1972-03-08 01:00:00+00:00,-0.625
292,1972-03-09 01:00:00+00:00,-0.625
293,1972-03-10 01:00:00+00:00,-0.875
294,1972-03-13 01:00:00+00:00,-0.75
295,1972-03-14 01:00:00+00:00,-1.875
296,1972-03-15 01:00:00+00:00,-0.5
297,1972-03-16 01:00:00+00:00,0.25
298,1972-03-17 01:00:00+00:00,0.0
299,1972-03-20 01:00:00+00:00,0.75
300,1972-03-21 01:00:00+00:00,-2.0
301,1972-03-22 01:00:00+00:00,-1.25
302,1972-03-23 01:00:00+00:00,-1.5
303,1972-03-24 01:00:00+00:00,-2.5
304,1972-03-27 01:00:00+00:00,-1.75
305,1972-03-28 01:00:00+00:00,0.875
306,1972-03-29 01:00:00+00:00,1.375
307,1972-03-30 01:00:00+00:00,0.0
308,1972-04-03 01:00:00+00:00,-1.0
309,1972-04-04 01:00:00+00:00,-1.25
310,1972-04-05 01:00:00+00:00,0.375
311,1972-04-06 01:00:00+00:00,1.0
312,1972-04-07 01:00:00+00:00,-0.0
313,1972-04-10 01:00:00+00:00,-1.0
314,1972-04-11 01:00:00+00:00,-1.0
315,1972-04-12 01:00:00+00:00,0.875
316,1972-04-13 01:00:00+00:00,0.875
317,1972-04-14 01:00:00+00:00,0.0
318,1972-04-17 01:00:00+00:00,-1.125
319,1972-04-18 01:00:00+00:00,-0.25
320,1972-04-19 01:00:00+00:00,-0.25
321,1972-04-20 01:00:00+00:00,-0.5
322,1972-04-21 01:00:00+00:00,-1.375
323,1972-04-24 01:00:00+00:00,-1.75
324,1972-04-25 01:00:00+00:00,-1.125
325,1972-04-26 01:00:00+00:00,-0.625
326,1972-04-27 01:00:00+00:00,-0.625
327,1972-04-28 01:00:00+00:00,1.125
328,1972-05-01 00:00:00+00:00,0.5
329,1972-05-02 00:00:00+00:00,0.75
330,1972-05-03 00:00:00+00:00,1.75
331,1972-05-04 00:00:00+00:00,1.625
332,1972-05-05 00:00:00+00:00,0.125
333,1972-05-08 00:00:00+00:00,0.875
334,1972-05-09 00:00:00+00:00,1.0
335,1972-05-10 00:00:00+00:00,0.375
336,1972-05-11 00:00:00+00:00,1.5
337,1972-05-12 00:00:00+00:00,1.75
338,1972-05-15 00:00:00+00:00,1.125
339,1972-05-16 00:00:00+00:00,0.75
340,1972-05-17 00:00:00+00:00,1.0
341,1972-05-18 00:00:00+00:00,0.625
342,1972-05-19 00:00:00+00:00,0.125
343,1972-05-22 00:00:00+00:00,0.375
344,1972-05-23 00:00:00+00:00,0.625
345,1972-05-24 00:00:00+00:00,0.25
346,1972-05-25 00:00:00+00:00,0.75
347,1972-05-26 00:00:00+00:00,-0.625
348,1972-05-30 00:00:00+00:00,-0.875
349,1972-05-31 00:00:00+00:00,-0.375
350,1972-06-01 00:00:00+00:00,0.5
351,1972-06-02 00:00:00+00:00,0.25
352,1972-06-05 00:00:00+00:00,-0.75
353,1972-06-06 00:00:00+00:00,-0.875
354,1972-06-07 00:00:00+00:00,-0.75
355,1972-06-08 00:00:00+00:00,-1.125
356,1972-06-09 00:00:00+00:00,-0.75
357,1972-06-12 00:00:00+00:00,0.375
358,1972-06-13 00:00:00+00:00,1.625
359,1972-06-14 00:00:00+00:00,1.75
360,1972-06-15 00:00:00+00:00,2.0
361,1972-06-16 00:00:00+00:00,2.25
362,1972-06-19 00:00:00+00:00,2.5
363,1972-06-20 00:00:00+00:00,1.125
364,1972-06-21 00:00:00+00:00,1.0
365,1972-06-22 00:00:00+00:00,1.25
366,1972-06-23 00:00:00+00:00,1.5
367,1972-06-26 00:00:00+00:00,1.0
368,1972-06-27 00:00:00+00:00,1.75
369,1972-06-28 00:00:00+00:00,2.625
370,1972-06-29 00:00:00+00:00,3.25
371,1972-06-30 00:00:00+00:00,2.625
372,1972-07-03 00:00:00+00:00,2.0
373,1972-07-05 00:00:00+00:00,1.875
374,1972-07-06 00:00:00+00:00,1.5
375,1972-07-07 00:00:00+00:00,-0.625
376,1972-07-10 00:00:00+00:00,-0.5
377,1972-07-11 00:00:00+00:00,-1.625
378,1972-07-12 00:00:00+00:00,-1.625
379,1972-07-13 00:00:00+00:00,-2.0
380,1972-07-14 00:00:00+00:00,-1.625
381,1972-07-17 00:00:00+00:00,0.875
382,1972-07-18 00:00:00+00:00,3.25
383,1972-07-19 00:00:00+00:00,3.25
384,1972-07-20 00:00:00+00:00,5.375
385,1972-07-21 00:00:00+00:00,-5.125
386,1972-07-24 00:00:00+00:00,-1.625
387,1972-07-25 00:00:00+00:00,-1.0
388,1972-07-26 00:00:00+00:00,-1.0
389,1972-07-27 00:00:00+00:00,-0.25
390,1972-07-28 00:00:00+00:00,0.25
391,1972-07-31 00:00:00+00:00,0.25
392,1972-08-01 00:00:00+00:00,0.75
393,1972-08-02 00:00:00+00:00,-0.25
394,1972-08-03 00:00:00+00:00,0.75
395,1972-08-04 00:00:00+00:00,0.125
396,1972-08-07 00:00:00+00:00,1.0
397,1972-08-08 00:00:00+00:00,2.25
398,1972-08-09 00:00:00+00:00,0.125
399,1972-08-10 00:00:00+00:00,-1.125
400,1972-08-11 00:00:00+00:00,-0.0
401,1972-08-14 00:00:00+00:00,-1.125
402,1972-08-15 00:00:00+00:00,1.375
403,1972-08-16 00:00:00+00:00,-0.25
404,1972-08-17 00:00:00+00:00,-3.5
405,1972-08-18 00:00:00+00:00,2.125
406,1972-08-21 00:00:00+00:00,1.625
407,1972-08-22 00:00:00+00:00,1.5
408,1972-08-23 00:00:00+00:00,0.0
409,1972-08-24 00:00:00+00:00,-1.25
410,1972-08-25 00:00:00+00:00,-0.875
411,1972-08-28 00:00:00+00:00,-1.625
412,1972-08-29 00:00:00+00:00,-0.625
413,1972-08-30 00:00:00+00:00,0.75
414,1972-08-31 00:00:00+00:00,0.25
415,1972-09-01 00:00:00+00:00,-0.75
416,1972-09-05 00:00:00+00:00,-1.0
417,1972-09-06 00:00:00+00:00,-0.625
418,1972-09-07 00:00:00+00:00,-0.125
419,1972-09-08 00:00:00+00:00,2.625
420,1972-09-11 00:00:00+00:00,2.375
421,1972-09-12 00:00:00+00:00,2.875
422,1972-09-13 00:00:00+00:00,2.375
423,1972-09-14 00:00:00+00:00,2.625
424,1972-09-15 00:00:00+00:00,1.875
425,1972-09-18 00:00:00+00:00,5.0
426,1972-09-19 00:00:00+00:00,8.0
427,1972-09-20 00:00:00+00:00,5.25
428,1972-09-21 00:00:00+00:00,4.75
429,1972-09-22 00:00:00+00:00,3.25
430,1972-09-25 00:00:00+00:00,-0.875
431,1972-09-26 00:00:00+00:00,0.875
432,1972-09-27 00:00:00+00:00,0.375
433,1972-09-28 00:00:00+00:00,-2.25
434,1972-09-29 00:00:00+00:00,-5.875
435,1972-10-02 00:00:00+00:00,-7.375
436,1972-10-03 00:00:00+00:00,-3.5
437,1972-10-04 00:00:00+00:00,-4.75
438,1972-10-05 00:00:00+00:00,-4.125
439,1972-10-06 00:00:00+00:00,0.5
440,1972-10-09 00:00:00+00:00,0.25
441,1972-10-10 00:00:00+00:00,-0.25
442,1972-10-11 00:00:00+00:00,1.375
443,1972-10-12 00:00:00+00:00,2.125
444,1972-10-13 00:00:00+00:00,2.125
445,1972-10-16 00:00:00+00:00,7.875
446,1972-10-17 00:00:00+00:00,5.875
447,1972-10-18 00:00:00+00:00,4.0
448,1972-10-19 00:00:00+00:00,4.875
449,1972-10-20 00:00:00+00:00,4.375
450,1972-10-23 00:00:00+00:00,-1.75
451,1972-10-24 00:00:00+00:00,-1.0
452,1972-10-25 00:00:00+00:00,1.5
453,1972-10-26 00:00:00+00:00,0.875
454,1972-10-27 00:00:00+00:00,-2.75
455,1972-10-30 01:00:00+00:00,-1.0
456,1972-10-31 01:00:00+00:00,-3.25
457,1972-11-01 01:00:00+00:00,-3.25
458,1972-11-02 01:00:00+00:00,-3.125
459,1972-11-03 01:00:00+00:00,1.375
460,1972-11-06 01:00:00+00:00,-1.125
461,1972-11-08 01:00:00+00:00,-3.5
462,1972-11-09 01:00:00+00:00,-0.75
463,1972-11-10 01:00:00+00:00,-1.75
464,1972-11-13 01:00:00+00:00,-2.5
465,1972-11-14 01:00:00+00:00,4.5
466,1972-11-15 01:00:00+00:00,1.0
467,1972-11-16 01:00:00+00:00,3.375
468,1972-11-17 01:00:00+00:00,0.625
469,1972-11-20 01:00:00+00:00,-0.875
470,1972-11-21 01:00:00+00:00,5.875
471,1972-11-22 01:00:00+00:00,2.25
472,1972-11-24 01:00:00+00:00,3.125
473,1972-11-27 01:00:00+00:00,2.875
474,1972-11-28 01:00:00+00:00,-0.5
475,1972-11-29 01:00:00+00:00,3.75
476,1972-11-30 01:00:00+00:00,4.75
477,1972-12-01 01:00:00+00:00,4.0
478,1972-12-04 01:00:00+00:00,5.5
479,1972-12-05 01:00:00+00:00,-0.375
480,1972-12-06 01:00:00+00:00,-0.5
481,1972-12-07 01:00:00+00:00,-2.625
482,1972-12-08 01:00:00+00:00,-1.75
483,1972-12-11 01:00:00+00:00,0.875
484,1972-12-12 01:00:00+00:00,3.375
485,1972-12-13 01:00:00+00:00,1.25
486,1972-12-14 01:00:00+00:00,2.25
487,1972-12-15 01:00:00+00:00,8.25
488,1972-12-18 01:00:00+00:00,13.0
489,1972-12-19 01:00:00+00:00,15.125
490,1972-12-20 01:00:00+00:00,-12.75
491,1972-12-21 01:00:00+00:00,-13.5
492,1972-12-22 01:00:00+00:00,-13.625
493,1972-12-26 01:00:00+00:00,-2.5
494,1972-12-27 01:00:00+00:00,-5.0
495,1972-12-29 01:00:00+00:00,5.5
496,1973-01-02 01:00:00+00:00,4.75
497,1973-01-03 01:00:00+00:00,-3.25
498,1973-01-04 01:00:00+00:00,-7.375
499,1973-01-05 01:00:00+00:00,-13.25
500,1973-01-08 01:00:00+00:00,-5.5
501,1973-01-09 01:00:00+00:00,-5.0
502,1973-01-10 01:00:00+00:00,-5.5
503,1973-01-11 01:00:00+00:00,2.25
