,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ma.L1.close
0,2021-03-11 00:00:00+00:00,-473.15794031476855,-459.0402239647229,-467.47726374631503,0.0614933913601035,0.008674248745919521,0.8395181210816685,5,True,252,400,1,1,0 days 00:00:00.244021,matic,0.0782179372370186,0.09109327538209518
1,2021-03-16 00:00:00+00:00,-472.3030127087719,-458.18529635872625,-466.6223361403184,0.062014033224753906,0.00870388590232704,0.8406992424624389,5,True,252,400,1,1,0 days 00:00:00.273006,matic,0.07887837622715352,0.0915059751241442
2,2021-03-21 00:00:00+00:00,-468.9348823319982,-454.81716598195254,-463.2542057635447,0.06266806346632037,0.008821627474866808,0.8411194269933204,5,True,252,400,1,1,0 days 00:00:00.221077,matic,0.07559418551035998,0.08850288657443704
3,2021-03-26 00:00:00+00:00,-470.4428049551922,-456.3250886051465,-464.76212838673865,0.06249200393983844,0.008767806173016401,0.8381823831157824,5,True,252,400,1,1,0 days 00:00:00.280925,matic,0.06716545986029501,0.07961305712290814
4,2021-03-31 00:00:00+00:00,-468.4386866544236,-454.3209703043779,-462.75801008597006,0.06278005661094789,0.008837756691688091,0.8397393896226846,5,True,252,400,1,1,0 days 00:00:00.383053,matic,0.0669417498861768,0.07988696703574374
5,2021-04-05 00:00:00+00:00,-464.12140675268427,-450.0036904026386,-458.44073018423074,0.06343891711358712,0.008991061836732305,0.8439391542552368,5,True,252,400,1,1,0 days 00:00:00.209998,matic,0.07016469736559587,0.08308654432482954
6,2021-04-10 00:00:00+00:00,-460.8360048468527,-446.718288496807,-455.15532827839917,0.06380528252191758,0.009128590356618846,0.8574359280344502,5,True,252,400,1,1,0 days 00:00:00.369015,matic,0.019815772373949693,0.010816941083160527
7,2021-04-15 00:00:00+00:00,-465.2598979680678,-451.1421816180221,-459.57922139961426,0.0636555048947763,0.008951408150580275,0.8457404180914627,5,True,252,400,1,1,0 days 00:00:00.182019,matic,0.07141054849630107,0.08376370697068374
8,2021-04-20 00:00:00+00:00,-466.1570819222785,-452.03936557223284,-460.476405353825,0.06366942090448373,0.008921413586794902,0.8436434767994089,5,True,252,400,1,1,0 days 00:00:00.265995,matic,0.06729239687844832,0.07924760994023315
9,2021-04-25 00:00:00+00:00,-464.45977080144587,-450.3420544514002,-458.77909423299235,0.0631340343770408,0.008988149161193074,0.8558877291279218,5,True,252,400,1,1,0 days 00:00:00.228477,matic,0.20769268859159729,0.18520369275764406
10,2021-04-30 00:00:00+00:00,-505.81272877090385,-491.6950124208582,-500.1320522024503,0.059783527939306774,0.0076203695093490995,0.8744222862839715,5,True,252,400,1,1,0 days 00:00:00.187853,matic,0.08228548420609814,0.1016295233010501
11,2021-05-05 00:00:00+00:00,-505.02033712851505,-490.9026207784694,-499.33966056006153,0.05977929652369652,0.0076450735475333586,0.8842045802720919,5,True,252,400,1,1,0 days 00:00:00.366682,matic,0.2555053217796827,0.2251324728807469
12,2021-05-10 00:00:00+00:00,-510.7998753510959,-496.68215900105025,-505.1191987826424,0.058622946495355745,0.007476789889619774,0.8815941379202888,5,True,252,400,1,1,0 days 00:00:00.262874,matic,0.18307240745960396,0.15558328420596687
13,2021-05-15 00:00:00+00:00,-529.7848584340039,-515.6671420839582,-524.1041818655503,0.05729582134746306,0.006938807329374229,0.8901370075247798,5,True,252,400,1,1,0 days 00:00:00.225001,matic,0.1435417330768386,0.11546423430596646
14,2021-05-20 00:00:00+00:00,-571.3289345904556,-557.2112182404098,-565.648258022002,0.054170233942056764,0.005884570828637782,0.8881841224295223,5,True,252,400,1,1,0 days 00:00:00.222353,matic,0.14951399992276065,0.12407416602013609
15,2021-05-25 00:00:00+00:00,-635.4864995552165,-621.3687832051708,-629.8058229867629,0.05021653502603975,0.004556186591908403,0.9633858500435498,5,True,252,400,1,1,0 days 00:00:00.217582,matic,0.4447508207661843,0.42072493525933885
16,2021-05-30 00:00:00+00:00,-643.5180693202786,-629.4003529702329,-637.8373927518251,0.04909334912155065,0.004412515301865908,0.9644973217123416,5,True,252,400,1,1,0 days 00:00:00.196171,matic,0.49697317958280396,0.47719319581363734
17,2021-06-04 00:00:00+00:00,-637.5309550549501,-623.4132387049044,-631.8502784864966,0.04993965821520296,0.00451875321744949,0.9619224858101609,5,True,252,400,1,1,0 days 00:00:00.226853,matic,0.7267762434826762,0.6931382049573498
18,2021-06-09 00:00:00+00:00,-636.1860972410597,-622.0683808910139,-630.5054206726061,0.04998096221157363,0.0045432223956610686,0.9602351561167325,5,True,252,400,1,1,0 days 00:00:00.259406,matic,0.4861161892753333,0.44475399034436197
19,2021-06-14 00:00:00+00:00,-637.7260241578919,-623.6083078078461,-632.0453475894383,0.04974757905832833,0.004515244438944634,0.9606420703214217,5,True,252,400,1,1,0 days 00:00:00.159586,matic,0.4798356420678821,0.46317458848830423
20,2021-06-19 00:00:00+00:00,-640.7110282035152,-626.5933118534695,-635.0303516350616,0.049226759073848575,0.004462675342159022,0.9582242239540012,5,True,252,400,1,1,0 days 00:00:00.276487,matic,0.5585683633273124,0.52666990484664
21,2021-06-24 00:00:00+00:00,-652.6077644117687,-638.490048061723,-646.9270878433151,0.04840280367378243,0.004257074305946753,0.9477516332687518,5,True,252,400,1,1,0 days 00:00:00.283028,matic,0.7949985929146471,0.7574832475798947
22,2021-06-29 00:00:00+00:00,-656.1325811658577,-642.014864815812,-650.4519045974041,0.04816191987022291,0.004197114376780828,0.9460588862967654,5,True,252,400,1,1,0 days 00:00:00.338997,matic,0.879248139626376,0.8486652698022807
23,2021-07-04 00:00:00+00:00,-656.9248450805293,-642.8071287304836,-651.2441685120757,0.04817496507557108,0.004183974761221712,0.9457354158404816,5,True,252,400,1,1,0 days 00:00:00.340019,matic,0.8236626480900407,0.7960489186457776
24,2021-07-09 00:00:00+00:00,-658.0709654130409,-643.9532490629952,-652.3902888445873,0.04819022157455777,0.004164799091573806,0.9448061811530296,5,True,252,400,1,1,0 days 00:00:00.402996,matic,0.37211522605500336,0.3291422881610959
25,2021-07-14 00:00:00+00:00,-659.2703248579093,-645.1526085078635,-653.5896482894557,0.04794519609350666,0.004145399240218809,0.9425247383028917,5,True,252,400,1,1,0 days 00:00:00.264650,matic,0.3037660098018491,0.26835957941407307
26,2021-07-19 00:00:00+00:00,-661.6635869829648,-647.5458706329191,-655.9829104145113,0.047910190660073834,0.004108019256397895,0.9431889030811783,5,True,252,400,1,1,0 days 00:00:00.307782,matic,0.07115906034574185,0.0850595208466626
27,2021-07-24 00:00:00+00:00,-679.4272278634975,-665.3095115134518,-673.7465512950439,0.04631619544306889,0.0038264237597387687,0.9552697281107791,5,True,252,400,1,1,0 days 00:00:00.250052,matic,0.3773473943188854,0.34091743675551667
28,2021-07-29 00:00:00+00:00,-678.1402182088301,-664.0225018587844,-672.4595416403765,0.04653912360244626,0.0038459211099838965,0.9559541707343673,5,True,252,400,1,1,0 days 00:00:00.274035,matic,0.39137362348864907,0.3512028271987955
