,asofdate,pointForecast,close,forecastday,product_name
0,2022-02-25 00:00:00+00:00,90.43617829532612,92.84,1,solana
1,2022-02-26 00:00:00+00:00,89.44737742724642,90.32,2,solana
2,2022-02-27 00:00:00+00:00,89.79497014944438,85.7,3,solana
3,2022-02-28 00:00:00+00:00,89.67219107152586,99.74,4,solana
4,2022-03-01 00:00:00+00:00,89.71548638482801,98.7,5,solana
5,2022-03-02 00:00:00+00:00,98.41969480379144,100.73,1,solana
6,2022-03-03 00:00:00+00:00,99.46241569502273,95.61,2,solana
7,2022-03-04 00:00:00+00:00,99.12996006421876,88.32,3,solana
8,2022-03-05 00:00:00+00:00,99.23545786699471,89.62,4,solana
9,2022-03-06 00:00:00+00:00,99.20192992027324,84.57,5,solana
10,2022-03-07 00:00:00+00:00,84.32471934464962,81.66,1,solana
11,2022-03-08 00:00:00+00:00,84.35284202364639,82.35,2,solana
12,2022-03-09 00:00:00+00:00,84.3794818107703,88.1,3,solana
13,2022-03-10 00:00:00+00:00,84.40471646356919,82.92,4,solana
14,2022-03-11 00:00:00+00:00,84.4286197071452,80.7,5,solana
15,2022-03-12 00:00:00+00:00,80.95235641334034,81.44,1,solana
16,2022-03-13 00:00:00+00:00,80.98339557843566,78.75,2,solana
17,2022-03-14 00:00:00+00:00,80.9762217262807,81.24,3,solana
18,2022-03-15 00:00:00+00:00,80.9778794647559,82.85,4,solana
19,2022-03-16 00:00:00+00:00,80.9774963773964,87.82,5,solana
20,2022-03-17 00:00:00+00:00,88.59769559499794,87.88,1,solana
21,2022-03-18 00:00:00+00:00,88.05955331125027,89.87,2,solana
22,2022-03-19 00:00:00+00:00,88.13108714330833,92.39,3,solana
23,2022-03-20 00:00:00+00:00,88.12154983140617,88.64,4,solana
24,2022-03-21 00:00:00+00:00,88.12282089505858,88.62,5,solana
25,2022-03-22 00:00:00+00:00,89.07132556518859,90.48,1,solana
26,2022-03-23 00:00:00+00:00,88.97734397164568,94.87,2,solana
27,2022-03-24 00:00:00+00:00,88.99311389648331,102.38,3,solana
28,2022-03-25 00:00:00+00:00,88.99046637654129,98.63,4,solana
29,2022-03-26 00:00:00+00:00,88.99091081482209,101.79,5,solana
30,2022-03-27 00:00:00+00:00,102.45900705408721,107.09,1,solana
31,2022-03-28 00:00:00+00:00,102.45850761148674,105.84,2,solana
32,2022-03-29 00:00:00+00:00,102.45802193609315,111.64,3,solana
33,2022-03-30 00:00:00+00:00,102.45754964834885,120.79,4,solana
34,2022-03-31 00:00:00+00:00,102.4570903791639,122.86,5,solana
35,2022-04-01 00:00:00+00:00,123.59958475412039,134.55,1,solana
36,2022-04-02 00:00:00+00:00,123.59956346353954,132.61,2,solana
37,2022-04-03 00:00:00+00:00,123.59954220151324,136.94,3,solana
38,2022-04-04 00:00:00+00:00,123.59952096800319,132.16,4,solana
39,2022-04-05 00:00:00+00:00,123.59949976297115,126.9,5,solana
40,2022-04-06 00:00:00+00:00,128.25663002228245,112.94,1,solana
41,2022-04-07 00:00:00+00:00,128.25123170493197,118.52,2,solana
42,2022-04-08 00:00:00+00:00,128.2459605477377,109.97,3,solana
43,2022-04-09 00:00:00+00:00,128.24081355034195,112.99,4,solana
44,2022-04-10 00:00:00+00:00,128.23578778341488,111.07,5,solana
45,2022-04-11 00:00:00+00:00,111.089072733327,99.7,1,solana
46,2022-04-12 00:00:00+00:00,111.13416681321475,103.31,2,solana
47,2022-04-13 00:00:00+00:00,111.1753489957474,104.95,3,solana
48,2022-04-14 00:00:00+00:00,111.21295736520261,100.76,4,solana
49,2022-04-15 00:00:00+00:00,111.24730099903539,101.39,5,solana
50,2022-04-16 00:00:00+00:00,101.2593610593194,102.08,1,solana
51,2022-04-17 00:00:00+00:00,101.34346113165971,100.18,2,solana
52,2022-04-18 00:00:00+00:00,101.41363992879633,102.39,3,solana
53,2022-04-19 00:00:00+00:00,101.47219446403054,108.55,4,solana
54,2022-04-20 00:00:00+00:00,101.52104500206765,105.59,5,solana
55,2022-04-21 00:00:00+00:00,105.95740620629405,101.78,1,solana
56,2022-04-22 00:00:00+00:00,105.96744937946514,100.55,2,solana
57,2022-04-23 00:00:00+00:00,105.97595469327423,100.66,3,solana
58,2022-04-24 00:00:00+00:00,105.98315753562557,99.25,4,solana
