,asofdate,pnl,strategy,positionType
0,1971-01-13 01:00:00+00:00,0.0,arma_threshold_ma,no_position
5,1971-01-20 01:00:00+00:00,0.0,arma_threshold_ma,no_position
10,1971-01-27 01:00:00+00:00,0.0,arma_threshold_ma,no_position
15,1971-02-03 01:00:00+00:00,0.0,arma_threshold_ma,no_position
20,1971-02-10 01:00:00+00:00,0.0,arma_threshold_ma,no_position
25,1971-02-18 01:00:00+00:00,0.0,arma_threshold_ma,no_position
30,1971-02-25 01:00:00+00:00,1.75,arma_threshold_ma,short
35,1971-03-04 01:00:00+00:00,0.0,arma_threshold_ma,no_position
40,1971-03-11 01:00:00+00:00,0.0,arma_threshold_ma,no_position
45,1971-03-18 01:00:00+00:00,-1.625,arma_threshold_ma,short
50,1971-03-25 01:00:00+00:00,3.5,arma_threshold_ma,short
55,1971-04-01 01:00:00+00:00,1.5,arma_threshold_ma,short
60,1971-04-08 01:00:00+00:00,0.0,arma_threshold_ma,no_position
65,1971-04-16 01:00:00+00:00,0.0,arma_threshold_ma,no_position
70,1971-04-23 01:00:00+00:00,-0.125,arma_threshold_ma,short
75,1971-04-30 00:00:00+00:00,3.5,arma_threshold_ma,short
80,1971-05-07 00:00:00+00:00,0.0,arma_threshold_ma,no_position
85,1971-05-14 00:00:00+00:00,-0.625,arma_threshold_ma,short
90,1971-05-21 00:00:00+00:00,0.0,arma_threshold_ma,no_position
95,1971-05-28 00:00:00+00:00,0.0,arma_threshold_ma,no_position
100,1971-06-07 00:00:00+00:00,0.0,arma_threshold_ma,no_position
105,1971-06-14 00:00:00+00:00,0.375,arma_threshold_ma,long
110,1971-06-21 00:00:00+00:00,0.0,arma_threshold_ma,no_position
115,1971-06-28 00:00:00+00:00,0.0,arma_threshold_ma,no_position
120,1971-07-06 00:00:00+00:00,0.0,arma_threshold_ma,no_position
125,1971-07-13 00:00:00+00:00,0.0,arma_threshold_ma,no_position
130,1971-07-20 00:00:00+00:00,-5.125,arma_threshold_ma,long
135,1971-07-27 00:00:00+00:00,0.0,arma_threshold_ma,no_position
140,1971-08-03 00:00:00+00:00,7.875,arma_threshold_ma,short
145,1971-08-10 00:00:00+00:00,7.25,arma_threshold_ma,short
150,1971-08-17 00:00:00+00:00,4.0,arma_threshold_ma,short
155,1971-08-24 00:00:00+00:00,-0.875,arma_threshold_ma,short
160,1971-08-31 00:00:00+00:00,3.25,arma_threshold_ma,short
165,1971-09-08 00:00:00+00:00,0.0,arma_threshold_ma,no_position
170,1971-09-15 00:00:00+00:00,0.875,arma_threshold_ma,short
175,1971-09-22 00:00:00+00:00,3.0,arma_threshold_ma,short
180,1971-09-29 00:00:00+00:00,0.875,arma_threshold_ma,short
185,1971-10-06 00:00:00+00:00,0.0,arma_threshold_ma,no_position
190,1971-10-13 00:00:00+00:00,0.0,arma_threshold_ma,no_position
195,1971-10-20 00:00:00+00:00,0.0,arma_threshold_ma,no_position
200,1971-10-27 00:00:00+00:00,-4.625,arma_threshold_ma,short
205,1971-11-03 01:00:00+00:00,2.75,arma_threshold_ma,short
210,1971-11-10 01:00:00+00:00,0.0,arma_threshold_ma,no_position
215,1971-11-17 01:00:00+00:00,-0.25,arma_threshold_ma,short
220,1971-11-24 01:00:00+00:00,0.0,arma_threshold_ma,no_position
225,1971-12-02 01:00:00+00:00,0.0,arma_threshold_ma,no_position
230,1971-12-09 01:00:00+00:00,0.375,arma_threshold_ma,long
235,1971-12-16 01:00:00+00:00,7.625,arma_threshold_ma,long
240,1971-12-23 01:00:00+00:00,0.0,arma_threshold_ma,no_position
245,1972-01-03 01:00:00+00:00,-0.875,arma_threshold_ma,long
250,1972-01-10 01:00:00+00:00,0.0,arma_threshold_ma,no_position
255,1972-01-17 01:00:00+00:00,0.0,arma_threshold_ma,no_position
260,1972-01-24 01:00:00+00:00,-0.375,arma_threshold_ma,long
265,1972-01-31 01:00:00+00:00,-0.875,arma_threshold_ma,long
270,1972-02-07 01:00:00+00:00,0.0,arma_threshold_ma,no_position
275,1972-02-14 01:00:00+00:00,0.0,arma_threshold_ma,no_position
280,1972-02-22 01:00:00+00:00,0.0,arma_threshold_ma,no_position
285,1972-02-29 01:00:00+00:00,0.625,arma_threshold_ma,short
290,1972-03-07 01:00:00+00:00,0.0,arma_threshold_ma,no_position
295,1972-03-14 01:00:00+00:00,5.875,arma_threshold_ma,long
300,1972-03-21 01:00:00+00:00,0.0,arma_threshold_ma,no_position
305,1972-03-28 01:00:00+00:00,-0.375,arma_threshold_ma,long
310,1972-04-05 01:00:00+00:00,0.0,arma_threshold_ma,no_position
315,1972-04-12 01:00:00+00:00,0.25,arma_threshold_ma,long
320,1972-04-19 01:00:00+00:00,0.0,arma_threshold_ma,no_position
325,1972-04-26 01:00:00+00:00,0.0,arma_threshold_ma,no_position
330,1972-05-03 00:00:00+00:00,0.0,arma_threshold_ma,no_position
335,1972-05-10 00:00:00+00:00,-1.0,arma_threshold_ma,long
340,1972-05-17 00:00:00+00:00,0.0,arma_threshold_ma,no_position
345,1972-05-24 00:00:00+00:00,-0.5,arma_threshold_ma,long
350,1972-06-01 00:00:00+00:00,0.0,arma_threshold_ma,no_position
355,1972-06-08 00:00:00+00:00,0.0,arma_threshold_ma,no_position
360,1972-06-15 00:00:00+00:00,1.25,arma_threshold_ma,short
365,1972-06-22 00:00:00+00:00,3.25,arma_threshold_ma,short
370,1972-06-29 00:00:00+00:00,0.625,arma_threshold_ma,short
375,1972-07-07 00:00:00+00:00,0.0,arma_threshold_ma,no_position
380,1972-07-14 00:00:00+00:00,0.0,arma_threshold_ma,no_position
385,1972-07-21 00:00:00+00:00,0.0,arma_threshold_ma,no_position
390,1972-07-28 00:00:00+00:00,-0.125,arma_threshold_ma,short
395,1972-08-04 00:00:00+00:00,0.0,arma_threshold_ma,no_position
400,1972-08-11 00:00:00+00:00,0.0,arma_threshold_ma,no_position
405,1972-08-18 00:00:00+00:00,-0.875,arma_threshold_ma,long
410,1972-08-25 00:00:00+00:00,-0.75,arma_threshold_ma,long
415,1972-09-01 00:00:00+00:00,2.375,arma_threshold_ma,long
420,1972-09-11 00:00:00+00:00,5.0,arma_threshold_ma,long
425,1972-09-18 00:00:00+00:00,2.875,arma_threshold_ma,long
430,1972-09-25 00:00:00+00:00,0.0,arma_threshold_ma,no_position
435,1972-10-02 00:00:00+00:00,0.0,arma_threshold_ma,no_position
440,1972-10-09 00:00:00+00:00,0.0,arma_threshold_ma,no_position
445,1972-10-16 00:00:00+00:00,0.0,arma_threshold_ma,no_position
450,1972-10-23 00:00:00+00:00,-1.0,arma_threshold_ma,long
455,1972-10-30 01:00:00+00:00,1.125,arma_threshold_ma,long
460,1972-11-06 01:00:00+00:00,0.0,arma_threshold_ma,no_position
465,1972-11-14 01:00:00+00:00,-5.875,arma_threshold_ma,long
470,1972-11-21 01:00:00+00:00,0.0,arma_threshold_ma,no_position
475,1972-11-29 01:00:00+00:00,0.0,arma_threshold_ma,no_position
480,1972-12-06 01:00:00+00:00,0.0,arma_threshold_ma,no_position
485,1972-12-13 01:00:00+00:00,16.375,arma_threshold_ma,long
490,1972-12-20 01:00:00+00:00,0.0,arma_threshold_ma,no_position
495,1972-12-29 01:00:00+00:00,-5.5,arma_threshold_ma,long
500,1973-01-08 01:00:00+00:00,0.0,arma_threshold_ma,no_position
505,1973-01-15 01:00:00+00:00,-1.875,arma_threshold_ma,long
510,1973-01-22 01:00:00+00:00,2.125,arma_threshold_ma,long
515,1973-01-30 01:00:00+00:00,3.25,arma_threshold_ma,long
520,1973-02-06 01:00:00+00:00,0.0,arma_threshold_ma,no_position
525,1973-02-13 01:00:00+00:00,0.0,arma_threshold_ma,no_position
530,1973-02-21 01:00:00+00:00,3.875,arma_threshold_ma,long
535,1973-02-28 01:00:00+00:00,11.0,arma_threshold_ma,long
540,1973-03-07 01:00:00+00:00,-7.0,arma_threshold_ma,long
545,1973-03-14 01:00:00+00:00,0.0,arma_threshold_ma,no_position
550,1973-03-21 01:00:00+00:00,-8.5,arma_threshold_ma,long
555,1973-03-28 01:00:00+00:00,1.125,arma_threshold_ma,long
