,asofdate,pnl,strategy,positionType
0,2012-12-20 14:30:00+00:00,0.0,arma_threshold_ma,no_position
5,2012-12-28 14:30:00+00:00,0.0,arma_threshold_ma,no_position
10,2013-01-07 14:30:00+00:00,-0.07010000000000005,arma_threshold_ma,short
15,2013-01-14 14:30:00+00:00,0.0,arma_threshold_ma,no_position
20,2013-01-22 14:30:00+00:00,-0.04001000000000232,arma_threshold_ma,short
25,2013-01-29 14:30:00+00:00,0.0,arma_threshold_ma,no_position
30,2013-02-07 14:30:00+00:00,-0.20989999999999753,arma_threshold_ma,short
35,2013-02-15 14:30:00+00:00,0.22998999999999725,arma_threshold_ma,short
40,2013-02-25 14:30:00+00:00,0.0,arma_threshold_ma,no_position
45,2013-03-04 14:30:00+00:00,-0.26998999999999995,arma_threshold_ma,short
50,2013-03-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
55,2013-03-19 13:30:00+00:00,0.0,arma_threshold_ma,no_position
60,2013-03-27 13:30:00+00:00,0.2400100000000016,arma_threshold_ma,short
65,2013-04-05 13:30:00+00:00,0.49988999999999706,arma_threshold_ma,short
70,2013-04-12 13:30:00+00:00,0.0,arma_threshold_ma,no_position
75,2013-04-19 13:30:00+00:00,-0.1498999999999988,arma_threshold_ma,short
80,2013-05-01 13:30:00+00:00,-0.0077099999999994395,arma_threshold_ma,short
85,2013-05-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
90,2013-05-17 13:30:00+00:00,-0.0909999999999993,arma_threshold_ma,short
95,2013-05-30 13:30:00+00:00,0.5010999999999992,arma_threshold_ma,short
100,2013-06-07 13:30:00+00:00,0.2723000000000013,arma_threshold_ma,short
105,2013-06-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
110,2013-06-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
115,2013-07-02 13:30:00+00:00,0.03999999999999915,arma_threshold_ma,short
120,2013-07-16 13:30:00+00:00,0.46000000000000085,arma_threshold_ma,short
125,2013-07-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
130,2013-08-12 13:30:00+00:00,0.0,arma_threshold_ma,no_position
135,2013-08-21 13:30:00+00:00,-0.10990000000000144,arma_threshold_ma,short
140,2013-08-30 13:30:00+00:00,0.4599000000000011,arma_threshold_ma,short
145,2013-09-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
150,2013-09-18 13:30:00+00:00,-0.6000999999999994,arma_threshold_ma,short
155,2013-09-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
160,2013-10-03 13:30:00+00:00,0.4601000000000006,arma_threshold_ma,long
165,2013-10-10 13:30:00+00:00,0.40000000000000036,arma_threshold_ma,long
