,asofdate,pnl,strategy,positionType
0,2007-06-01 13:30:00+00:00,0.0,arma_threshold_ma,no_position
5,2007-06-08 13:30:00+00:00,-1.9699999999999989,arma_threshold_ma,short
10,2007-06-15 13:30:00+00:00,0.0,arma_threshold_ma,no_position
15,2007-06-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
20,2007-06-29 13:30:00+00:00,0.30001000000000033,arma_threshold_ma,short
25,2007-07-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
30,2007-07-16 13:30:00+00:00,2.990000000000002,arma_threshold_ma,long
35,2007-07-23 13:30:00+00:00,0.17999999999999972,arma_threshold_ma,long
40,2007-07-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
45,2007-08-06 13:30:00+00:00,-2.8900000000000006,arma_threshold_ma,long
50,2007-08-13 13:30:00+00:00,-1.3599999999999994,arma_threshold_ma,long
55,2007-08-20 13:30:00+00:00,-0.3899900000000045,arma_threshold_ma,short
60,2007-08-27 13:30:00+00:00,0.0,arma_threshold_ma,no_position
65,2007-09-04 13:30:00+00:00,0.0,arma_threshold_ma,no_position
70,2007-09-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
75,2007-09-18 13:30:00+00:00,3.3900000000000006,arma_threshold_ma,long
80,2007-09-25 13:30:00+00:00,1.5500100000000003,arma_threshold_ma,long
85,2007-10-02 13:30:00+00:00,0.9899900000000059,arma_threshold_ma,long
90,2007-10-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
95,2007-10-16 13:30:00+00:00,1.989990000000006,arma_threshold_ma,long
100,2007-10-23 13:30:00+00:00,0.0,arma_threshold_ma,no_position
105,2007-10-30 13:30:00+00:00,-0.6699900000000056,arma_threshold_ma,long
110,2007-11-06 14:30:00+00:00,2.200010000000006,arma_threshold_ma,long
115,2007-11-13 14:30:00+00:00,0.0,arma_threshold_ma,no_position
120,2007-11-20 14:30:00+00:00,0.0,arma_threshold_ma,no_position
125,2007-11-28 14:30:00+00:00,0.34998999999999825,arma_threshold_ma,long
130,2007-12-05 14:30:00+00:00,0.0,arma_threshold_ma,no_position
135,2007-12-12 14:30:00+00:00,0.0,arma_threshold_ma,no_position
140,2007-12-19 14:30:00+00:00,0.0,arma_threshold_ma,no_position
145,2007-12-27 14:30:00+00:00,0.0,arma_threshold_ma,no_position
150,2008-01-04 14:30:00+00:00,0.0,arma_threshold_ma,no_position
155,2008-01-11 14:30:00+00:00,4.51999,arma_threshold_ma,long
160,2008-01-18 14:30:00+00:00,0.0,arma_threshold_ma,no_position
165,2008-01-28 14:30:00+00:00,0.0,arma_threshold_ma,no_position
170,2008-02-04 14:30:00+00:00,0.0,arma_threshold_ma,no_position
175,2008-02-11 14:30:00+00:00,0.0,arma_threshold_ma,no_position
180,2008-02-19 14:30:00+00:00,0.0,arma_threshold_ma,no_position
185,2008-02-26 14:30:00+00:00,0.950019999999995,arma_threshold_ma,long
190,2008-03-04 14:30:00+00:00,2.4299900000000036,arma_threshold_ma,long
195,2008-03-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
200,2008-03-18 13:30:00+00:00,0.8100000000000023,arma_threshold_ma,long
205,2008-03-26 13:30:00+00:00,0.0,arma_threshold_ma,no_position
210,2008-04-02 13:30:00+00:00,2.490009999999998,arma_threshold_ma,short
215,2008-04-09 13:30:00+00:00,-1.51999,arma_threshold_ma,long
220,2008-04-16 13:30:00+00:00,0.0,arma_threshold_ma,no_position
225,2008-04-23 13:30:00+00:00,0.0,arma_threshold_ma,no_position
230,2008-04-30 13:30:00+00:00,5.1799899999999965,arma_threshold_ma,short
235,2008-05-07 13:30:00+00:00,0.0,arma_threshold_ma,no_position
240,2008-05-14 13:30:00+00:00,0.0,arma_threshold_ma,no_position
245,2008-05-21 13:30:00+00:00,0.0,arma_threshold_ma,no_position
250,2008-05-29 13:30:00+00:00,-4.020010000000006,arma_threshold_ma,short
255,2008-06-05 13:30:00+00:00,3.450000000000003,arma_threshold_ma,short
260,2008-06-12 13:30:00+00:00,-0.5399900000000031,arma_threshold_ma,short
265,2008-06-19 13:30:00+00:00,0.0,arma_threshold_ma,no_position
270,2008-06-26 13:30:00+00:00,-0.8700100000000006,arma_threshold_ma,short
275,2008-07-03 13:30:00+00:00,0.0,arma_threshold_ma,no_position
280,2008-07-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
285,2008-07-18 13:30:00+00:00,1.6399999999999935,arma_threshold_ma,long
290,2008-07-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
295,2008-08-01 13:30:00+00:00,3.290009999999995,arma_threshold_ma,short
300,2008-08-08 13:30:00+00:00,1.8599999999999994,arma_threshold_ma,short
305,2008-08-15 13:30:00+00:00,6.099990000000005,arma_threshold_ma,short
310,2008-08-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
315,2008-08-29 13:30:00+00:00,-3.030000000000001,arma_threshold_ma,short
320,2008-09-08 13:30:00+00:00,-0.1499900000000025,arma_threshold_ma,short
325,2008-09-15 13:30:00+00:00,6.699999999999999,arma_threshold_ma,short
330,2008-09-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
335,2008-09-29 13:30:00+00:00,0.0,arma_threshold_ma,no_position
340,2008-10-06 13:30:00+00:00,4.090000000000003,arma_threshold_ma,short
345,2008-10-13 13:30:00+00:00,6.100010000000001,arma_threshold_ma,short
350,2008-10-20 13:30:00+00:00,1.0999899999999982,arma_threshold_ma,short
355,2008-10-27 13:30:00+00:00,2.6099999999999994,arma_threshold_ma,short
360,2008-11-03 14:30:00+00:00,0.0,arma_threshold_ma,no_position
365,2008-11-10 14:30:00+00:00,0.0,arma_threshold_ma,no_position
370,2008-11-17 14:30:00+00:00,-2.1400000000000006,arma_threshold_ma,short
375,2008-11-24 14:30:00+00:00,0.0,arma_threshold_ma,no_position
380,2008-12-02 14:30:00+00:00,-4.969999999999999,arma_threshold_ma,short
385,2008-12-09 14:30:00+00:00,0.0,arma_threshold_ma,no_position
390,2008-12-16 14:30:00+00:00,0.0,arma_threshold_ma,no_position
395,2008-12-23 14:30:00+00:00,6.930000000000003,arma_threshold_ma,long
400,2008-12-31 14:30:00+00:00,-1.5999900000000018,arma_threshold_ma,long
405,2009-01-08 14:30:00+00:00,0.0,arma_threshold_ma,no_position
410,2009-01-15 14:30:00+00:00,0.0,arma_threshold_ma,no_position
415,2009-01-23 14:30:00+00:00,-2.6599900000000005,arma_threshold_ma,long
420,2009-01-30 14:30:00+00:00,5.010000000000002,arma_threshold_ma,long
425,2009-02-06 14:30:00+00:00,0.0,arma_threshold_ma,no_position
430,2009-02-13 14:30:00+00:00,1.1900000000000048,arma_threshold_ma,long
435,2009-02-23 14:30:00+00:00,0.25998999999999484,arma_threshold_ma,long
440,2009-03-02 14:30:00+00:00,0.0,arma_threshold_ma,no_position
445,2009-03-09 13:30:00+00:00,5.379999999999999,arma_threshold_ma,short
450,2009-03-16 13:30:00+00:00,0.0,arma_threshold_ma,no_position
455,2009-03-23 13:30:00+00:00,0.0,arma_threshold_ma,no_position
460,2009-03-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
465,2009-04-06 13:30:00+00:00,0.0,arma_threshold_ma,no_position
470,2009-04-14 13:30:00+00:00,3.1999899999999997,arma_threshold_ma,short
475,2009-04-21 13:30:00+00:00,-0.4899999999999949,arma_threshold_ma,short
480,2009-04-28 13:30:00+00:00,0.0,arma_threshold_ma,no_position
485,2009-05-05 13:30:00+00:00,0.0,arma_threshold_ma,no_position
490,2009-05-12 13:30:00+00:00,0.0,arma_threshold_ma,no_position
495,2009-05-19 13:30:00+00:00,0.0,arma_threshold_ma,no_position
500,2009-05-27 13:30:00+00:00,-0.5300200000000004,arma_threshold_ma,long
505,2009-06-03 13:30:00+00:00,2.7900100000000023,arma_threshold_ma,long
510,2009-06-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
515,2009-06-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
520,2009-06-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
525,2009-07-01 13:30:00+00:00,0.2600100000000012,arma_threshold_ma,long
530,2009-07-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
535,2009-07-16 13:30:00+00:00,-4.099999999999994,arma_threshold_ma,long
540,2009-07-23 13:30:00+00:00,3.019999999999996,arma_threshold_ma,long
545,2009-07-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
550,2009-08-06 13:30:00+00:00,0.0,arma_threshold_ma,no_position
555,2009-08-13 13:30:00+00:00,-2.690010000000001,arma_threshold_ma,short
560,2009-08-20 13:30:00+00:00,0.9700099999999949,arma_threshold_ma,short
565,2009-08-27 13:30:00+00:00,0.0,arma_threshold_ma,no_position
570,2009-09-03 13:30:00+00:00,0.960010000000004,arma_threshold_ma,long
575,2009-09-11 13:30:00+00:00,5.079979999999999,arma_threshold_ma,long
580,2009-09-18 13:30:00+00:00,1.440010000000001,arma_threshold_ma,long
585,2009-09-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
590,2009-10-02 13:30:00+00:00,0.0,arma_threshold_ma,no_position
595,2009-10-09 13:30:00+00:00,-0.3100200000000015,arma_threshold_ma,long
600,2009-10-16 13:30:00+00:00,0.0,arma_threshold_ma,no_position
605,2009-10-23 13:30:00+00:00,0.0,arma_threshold_ma,no_position
610,2009-10-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
615,2009-11-06 14:30:00+00:00,-4.32,arma_threshold_ma,long
620,2009-11-13 14:30:00+00:00,5.25,arma_threshold_ma,long
625,2009-11-20 14:30:00+00:00,2.1600000000000037,arma_threshold_ma,long
630,2009-11-30 14:30:00+00:00,0.0,arma_threshold_ma,no_position
635,2009-12-07 14:30:00+00:00,0.0,arma_threshold_ma,no_position
640,2009-12-14 14:30:00+00:00,0.0,arma_threshold_ma,no_position
645,2009-12-21 14:30:00+00:00,0.0,arma_threshold_ma,no_position
650,2009-12-29 14:30:00+00:00,0.0,arma_threshold_ma,no_position
655,2010-01-06 14:30:00+00:00,0.0,arma_threshold_ma,no_position
660,2010-01-13 14:30:00+00:00,0.0,arma_threshold_ma,no_position
665,2010-01-21 14:30:00+00:00,0.0,arma_threshold_ma,no_position
670,2010-01-28 14:30:00+00:00,5.109999999999999,arma_threshold_ma,short
675,2010-02-04 14:30:00+00:00,0.0,arma_threshold_ma,no_position
680,2010-02-11 14:30:00+00:00,1.9299900000000036,arma_threshold_ma,short
685,2010-02-19 14:30:00+00:00,0.0,arma_threshold_ma,no_position
690,2010-02-26 14:30:00+00:00,-0.5800000000000054,arma_threshold_ma,short
695,2010-03-05 14:30:00+00:00,0.0,arma_threshold_ma,no_position
700,2010-03-12 14:30:00+00:00,0.0,arma_threshold_ma,no_position
705,2010-03-19 13:30:00+00:00,0.0,arma_threshold_ma,no_position
710,2010-03-26 13:30:00+00:00,-0.3199900000000042,arma_threshold_ma,short
715,2010-04-05 13:30:00+00:00,0.0,arma_threshold_ma,no_position
720,2010-04-12 13:30:00+00:00,3.187980000000003,arma_threshold_ma,long
725,2010-04-19 13:30:00+00:00,0.0,arma_threshold_ma,no_position
730,2010-04-26 13:30:00+00:00,-1.5499999999999972,arma_threshold_ma,long
735,2010-05-03 13:30:00+00:00,1.5399999999999991,arma_threshold_ma,long
740,2010-05-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
745,2010-05-17 13:30:00+00:00,0.259999999999998,arma_threshold_ma,long
750,2010-05-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
755,2010-06-01 13:30:00+00:00,-4.229999999999997,arma_threshold_ma,long
760,2010-06-08 13:30:00+00:00,2.1700000000000017,arma_threshold_ma,long
765,2010-06-15 13:30:00+00:00,0.0,arma_threshold_ma,no_position
770,2010-06-22 13:30:00+00:00,0.45000000000000284,arma_threshold_ma,long
775,2010-06-29 13:30:00+00:00,0.9699999999999989,arma_threshold_ma,long
780,2010-07-07 13:30:00+00:00,0.0,arma_threshold_ma,no_position
785,2010-07-14 13:30:00+00:00,-1.9875100000000003,arma_threshold_ma,long
790,2010-07-21 13:30:00+00:00,0.0,arma_threshold_ma,no_position
