,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close
0,2012-06-04 13:30:00+00:00,-720.0015089315535,-709.4132216690192,-715.7410015052134,0.04193187719596634,0.0032835277299414676,5,True,252,1200,1,0,0 days 00:00:00.103013,siv,0.06287381062515904
1,2012-06-11 13:30:00+00:00,-719.6388746560013,-709.050587393467,-715.3783672296612,0.0419126972442596,0.003288255991955651,5,True,252,1200,1,0,0 days 00:00:00.093985,siv,0.06286485724857208
2,2012-06-18 13:30:00+00:00,-717.5874415295942,-706.9991542670599,-713.3269341032541,0.042023292185431285,0.0033151345804460688,5,True,252,1200,1,0,0 days 00:00:00.091005,siv,0.06286636531440841
3,2012-06-25 13:30:00+00:00,-712.7207375542865,-702.1324502917522,-708.4602301279464,0.04266734582778638,0.0033797815308305775,5,True,252,1200,1,0,0 days 00:00:00.110991,siv,0.06303050191052333
4,2012-07-02 13:30:00+00:00,-719.8248698002398,-709.2365825377054,-715.5643623738996,0.042096272041832944,0.0032858252377873294,5,True,252,1200,1,0,0 days 00:00:00.114007,siv,0.06293159376118412
5,2012-07-10 13:30:00+00:00,-706.1468337440193,-695.558546481485,-701.8863263176792,0.04289470907977081,0.003469079920656322,5,True,252,1200,1,0,0 days 00:00:00.118996,siv,0.06313336350974197
6,2012-07-17 13:30:00+00:00,-713.2734071123613,-702.685119849827,-709.0128996860211,0.04208347892208988,0.003372374944439956,5,True,252,1200,1,0,0 days 00:00:00.090008,siv,0.06281927745211185
7,2012-07-24 13:30:00+00:00,-698.3648144235918,-687.7765271610575,-694.1043069972517,0.043484063492320355,0.0035778979212934834,5,True,252,1200,1,0,0 days 00:00:00.168736,siv,0.06337286866826072
8,2012-08-01 13:30:00+00:00,-694.5616188076132,-683.9733315450788,-690.301111381273,0.04386966423057587,0.0036322687856224583,5,True,252,1200,1,0,0 days 00:00:00.217815,siv,0.06276699968667167
9,2012-08-08 13:30:00+00:00,-698.8981804955096,-688.3098932329752,-694.6376730691694,0.04344878836246976,0.003570300722612318,5,True,252,1200,1,0,0 days 00:00:00.191879,siv,0.06277236314224302
10,2012-08-15 13:30:00+00:00,-695.5196068972406,-684.9313196347063,-691.2590994709004,0.04383412445533729,0.0036184673834777667,5,True,252,1200,1,0,0 days 00:00:00.136374,siv,0.06270897373145387
11,2012-08-22 13:30:00+00:00,-692.5376220495324,-681.9493347869981,-688.2771146231922,0.044288040348057583,0.003661546125276778,5,True,252,1200,1,0,0 days 00:00:00.192898,siv,0.06274634212510664
12,2012-08-29 13:30:00+00:00,-692.8239980112018,-682.2357107486674,-688.5634905848616,0.04422835116232832,0.0036573974585126555,5,True,252,1200,1,0,0 days 00:00:00.114998,siv,0.06275419719868096
13,2012-09-06 13:30:00+00:00,-692.6957105148273,-682.107423252293,-688.4352030884871,0.04430670537226935,0.003659238280995042,5,True,252,1200,1,0,0 days 00:00:00.153008,siv,0.06268916705604588
14,2012-09-13 13:30:00+00:00,-693.102344059652,-682.5140567971176,-688.8418366333118,0.04417478581384329,0.003653366400555452,5,True,252,1200,1,0,0 days 00:00:00.156769,siv,0.0627920400049056
15,2012-09-20 13:30:00+00:00,-695.3697447696337,-684.7814575070994,-691.1092373432936,0.04382121014415438,0.0036206604005600378,5,True,252,1200,1,0,0 days 00:00:00.128000,siv,0.06281490473922333
16,2012-09-27 13:30:00+00:00,-707.6575286731664,-697.0692414106321,-703.3970212468263,0.04260595755075018,0.0034484386609565996,5,True,252,1200,1,0,0 days 00:00:00.127995,siv,0.06305584730078301
17,2012-10-04 13:30:00+00:00,-706.7046276198115,-696.1163403572772,-702.4441201934713,0.042474306583085514,0.0034614394733246344,5,True,252,1200,1,0,0 days 00:00:00.085000,siv,0.06330725306901909
18,2012-10-11 13:30:00+00:00,-696.9076930545804,-686.319405792046,-692.6471856282402,0.043021600564601054,0.0035998187146075765,5,True,252,1200,1,0,0 days 00:00:00.162996,siv,0.06584341100355959
19,2012-10-18 13:30:00+00:00,-706.8064445544848,-696.2181572919504,-702.5459371281446,0.04245099520418408,0.0034600382396516123,5,True,252,1200,1,0,0 days 00:00:00.083998,siv,0.06288258116284308
20,2012-10-25 13:30:00+00:00,-710.3325097842556,-699.7442225217213,-706.0720023579155,0.0419286807941133,0.0034119381132749955,5,True,252,1200,1,0,0 days 00:00:00.090011,siv,0.06280501970644514
21,2012-11-05 14:30:00+00:00,-710.7874442282563,-700.199156965722,-706.5269368019161,0.04186435663790439,0.0034057834446251274,5,True,252,1200,1,0,0 days 00:00:00.090992,siv,0.06281226217904771
22,2012-11-12 14:30:00+00:00,-707.7974678542824,-697.2091805917481,-703.5369604279423,0.042072303994491564,0.003446435674700451,5,True,252,1200,1,0,0 days 00:00:00.185004,siv,0.06321884893960691
23,2012-11-19 14:30:00+00:00,-708.281799938569,-697.6935126760346,-704.0212925122288,0.0417635749082781,0.003439798831251669,5,True,252,1200,1,0,0 days 00:00:00.194003,siv,0.0629315760599407
24,2012-11-27 14:30:00+00:00,-711.3858377974053,-700.797550534871,-707.1253303710652,0.04120537422997199,0.0033977864599500866,5,True,252,1200,1,0,0 days 00:00:00.309995,siv,0.06300254314818149
25,2012-12-04 14:30:00+00:00,-715.9755040486456,-705.3872167861113,-711.7149966223054,0.04039266169506066,0.0033363791996326203,5,True,252,1200,1,0,0 days 00:00:00.187007,siv,0.06279599620897
26,2012-12-11 14:30:00+00:00,-714.05409713962,-703.4658098770857,-709.7935897132799,0.04073785774673515,0.0033619133357851282,5,True,252,1200,1,0,0 days 00:00:00.161993,siv,0.062996182880995
27,2012-12-18 14:30:00+00:00,-712.249310952321,-701.6610236897867,-707.9888035259809,0.04096029448229546,0.0033860800124209762,5,True,252,1200,1,0,0 days 00:00:00.153039,siv,0.06285453252029088
