,asofdate,pnl,strategy,positionType
0,2012-06-11 13:30:00+00:00,,arma_threshold_ma,long
5,2012-06-18 13:30:00+00:00,2.3899999999999935,arma_threshold_ma,long
10,2012-06-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
15,2012-07-02 13:30:00+00:00,-1.740000000000002,arma_threshold_ma,long
20,2012-07-10 13:30:00+00:00,0.28000000000000114,arma_threshold_ma,long
25,2012-07-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
30,2012-07-24 13:30:00+00:00,2.020000000000003,arma_threshold_ma,long
35,2012-07-31 13:30:00+00:00,0.0,arma_threshold_ma,no_position
40,2012-08-07 13:30:00+00:00,0.0,arma_threshold_ma,no_position
45,2012-08-14 13:30:00+00:00,0.0,arma_threshold_ma,no_position
50,2012-08-21 13:30:00+00:00,7.430000000000007,arma_threshold_ma,short
55,2012-08-28 13:30:00+00:00,0.0,arma_threshold_ma,no_position
60,2012-09-05 13:30:00+00:00,4.070000000000004,arma_threshold_ma,short
65,2012-09-12 13:30:00+00:00,0.0,arma_threshold_ma,no_position
70,2012-09-19 13:30:00+00:00,2.469999999999999,arma_threshold_ma,short
75,2012-09-26 13:30:00+00:00,-1.9800000000000004,arma_threshold_ma,short
80,2012-10-03 13:30:00+00:00,0.5100000000000016,arma_threshold_ma,short
85,2012-10-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
90,2012-10-17 13:30:00+00:00,-2.1999999999999993,arma_threshold_ma,short
95,2012-10-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
100,2012-11-02 13:30:00+00:00,0.0,arma_threshold_ma,no_position
105,2012-11-09 14:30:00+00:00,0.0,arma_threshold_ma,no_position
110,2012-11-16 14:30:00+00:00,0.6400000000000006,arma_threshold_ma,short
115,2012-11-26 14:30:00+00:00,2.039999999999999,arma_threshold_ma,short
120,2012-12-03 14:30:00+00:00,0.0,arma_threshold_ma,no_position
125,2012-12-10 14:30:00+00:00,0.0,arma_threshold_ma,no_position
130,2012-12-17 14:30:00+00:00,0.0,arma_threshold_ma,no_position
135,2012-12-24 14:30:00+00:00,0.0,arma_threshold_ma,no_position
140,2013-01-02 14:30:00+00:00,0.0,arma_threshold_ma,no_position
145,2013-01-09 14:30:00+00:00,10.940000000000001,arma_threshold_ma,long
150,2013-01-16 14:30:00+00:00,0.0,arma_threshold_ma,no_position
155,2013-01-24 14:30:00+00:00,7.740000000000002,arma_threshold_ma,short
160,2013-01-31 14:30:00+00:00,0.0,arma_threshold_ma,no_position
165,2013-02-07 14:30:00+00:00,0.3000000000000007,arma_threshold_ma,short
170,2013-02-14 14:30:00+00:00,0.0,arma_threshold_ma,no_position
175,2013-02-22 14:30:00+00:00,0.0,arma_threshold_ma,no_position
180,2013-03-01 14:30:00+00:00,0.0,arma_threshold_ma,no_position
185,2013-03-08 14:30:00+00:00,0.0,arma_threshold_ma,no_position
190,2013-03-15 13:30:00+00:00,0.8399999999999999,arma_threshold_ma,long
195,2013-03-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
200,2013-04-01 13:30:00+00:00,0.14000000000000057,arma_threshold_ma,short
205,2013-04-08 13:30:00+00:00,2.1099999999999994,arma_threshold_ma,long
210,2013-04-15 13:30:00+00:00,0.41000000000000014,arma_threshold_ma,long
215,2013-04-22 13:30:00+00:00,0.9600000000000009,arma_threshold_ma,long
220,2013-04-29 13:30:00+00:00,0.0,arma_threshold_ma,no_position
225,2013-05-06 13:30:00+00:00,1.5999999999999979,arma_threshold_ma,long
230,2013-05-13 13:30:00+00:00,0.0,arma_threshold_ma,no_position
235,2013-05-20 13:30:00+00:00,0.0,arma_threshold_ma,no_position
240,2013-05-28 13:30:00+00:00,-2.049999999999997,arma_threshold_ma,long
245,2013-06-04 13:30:00+00:00,3.049999999999997,arma_threshold_ma,long
250,2013-06-11 13:30:00+00:00,0.08000000000000185,arma_threshold_ma,long
255,2013-06-18 13:30:00+00:00,2.299999999999997,arma_threshold_ma,long
260,2013-06-25 13:30:00+00:00,3.5900000000000034,arma_threshold_ma,long
265,2013-07-02 13:30:00+00:00,0.0,arma_threshold_ma,no_position
270,2013-07-10 13:30:00+00:00,-8.129999999999999,arma_threshold_ma,long
275,2013-07-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
280,2013-07-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
285,2013-07-31 13:30:00+00:00,-0.0,arma_threshold_ma,short
290,2013-08-07 13:30:00+00:00,0.0,arma_threshold_ma,no_position
295,2013-08-14 13:30:00+00:00,0.0,arma_threshold_ma,no_position
300,2013-08-21 13:30:00+00:00,0.0,arma_threshold_ma,no_position
305,2013-08-28 13:30:00+00:00,0.0,arma_threshold_ma,no_position
310,2013-09-05 13:30:00+00:00,-3.5899999999999963,arma_threshold_ma,short
315,2013-09-12 13:30:00+00:00,3.429999999999996,arma_threshold_ma,short
320,2013-09-19 13:30:00+00:00,4.449999999999999,arma_threshold_ma,short
325,2013-09-26 13:30:00+00:00,1.7000000000000028,arma_threshold_ma,short
330,2013-10-03 13:30:00+00:00,0.6499999999999986,arma_threshold_ma,short
335,2013-10-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
340,2013-10-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
345,2013-10-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
350,2013-10-31 13:30:00+00:00,0.0,arma_threshold_ma,no_position
355,2013-11-07 14:30:00+00:00,-0.5800000000000018,arma_threshold_ma,short
360,2013-11-14 14:30:00+00:00,-1.3599999999999994,arma_threshold_ma,short
365,2013-11-21 14:30:00+00:00,0.0,arma_threshold_ma,no_position
370,2013-11-29 14:30:00+00:00,-0.21999999999999886,arma_threshold_ma,short
375,2013-12-06 14:30:00+00:00,13.930000000000003,arma_threshold_ma,long
380,2013-12-13 14:30:00+00:00,14.740000000000002,arma_threshold_ma,short
385,2013-12-20 14:30:00+00:00,1.4399999999999977,arma_threshold_ma,long
390,2013-12-30 14:30:00+00:00,0.5,arma_threshold_ma,short
395,2014-01-07 14:30:00+00:00,0.0,arma_threshold_ma,no_position
400,2014-01-14 14:30:00+00:00,1.4100000000000001,arma_threshold_ma,short
405,2014-01-22 14:30:00+00:00,5.629999999999999,arma_threshold_ma,short
410,2014-01-29 14:30:00+00:00,1.3300000000000018,arma_threshold_ma,short
415,2014-02-05 14:30:00+00:00,0.0,arma_threshold_ma,no_position
420,2014-02-12 14:30:00+00:00,0.0,arma_threshold_ma,no_position
425,2014-02-20 14:30:00+00:00,0.0,arma_threshold_ma,no_position
430,2014-02-27 14:30:00+00:00,-1.509999999999998,arma_threshold_ma,short
435,2014-03-06 14:30:00+00:00,0.0,arma_threshold_ma,no_position
440,2014-03-13 13:30:00+00:00,8.579999999999998,arma_threshold_ma,long
445,2014-03-20 13:30:00+00:00,3.080000000000002,arma_threshold_ma,long
450,2014-03-27 13:30:00+00:00,0.7399999999999984,arma_threshold_ma,long
455,2014-04-03 13:30:00+00:00,0.0,arma_threshold_ma,no_position
460,2014-04-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
465,2014-04-17 13:30:00+00:00,-1.6400000000000006,arma_threshold_ma,long
470,2014-04-25 13:30:00+00:00,0.05999999999999872,arma_threshold_ma,long
475,2014-05-02 13:30:00+00:00,1.8500000000000014,arma_threshold_ma,long
480,2014-05-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
485,2014-05-16 13:30:00+00:00,0.0,arma_threshold_ma,no_position
490,2014-05-23 13:30:00+00:00,3.3500000000000014,arma_threshold_ma,short
495,2014-06-02 13:30:00+00:00,0.0,arma_threshold_ma,no_position
500,2014-06-09 13:30:00+00:00,0.0,arma_threshold_ma,no_position
505,2014-06-16 13:30:00+00:00,0.0,arma_threshold_ma,no_position
510,2014-06-23 13:30:00+00:00,1.0199999999999996,arma_threshold_ma,long
515,2014-06-30 13:30:00+00:00,0.9100000000000001,arma_threshold_ma,long
520,2014-07-08 13:30:00+00:00,0.0,arma_threshold_ma,no_position
525,2014-07-15 13:30:00+00:00,0.0,arma_threshold_ma,no_position
530,2014-07-22 13:30:00+00:00,3.3900000000000006,arma_threshold_ma,long
535,2014-07-29 13:30:00+00:00,0.0,arma_threshold_ma,no_position
540,2014-08-05 13:30:00+00:00,-2.3599999999999994,arma_threshold_ma,long
545,2014-08-12 13:30:00+00:00,1.0700000000000003,arma_threshold_ma,long
550,2014-08-19 13:30:00+00:00,0.0,arma_threshold_ma,no_position
555,2014-08-26 13:30:00+00:00,1.8500000000000014,arma_threshold_ma,short
560,2014-09-03 13:30:00+00:00,0.0,arma_threshold_ma,no_position
565,2014-09-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
570,2014-09-17 13:30:00+00:00,-0.46999999999999886,arma_threshold_ma,short
575,2014-09-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
580,2014-10-01 13:30:00+00:00,0.0,arma_threshold_ma,no_position
585,2014-10-08 13:30:00+00:00,0.0,arma_threshold_ma,no_position
590,2014-10-15 13:30:00+00:00,0.0,arma_threshold_ma,no_position
595,2014-10-22 13:30:00+00:00,2.09,arma_threshold_ma,long
600,2014-10-29 13:30:00+00:00,-0.3099999999999987,arma_threshold_ma,long
605,2014-11-05 14:30:00+00:00,0.0,arma_threshold_ma,no_position
610,2014-11-12 14:30:00+00:00,0.0,arma_threshold_ma,no_position
615,2014-11-19 14:30:00+00:00,-2.5599999999999987,arma_threshold_ma,long
620,2014-11-26 14:30:00+00:00,0.6799999999999997,arma_threshold_ma,short
625,2014-12-04 14:30:00+00:00,0.0,arma_threshold_ma,no_position
630,2014-12-11 14:30:00+00:00,0.0,arma_threshold_ma,no_position
635,2014-12-18 14:30:00+00:00,1.6099999999999994,arma_threshold_ma,long
640,2014-12-26 14:30:00+00:00,3.509999999999998,arma_threshold_ma,long
645,2015-01-05 14:30:00+00:00,0.0,arma_threshold_ma,no_position
650,2015-01-12 14:30:00+00:00,0.0,arma_threshold_ma,no_position
655,2015-01-20 14:30:00+00:00,4.59,arma_threshold_ma,short
660,2015-01-27 14:30:00+00:00,-1.6500000000000021,arma_threshold_ma,short
665,2015-02-03 14:30:00+00:00,0.0,arma_threshold_ma,no_position
670,2015-02-10 14:30:00+00:00,3.84,arma_threshold_ma,long
675,2015-02-18 14:30:00+00:00,3.879999999999999,arma_threshold_ma,short
680,2015-02-25 14:30:00+00:00,3.0100000000000016,arma_threshold_ma,short
685,2015-03-04 14:30:00+00:00,0.0,arma_threshold_ma,no_position
690,2015-03-11 13:30:00+00:00,0.0,arma_threshold_ma,no_position
695,2015-03-18 13:30:00+00:00,0.0,arma_threshold_ma,no_position
700,2015-03-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
705,2015-04-01 13:30:00+00:00,0.0,arma_threshold_ma,no_position
710,2015-04-09 13:30:00+00:00,7.520000000000003,arma_threshold_ma,short
715,2015-04-16 13:30:00+00:00,0.16999999999999815,arma_threshold_ma,short
720,2015-04-23 13:30:00+00:00,0.0,arma_threshold_ma,no_position
725,2015-04-30 13:30:00+00:00,0.8900000000000006,arma_threshold_ma,long
730,2015-05-07 13:30:00+00:00,0.14999999999999858,arma_threshold_ma,long
735,2015-05-14 13:30:00+00:00,0.0,arma_threshold_ma,no_position
740,2015-05-21 13:30:00+00:00,0.0,arma_threshold_ma,no_position
745,2015-05-29 13:30:00+00:00,0.0,arma_threshold_ma,no_position
750,2015-06-05 13:30:00+00:00,0.0,arma_threshold_ma,no_position
755,2015-06-12 13:30:00+00:00,-3.5700000000000003,arma_threshold_ma,short
760,2015-06-19 13:30:00+00:00,-1.2699999999999996,arma_threshold_ma,long
765,2015-06-26 13:30:00+00:00,4.109999999999999,arma_threshold_ma,long
770,2015-07-06 13:30:00+00:00,0.0,arma_threshold_ma,no_position
775,2015-07-13 13:30:00+00:00,-1.9100000000000037,arma_threshold_ma,long
780,2015-07-20 13:30:00+00:00,0.0,arma_threshold_ma,no_position
785,2015-07-27 13:30:00+00:00,0.0,arma_threshold_ma,no_position
790,2015-08-03 13:30:00+00:00,-0.22999999999999687,arma_threshold_ma,long
795,2015-08-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
800,2015-08-17 13:30:00+00:00,0.0,arma_threshold_ma,no_position
805,2015-08-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
810,2015-08-31 13:30:00+00:00,0.0,arma_threshold_ma,no_position
815,2015-09-08 13:30:00+00:00,0.0,arma_threshold_ma,no_position
820,2015-09-15 13:30:00+00:00,0.0,arma_threshold_ma,no_position
825,2015-09-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
830,2015-09-29 13:30:00+00:00,0.0,arma_threshold_ma,no_position
835,2015-10-06 13:30:00+00:00,-0.9199999999999982,arma_threshold_ma,short
840,2015-10-13 13:30:00+00:00,3.3200000000000003,arma_threshold_ma,short
845,2015-10-20 13:30:00+00:00,4.18,arma_threshold_ma,short
850,2015-10-27 13:30:00+00:00,0.6900000000000013,arma_threshold_ma,short
855,2015-11-03 14:30:00+00:00,0.16000000000000014,arma_threshold_ma,short
860,2015-11-10 14:30:00+00:00,0.0,arma_threshold_ma,no_position
865,2015-11-17 14:30:00+00:00,0.23000000000000043,arma_threshold_ma,short
870,2015-11-24 14:30:00+00:00,0.0,arma_threshold_ma,no_position
875,2015-12-02 14:30:00+00:00,0.0,arma_threshold_ma,no_position
880,2015-12-09 14:30:00+00:00,0.0,arma_threshold_ma,no_position
885,2015-12-16 14:30:00+00:00,0.0,arma_threshold_ma,no_position
890,2015-12-23 14:30:00+00:00,0.0,arma_threshold_ma,no_position
895,2015-12-31 14:30:00+00:00,1.8499999999999979,arma_threshold_ma,long
900,2016-01-08 14:30:00+00:00,0.3000000000000007,arma_threshold_ma,long
905,2016-01-15 14:30:00+00:00,0.0,arma_threshold_ma,no_position
910,2016-01-25 14:30:00+00:00,5.060000000000002,arma_threshold_ma,short
915,2016-02-01 14:30:00+00:00,1.8999999999999986,arma_threshold_ma,short
920,2016-02-08 14:30:00+00:00,1.0199999999999996,arma_threshold_ma,short
925,2016-02-16 14:30:00+00:00,0.33000000000000007,arma_threshold_ma,short
930,2016-02-23 14:30:00+00:00,0.0,arma_threshold_ma,no_position
935,2016-03-01 14:30:00+00:00,0.0,arma_threshold_ma,no_position
940,2016-03-08 14:30:00+00:00,0.0,arma_threshold_ma,no_position
945,2016-03-15 13:30:00+00:00,0.0,arma_threshold_ma,no_position
950,2016-03-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
955,2016-03-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
960,2016-04-06 13:30:00+00:00,0.0,arma_threshold_ma,no_position
965,2016-04-13 13:30:00+00:00,5.309999999999999,arma_threshold_ma,short
970,2016-04-20 13:30:00+00:00,5.34,arma_threshold_ma,long
975,2016-04-27 13:30:00+00:00,9.11,arma_threshold_ma,long
980,2016-05-04 13:30:00+00:00,0.0,arma_threshold_ma,no_position
985,2016-05-11 13:30:00+00:00,-2.379999999999999,arma_threshold_ma,long
990,2016-05-18 13:30:00+00:00,0.0,arma_threshold_ma,no_position
995,2016-05-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
1000,2016-06-02 13:30:00+00:00,-1.9699999999999989,arma_threshold_ma,long
1005,2016-06-09 13:30:00+00:00,4.639999999999997,arma_threshold_ma,long
1010,2016-06-16 13:30:00+00:00,7.449999999999999,arma_threshold_ma,long
1015,2016-06-23 13:30:00+00:00,1.6400000000000006,arma_threshold_ma,long
1020,2016-06-30 13:30:00+00:00,0.0,arma_threshold_ma,no_position
1025,2016-07-08 13:30:00+00:00,6.300000000000001,arma_threshold_ma,short
1030,2016-07-15 13:30:00+00:00,2.4999999999999964,arma_threshold_ma,long
1035,2016-07-22 13:30:00+00:00,0.0,arma_threshold_ma,no_position
1040,2016-07-29 13:30:00+00:00,-13.860000000000003,arma_threshold_ma,long
1045,2016-08-05 13:30:00+00:00,0.0,arma_threshold_ma,no_position
1050,2016-08-12 13:30:00+00:00,0.019999999999999574,arma_threshold_ma,long
1055,2016-08-19 13:30:00+00:00,-0.6800000000000033,arma_threshold_ma,short
1060,2016-08-26 13:30:00+00:00,3.200000000000003,arma_threshold_ma,short
1065,2016-09-02 13:30:00+00:00,0.0,arma_threshold_ma,no_position
1070,2016-09-12 13:30:00+00:00,0.0,arma_threshold_ma,no_position
1075,2016-09-19 13:30:00+00:00,1.5500000000000007,arma_threshold_ma,short
1080,2016-09-26 13:30:00+00:00,-2.120000000000001,arma_threshold_ma,short
1085,2016-10-03 13:30:00+00:00,1.4800000000000004,arma_threshold_ma,short
1090,2016-10-10 13:30:00+00:00,0.0,arma_threshold_ma,no_position
