,asofdate,pnl,strategy,positionType
0,2008-05-20 13:30:00+00:00,,arma_threshold_ma,long
5,2008-05-28 13:30:00+00:00,0.0,arma_threshold_ma,no_position
10,2008-06-04 13:30:00+00:00,0.0,arma_threshold_ma,no_position
15,2008-06-11 13:30:00+00:00,0.25,arma_threshold_ma,long
20,2008-06-18 13:30:00+00:00,7.6299999999999955,arma_threshold_ma,long
25,2008-06-25 13:30:00+00:00,0.0,arma_threshold_ma,no_position
30,2008-07-02 13:30:00+00:00,-2.1799999999999997,arma_threshold_ma,long
35,2008-07-10 13:30:00+00:00,2.0799999999999983,arma_threshold_ma,long
40,2008-07-17 13:30:00+00:00,0.8599999999999994,arma_threshold_ma,long
45,2008-07-24 13:30:00+00:00,0.0,arma_threshold_ma,no_position
50,2008-07-31 13:30:00+00:00,0.0,arma_threshold_ma,no_position
55,2008-08-14 13:30:00+00:00,0.0,arma_threshold_ma,no_position
60,2008-08-21 13:30:00+00:00,0.0,arma_threshold_ma,no_position
65,2008-08-28 13:30:00+00:00,-1.5399999999999991,arma_threshold_ma,long
70,2008-09-05 13:30:00+00:00,0.0,arma_threshold_ma,no_position
75,2008-09-12 13:30:00+00:00,0.0,arma_threshold_ma,no_position
80,2008-09-19 13:30:00+00:00,0.8999999999999986,arma_threshold_ma,long
85,2008-09-26 13:30:00+00:00,0.0,arma_threshold_ma,no_position
90,2008-10-03 13:30:00+00:00,-0.02999999999999403,arma_threshold_ma,long
95,2008-10-10 13:30:00+00:00,3.7099999999999937,arma_threshold_ma,long
100,2008-10-17 13:30:00+00:00,14.11,arma_threshold_ma,long
105,2008-10-24 13:30:00+00:00,-0.47999999999998977,arma_threshold_ma,long
110,2008-10-31 13:30:00+00:00,0.0,arma_threshold_ma,no_position
115,2008-11-07 14:30:00+00:00,-4.030000000000001,arma_threshold_ma,long
120,2008-11-14 14:30:00+00:00,0.0,arma_threshold_ma,no_position
125,2008-11-21 14:30:00+00:00,0.0,arma_threshold_ma,no_position
130,2008-12-01 14:30:00+00:00,0.0,arma_threshold_ma,no_position
135,2008-12-08 14:30:00+00:00,4.960000000000008,arma_threshold_ma,long
140,2008-12-15 14:30:00+00:00,7.329999999999998,arma_threshold_ma,long
145,2008-12-22 14:30:00+00:00,0.0,arma_threshold_ma,no_position
150,2008-12-30 14:30:00+00:00,-5.420000000000002,arma_threshold_ma,long
155,2009-01-07 14:30:00+00:00,0.0,arma_threshold_ma,no_position
160,2009-01-14 14:30:00+00:00,-10.420000000000002,arma_threshold_ma,long
165,2009-01-22 14:30:00+00:00,0.0,arma_threshold_ma,no_position
170,2009-01-29 14:30:00+00:00,-5.1299999999999955,arma_threshold_ma,short
175,2009-02-05 14:30:00+00:00,2.4000000000000057,arma_threshold_ma,short
180,2009-02-12 14:30:00+00:00,10.179999999999993,arma_threshold_ma,short
185,2009-02-20 14:30:00+00:00,0.0,arma_threshold_ma,no_position
190,2009-02-27 14:30:00+00:00,-6.400000000000006,arma_threshold_ma,short
