Tablename: tradelevelpnl_<strategyname>_<productname>_<arma_order>_<diff>_<forecastHorizon>_<trainDFLength>_<num_models>.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Types,,,,,,,,,,,,,
asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name
datetimew,float,flaot,float,float,float,int,Boolean,int,int,int,int,float,string
,,,,,,,,,,,,,
Column Description,,,,,,,,,,,,,
,,,,,,,,,,,,,
asofdate,The forecast origin of the model we trained,,,,,,,,,,,,
aic,The aic of the model,,,,,,,,,,,,
bic,The bic of the model.,,,,,,,,,,,,
hqic,The hqic of the model,,,,,,,,,,,,
mae,The mean absolute error fo the model,,,,,,,,,,,,
mse,The mean squared error of the model,,,,,,,,,,,,
forecastHorizon,Number of out of sample forecasts produced by each model. ,,,,,,,,,,,,
diff,If we want to use log_difference or straight difference to make the time series stationary. ,,,,,,,,,,,,
trainDFLength,The number of historical data points used to train the model.,,,,,,,,,,,,
num_models,The number forecasts generated by the model in total. ,,,,,,,,,,,,
order_p,p order of the model. ,,,,,,,,,,,,
order_q,q order of the model. ,,,,,,,,,,,,
time,Train time of each model,,,,,,,,,,,,
product_name,The name of the product used to train the model. ,,,,,,,,,,,,
