,asofdate,pnl,strategy,positionType,position_identifier
0,2011-10-05 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_0
1,2011-10-06 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_0
2,2011-10-07 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_0
3,2011-10-10 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_0
4,2011-10-11 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_0
5,2011-10-12 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_5
6,2011-10-13 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_5
7,2011-10-14 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_5
8,2011-10-17 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_5
9,2011-10-18 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_5
10,2011-10-19 00:00:00-04:00,-0.36207008361816406,arma_ma,short,EPHE_short_10
11,2011-10-20 00:00:00-04:00,0.07242012023925781,arma_ma,short,EPHE_short_10
12,2011-10-21 00:00:00-04:00,0.21723937988280895,arma_ma,short,EPHE_short_10
13,2011-10-24 00:00:00-04:00,-0.27155494689940696,arma_ma,short,EPHE_short_10
14,2011-10-25 00:00:00-04:00,-0.018104553222659803,arma_ma,short,EPHE_short_10
15,2011-10-26 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_15
16,2011-10-27 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_15
17,2011-10-28 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_15
18,2011-10-31 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_15
19,2011-11-01 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_15
20,2011-11-02 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_20
21,2011-11-03 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_20
22,2011-11-04 00:00:00-04:00,0.0,arma_ma,no_position,EPHE_no_position_20
23,2011-11-07 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_20
24,2011-11-08 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_20
25,2011-11-09 00:00:00-05:00,-0.30775260925292613,arma_ma,short,EPHE_short_25
26,2011-11-10 00:00:00-05:00,0.6245574951171875,arma_ma,short,EPHE_short_25
27,2011-11-11 00:00:00-05:00,-0.3077487945556676,arma_ma,short,EPHE_short_25
28,2011-11-14 00:00:00-05:00,-0.2444000244140625,arma_ma,short,EPHE_short_25
29,2011-11-15 00:00:00-05:00,0.35301971435546875,arma_ma,short,EPHE_short_25
30,2011-11-16 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_30
31,2011-11-17 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_30
32,2011-11-18 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_30
33,2011-11-21 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_30
34,2011-11-22 00:00:00-05:00,0.0,arma_ma,no_position,EPHE_no_position_30
35,2011-11-23 00:00:00-05:00,-0.3077526092529297,arma_ma,short,EPHE_short_35
36,2011-11-25 00:00:00-05:00,0.22629356384276988,arma_ma,short,EPHE_short_35
37,2011-11-28 00:00:00-05:00,0.2353382110595703,arma_ma,short,EPHE_short_35
38,2011-11-29 00:00:00-05:00,0.045255661010738635,arma_ma,short,EPHE_short_35
39,2011-11-30 00:00:00-05:00,0.271551132202152,arma_ma,short,EPHE_short_35
