,asofdate,pnl,strategy,positionType,position_identifier
0,2004-02-17 00:00:00-05:00,0.07933807373046875,arma_ma,long,EZA_long_0
1,2004-02-18 00:00:00-05:00,0.20985984802245916,arma_ma,long,EZA_long_0
2,2004-02-19 00:00:00-05:00,-0.18171024322509588,arma_ma,long,EZA_long_0
3,2004-02-20 00:00:00-05:00,-0.03326702117919922,arma_ma,long,EZA_long_0
4,2004-02-23 00:00:00-05:00,-0.24825286865234375,arma_ma,long,EZA_long_0
5,2004-02-24 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_5
6,2004-02-25 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_5
7,2004-02-26 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_5
8,2004-02-27 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_5
9,2004-03-01 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_5
10,2004-03-02 00:00:00-05:00,0.28152561187743963,arma_ma,long,EZA_long_10
11,2004-03-03 00:00:00-05:00,-0.13052558898925604,arma_ma,long,EZA_long_10
12,2004-03-04 00:00:00-05:00,-0.27383899688720703,arma_ma,long,EZA_long_10
13,2004-03-05 00:00:00-05:00,0.05629920959472834,arma_ma,long,EZA_long_10
14,2004-03-08 00:00:00-05:00,0.4018096923828107,arma_ma,long,EZA_long_10
15,2004-03-09 00:00:00-05:00,0.11004924774169922,arma_ma,long,EZA_long_15
16,2004-03-10 00:00:00-05:00,-0.08701610565185547,arma_ma,long,EZA_long_15
17,2004-03-11 00:00:00-05:00,-0.41715621948242365,arma_ma,long,EZA_long_15
18,2004-03-12 00:00:00-05:00,-0.28664302825927557,arma_ma,long,EZA_long_15
19,2004-03-15 00:00:00-05:00,0.03839302062988459,arma_ma,long,EZA_long_15
20,2004-03-16 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_20
21,2004-03-17 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_20
22,2004-03-18 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_20
23,2004-03-19 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_20
24,2004-03-22 00:00:00-05:00,0.0,arma_ma,no_position,EZA_no_position_20
25,2004-03-23 00:00:00-05:00,-0.06654167175292969,arma_ma,long,EZA_long_25
26,2004-03-24 00:00:00-05:00,0.030714035034179688,arma_ma,long,EZA_long_25
27,2004-03-25 00:00:00-05:00,-0.2891960144042951,arma_ma,long,EZA_long_25
28,2004-03-26 00:00:00-05:00,0.0844497680664027,arma_ma,long,EZA_long_25
29,2004-03-29 00:00:00-05:00,0.11772918701172053,arma_ma,long,EZA_long_25
30,2004-03-30 00:00:00-05:00,0.21241855621338068,arma_ma,long,EZA_long_30
31,2004-03-31 00:00:00-05:00,0.20474147796630682,arma_ma,long,EZA_long_30
32,2004-04-01 00:00:00-05:00,0.3096694946289045,arma_ma,long,EZA_long_30
33,2004-04-02 00:00:00-05:00,0.14076137542724787,arma_ma,long,EZA_long_30
34,2004-04-05 00:00:00-04:00,-0.11772632598876953,arma_ma,long,EZA_long_30
35,2004-04-06 00:00:00-04:00,-0.015353202819824219,arma_ma,long,EZA_long_35
36,2004-04-07 00:00:00-04:00,0.24312686920166016,arma_ma,long,EZA_long_35
37,2004-04-08 00:00:00-04:00,-0.04094982147216797,arma_ma,long,EZA_long_35
38,2004-04-12 00:00:00-04:00,-0.05117988586425781,arma_ma,long,EZA_long_35
39,2004-04-13 00:00:00-04:00,-0.03326892852783203,arma_ma,long,EZA_long_35
40,2004-04-14 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_40
41,2004-04-15 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_40
42,2004-04-16 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_40
43,2004-04-19 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_40
44,2004-04-20 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_40
45,2004-04-21 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_45
46,2004-04-22 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_45
47,2004-04-23 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_45
48,2004-04-26 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_45
49,2004-04-27 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_45
50,2004-04-28 00:00:00-04:00,-0.11773204803466797,arma_ma,short,EZA_short_50
51,2004-04-29 00:00:00-04:00,0.578394889831543,arma_ma,short,EZA_short_50
52,2004-04-30 00:00:00-04:00,0.166351318359375,arma_ma,short,EZA_short_50
53,2004-05-03 00:00:00-04:00,0.4350757598876953,arma_ma,short,EZA_short_50
54,2004-05-04 00:00:00-04:00,-0.05374336242675781,arma_ma,short,EZA_short_50
55,2004-05-05 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_55
56,2004-05-06 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_55
57,2004-05-07 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_55
58,2004-05-10 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_55
59,2004-05-11 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_55
60,2004-05-12 00:00:00-04:00,-0.3608560562133789,arma_ma,short,EZA_short_60
61,2004-05-13 00:00:00-04:00,-0.02303218841552912,arma_ma,short,EZA_short_60
62,2004-05-14 00:00:00-04:00,0.00255489349365412,arma_ma,short,EZA_short_60
63,2004-05-17 00:00:00-04:00,0.20218276977539062,arma_ma,short,EZA_short_60
64,2004-05-18 00:00:00-04:00,0.0076808929443359375,arma_ma,short,EZA_short_60
65,2004-05-19 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_65
66,2004-05-20 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_65
67,2004-05-21 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_65
68,2004-05-24 00:00:00-04:00,0.0,arma_ma,no_position,EZA_no_position_65
