,asofdate,pnl,strategy,positionType,position_identifier
0,2010-11-30 00:00:00-05:00,-0.214361190795902,arma_ma,short,INDY_short_0
1,2010-12-01 00:00:00-05:00,0.025728225708007812,arma_ma,short,INDY_short_0
2,2010-12-02 00:00:00-05:00,-0.9517536163330078,arma_ma,short,INDY_short_0
3,2010-12-03 00:00:00-05:00,-0.3344001770019531,arma_ma,short,INDY_short_0
4,2010-12-06 00:00:00-05:00,0.04286384582519531,arma_ma,short,INDY_short_0
5,2010-12-07 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_5
6,2010-12-08 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_5
7,2010-12-09 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_5
8,2010-12-10 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_5
9,2010-12-13 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_5
10,2010-12-14 00:00:00-05:00,-0.317249298095696,arma_ma,short,INDY_short_10
11,2010-12-15 00:00:00-05:00,-0.17148590087891336,arma_ma,short,INDY_short_10
12,2010-12-16 00:00:00-05:00,0.5487613677978445,arma_ma,short,INDY_short_10
13,2010-12-17 00:00:00-05:00,-0.3772754669189311,arma_ma,short,INDY_short_10
14,2010-12-20 00:00:00-05:00,-0.08573913574219816,arma_ma,short,INDY_short_10
15,2010-12-21 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_15
16,2010-12-22 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_15
17,2010-12-23 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_15
18,2010-12-27 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_15
19,2010-12-28 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_15
20,2010-12-29 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_20
21,2010-12-30 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_20
22,2010-12-31 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_20
23,2011-01-03 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_20
24,2011-01-04 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_20
25,2011-01-05 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_25
26,2011-01-06 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_25
27,2011-01-07 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_25
28,2011-01-10 00:00:00-05:00,0.0,arma_ma,no_position,INDY_no_position_25
