,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,acf_0,acf_1,acf_2,acf_3,acf_4,pacf_0,pacf_1,pacf_2,pacf_3,pacf_4
0,2009-03-27 00:00:00-04:00,-821.6381184219281,-807.5204020718824,-815.9574418534745,0.03277998119824728,0.00217635826026111,5,True,252,3457,1,0,0 days 00:00:00.368770,TUR,1.0,-0.04984403036956957,-0.06970242036015192,0.0685450296509786,-0.09720849983108258,1.0,-0.050042612163870626,-0.07294698118350393,0.06243569880701181,-0.09828078398838319
1,2009-04-03 00:00:00-04:00,-820.7290213277972,-806.6113049777515,-815.0483447593436,0.03293986108859916,0.002184158305847319,5,True,252,3457,1,0,0 days 00:00:00.302204,TUR,1.0,-0.040072842642365235,-0.0694669160603646,0.06402450009630932,-0.09219744413968246,1.0,-0.04023249540189657,-0.07175745554504603,0.05929032811042386,-0.09459615082974643
2,2009-04-13 00:00:00-04:00,-817.562089259018,-803.4443729089722,-811.8814126905644,0.033305022558172186,0.0022118004410594284,5,True,252,3457,1,0,0 days 00:00:00.299220,TUR,1.0,-0.03793057215841473,-0.07058126110085883,0.06416869567275192,-0.08861746823077245,1.0,-0.038081689975778925,-0.07270155920085328,0.05966833581486839,-0.09133988976814841
3,2009-04-20 00:00:00-04:00,-814.0721306954247,-799.954414345379,-808.3914541269711,0.033830428844260026,0.002242626018118846,5,True,252,3457,1,0,0 days 00:00:00.307339,TUR,1.0,-0.035665123895643594,-0.08346575104555232,0.058117418720794664,-0.07440816473935774,1.0,-0.03580721602271787,-0.08552529059922598,0.05293957906949647,-0.07962013289416377
4,2009-04-27 00:00:00-04:00,-812.5823266985029,-798.4646103484572,-806.9016501300493,0.03403589764768269,0.002255922802022228,5,True,252,3457,1,0,0 days 00:00:00.451357,TUR,1.0,-0.04408994454167718,-0.08364846226877092,0.06429589917044685,-0.07834489230282732,1.0,-0.0442656016912456,-0.08644648045363429,0.057732635295996766,-0.08235062910643678
5,2009-05-04 00:00:00-04:00,-807.1220641055792,-793.0043477555334,-801.4413875371256,0.034529589449668815,0.0023054284588342484,5,True,252,3457,1,0,0 days 00:00:00.199981,TUR,1.0,-0.04105698837743444,-0.08204058300096259,0.07712683244055042,-0.07648588821184649,1.0,-0.04122056203630869,-0.08453968671771284,0.07150598526642918,-0.07958757912089125
6,2009-05-11 00:00:00-04:00,-805.4796199665006,-791.3619036164549,-799.7989433980471,0.03494705055222045,0.0023204359771058815,5,True,252,3457,1,0,0 days 00:00:00.293747,TUR,1.0,-0.04599722376618466,-0.07306023394175942,0.07037335260615804,-0.0744690080555518,1.0,-0.046180479637763075,-0.07593930345836271,0.0645643232344256,-0.07576610189829455
7,2009-05-18 00:00:00-04:00,-802.8517885341423,-788.7340721840966,-797.1711119656887,0.035331072973441506,0.0023447702531200526,5,True,252,3457,1,0,0 days 00:00:00.301607,TUR,1.0,-0.0506068372990683,-0.06696214205948849,0.06026076638748185,-0.05991677201518352,1.0,-0.05080845816480166,-0.0702607166163188,0.05415297915299479,-0.060218336352699166
8,2009-05-26 00:00:00-04:00,-804.1169020161751,-789.9991856661294,-798.4362254477215,0.03504361867929943,0.0023330315572525537,5,True,252,3457,1,0,0 days 00:00:00.297662,TUR,1.0,-0.050091987193492823,-0.06683325615243928,0.061118265739953555,-0.05635951562612223,1.0,-0.05029155686358639,-0.07007439791207212,0.05511437524774502,-0.056518019609334294
9,2009-06-02 00:00:00-04:00,-802.2123648157608,-788.0946484657151,-796.5316882473072,0.03526290573261775,0.002350763423758446,5,True,252,3457,1,0,0 days 00:00:00.149599,TUR,1.0,-0.04990754200804759,-0.06764493519814248,0.058828858379520906,-0.05555387594000386,1.0,-0.050106376836764915,-0.07087468513677882,0.05272421291741823,-0.05605190807117132
10,2009-06-09 00:00:00-04:00,-802.8527551792881,-788.7350388292424,-797.1720786108345,0.03533728113216398,0.0023447788127407255,5,True,252,3457,1,0,0 days 00:00:00.309127,TUR,1.0,-0.0441512676269603,-0.0752841913585233,0.05915385453230158,-0.05415712127555751,1.0,-0.044327169091609546,-0.07800463395204507,0.053210286776943554,-0.056397979594524
11,2009-06-16 00:00:00-04:00,-802.7891292465113,-788.6714128964655,-797.1084526780577,0.03535211917395298,0.00234534792134928,5,True,252,3457,1,0,0 days 00:00:00.374846,TUR,1.0,-0.04478307742948971,-0.07677150334595087,0.05715966273932084,-0.052910453658117494,1.0,-0.044961496064666984,-0.0795680612114952,0.050939436811161476,-0.055471552229060236
12,2009-06-23 00:00:00-04:00,-801.0761276391848,-786.9584112891391,-795.3954510707313,0.035441475464205424,0.0023613928666739465,5,True,252,3457,1,0,0 days 00:00:00.147890,TUR,1.0,-0.04454455227050563,-0.07995510824188347,0.055656459141916956,-0.050470976334955356,1.0,-0.0447220206062447,-0.08276033379589469,0.04915748900094067,-0.053669168563263286
13,2009-06-30 00:00:00-04:00,-802.1858709401064,-788.0681545900607,-796.5051943716528,0.035441763232257666,0.0023510605345559597,5,True,252,3457,1,0,0 days 00:00:00.358045,TUR,1.0,-0.042976761777039,-0.08283199250486542,0.04849984042617231,-0.04743877775613962,1.0,-0.04314798393551326,-0.08551560551441026,0.041867190941544896,-0.051815215020143676
14,2009-07-08 00:00:00-04:00,-805.1753741470721,-791.0576577970264,-799.4946975786186,0.03488434858195736,0.0023232389273455927,5,True,252,3457,1,0,0 days 00:00:00.356525,TUR,1.0,-0.0473021110877593,-0.08009749173683409,0.05247833221075351,-0.045841098193989356,1.0,-0.04749056571360696,-0.0831812286051956,0.04542305280800863,-0.048967770120384335
15,2009-07-15 00:00:00-04:00,-804.0811948741084,-789.9634785240627,-798.4005183056548,0.03503558812105235,0.0023333783054359115,5,True,252,3457,1,0,0 days 00:00:00.296775,TUR,1.0,-0.05006521702952205,-0.07848100368221363,0.050605100903614295,-0.04647952740433092,1.0,-0.0502646800455759,-0.08184216712190873,0.04319696084565097,-0.049287560535057985
16,2009-07-22 00:00:00-04:00,-804.8276822759387,-790.709965925893,-799.1470057074852,0.0348949643132506,0.002326438564278264,5,True,252,3457,1,0,0 days 00:00:00.383859,TUR,1.0,-0.05297271951992692,-0.08115222109157734,0.052913285509396675,-0.04773126023286175,1.0,-0.0531837662112414,-0.08487000776802042,0.044765502045229055,-0.050571842426121685
17,2009-07-29 00:00:00-04:00,-806.6490943707448,-792.5313780206991,-800.9684178022912,0.034686239933873916,0.0023098909854675715,5,True,252,3457,1,0,0 days 00:00:00.325389,TUR,1.0,-0.060525615969839935,-0.08097765169771765,0.05698186550498126,-0.04630055896643013,1.0,-0.06076675388207037,-0.08563428430794576,0.04760338333277875,-0.04795381713704733
18,2009-08-05 00:00:00-04:00,-806.7445142952427,-792.6267979451969,-801.0638377267891,0.03474895836702947,0.002308810288419365,5,True,252,3457,1,0,0 days 00:00:00.291891,TUR,1.0,-0.062011905385261454,-0.08078647807242782,0.05569279057096772,-0.0459556366586596,1.0,-0.06225896476926645,-0.08564090805429495,0.04604261506411833,-0.04759540307123292
