,asofdate,pnl,strategy,positionType,position_identifier
0,2019-05-08 00:00:00-04:00,0.7173118591308594,arma_ma,short,ECH_short_0
1,2019-05-09 00:00:00-04:00,0.042690277099609375,arma_ma,short,ECH_short_0
2,2019-05-10 00:00:00-04:00,0.042697906494140625,arma_ma,short,ECH_short_0
3,2019-05-13 00:00:00-04:00,0.07685470581054688,arma_ma,short,ECH_short_0
4,2019-05-14 00:00:00-04:00,0.86248779296875,arma_ma,short,ECH_short_0
5,2019-05-15 00:00:00-04:00,-0.19640731811523438,arma_ma,short,ECH_short_5
6,2019-05-16 00:00:00-04:00,-0.008541107177734375,arma_ma,short,ECH_short_5
7,2019-05-17 00:00:00-04:00,0.24764251708984375,arma_ma,short,ECH_short_5
8,2019-05-20 00:00:00-04:00,0.26471710205078125,arma_ma,short,ECH_short_5
9,2019-05-21 00:00:00-04:00,0.23056793212890625,arma_ma,short,ECH_short_5
10,2019-05-22 00:00:00-04:00,-0.13663101196289062,arma_ma,short,ECH_short_10
11,2019-05-23 00:00:00-04:00,0.25618743896484375,arma_ma,short,ECH_short_10
12,2019-05-24 00:00:00-04:00,0.28179168701171875,arma_ma,short,ECH_short_10
13,2019-05-28 00:00:00-04:00,0.008548736572265625,arma_ma,short,ECH_short_10
14,2019-05-29 00:00:00-04:00,0.75146484375,arma_ma,short,ECH_short_10
15,2019-05-30 00:00:00-04:00,-0.3586578369140625,arma_ma,short,ECH_short_15
16,2019-05-31 00:00:00-04:00,-0.17932891845703125,arma_ma,short,ECH_short_15
17,2019-06-03 00:00:00-04:00,0.14517593383789062,arma_ma,short,ECH_short_15
18,2019-06-04 00:00:00-04:00,-0.9734954833984375,arma_ma,short,ECH_short_15
19,2019-06-05 00:00:00-04:00,-0.4013557434082031,arma_ma,short,ECH_short_15
20,2019-06-06 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_20
21,2019-06-07 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_20
22,2019-06-10 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_20
23,2019-06-11 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_20
24,2019-06-12 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_20
25,2019-06-13 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_25
26,2019-06-14 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_25
27,2019-06-17 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_25
28,2019-06-18 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_25
29,2019-06-19 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_25
30,2019-06-20 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_30
31,2019-06-21 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_30
32,2019-06-24 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_30
33,2019-06-25 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_30
34,2019-06-26 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_30
35,2019-06-27 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_35
36,2019-06-28 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_35
37,2019-07-01 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_35
38,2019-07-02 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_35
39,2019-07-03 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_35
40,2019-07-05 00:00:00-04:00,-0.008701324462890625,arma_ma,short,ECH_short_40
41,2019-07-08 00:00:00-04:00,0.08702850341796875,arma_ma,short,ECH_short_40
42,2019-07-09 00:00:00-04:00,0.06962966918945312,arma_ma,short,ECH_short_40
43,2019-07-10 00:00:00-04:00,0.19145584106445312,arma_ma,short,ECH_short_40
44,2019-07-11 00:00:00-04:00,-0.2958984375,arma_ma,short,ECH_short_40
45,2019-07-12 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_45
46,2019-07-15 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_45
47,2019-07-16 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_45
48,2019-07-17 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_45
49,2019-07-18 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_45
50,2019-07-19 00:00:00-04:00,-0.043514251708984375,arma_ma,short,ECH_short_50
51,2019-07-22 00:00:00-04:00,0.4003448486328125,arma_ma,short,ECH_short_50
52,2019-07-23 00:00:00-04:00,0.20886993408203125,arma_ma,short,ECH_short_50
53,2019-07-24 00:00:00-04:00,0.33941650390625,arma_ma,short,ECH_short_50
54,2019-07-25 00:00:00-04:00,0.15665817260742188,arma_ma,short,ECH_short_50
55,2019-07-26 00:00:00-04:00,0.16534805297851562,arma_ma,short,ECH_short_55
56,2019-07-29 00:00:00-04:00,-0.24367904663085938,arma_ma,short,ECH_short_55
57,2019-07-30 00:00:00-04:00,0.21757125854492188,arma_ma,short,ECH_short_55
58,2019-07-31 00:00:00-04:00,0.07832717895507812,arma_ma,short,ECH_short_55
59,2019-08-01 00:00:00-04:00,0.32201385498046875,arma_ma,short,ECH_short_55
60,2019-08-02 00:00:00-04:00,0.4264488220214844,arma_ma,short,ECH_short_60
61,2019-08-05 00:00:00-04:00,0.6179161071777344,arma_ma,short,ECH_short_60
62,2019-08-06 00:00:00-04:00,1.0791740417480469,arma_ma,short,ECH_short_60
63,2019-08-07 00:00:00-04:00,-0.17406654357910156,arma_ma,short,ECH_short_60
64,2019-08-08 00:00:00-04:00,-0.28719329833984375,arma_ma,short,ECH_short_60
65,2019-08-09 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_65
66,2019-08-12 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_65
67,2019-08-13 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_65
68,2019-08-14 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_65
69,2019-08-15 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_65
70,2019-08-16 00:00:00-04:00,-0.0,arma_ma,short,ECH_short_70
71,2019-08-19 00:00:00-04:00,-0.2784976959228551,arma_ma,short,ECH_short_70
72,2019-08-20 00:00:00-04:00,0.17405319213867543,arma_ma,short,ECH_short_70
73,2019-08-21 00:00:00-04:00,0.05222129821777344,arma_ma,short,ECH_short_70
74,2019-08-22 00:00:00-04:00,0.017406463623046875,arma_ma,short,ECH_short_70
75,2019-08-23 00:00:00-04:00,0.4177436828613281,arma_ma,short,ECH_short_75
76,2019-08-26 00:00:00-04:00,0.7223529815673757,arma_ma,short,ECH_short_75
77,2019-08-27 00:00:00-04:00,0.2871990203857493,arma_ma,short,ECH_short_75
78,2019-08-28 00:00:00-04:00,-0.2436847686767578,arma_ma,short,ECH_short_75
79,2019-08-29 00:00:00-04:00,0.3742332458496094,arma_ma,short,ECH_short_75
80,2019-08-30 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_80
81,2019-09-03 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_80
82,2019-09-04 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_80
83,2019-09-05 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_80
84,2019-09-06 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_80
85,2019-09-09 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_85
86,2019-09-10 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_85
87,2019-09-11 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_85
88,2019-09-12 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_85
89,2019-09-13 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_85
90,2019-09-16 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_90
91,2019-09-17 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_90
92,2019-09-18 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_90
93,2019-09-19 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_90
94,2019-09-20 00:00:00-04:00,0.0,arma_ma,no_position,ECH_no_position_90
