,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,acf_0,acf_1,acf_2,acf_3,acf_4,pacf_0,pacf_1,pacf_2,pacf_3,pacf_4
0,2019-05-01 00:00:00-04:00,-1580.2600301751577,-1559.083455650089,-1571.7390153224774,0.007473502792652298,0.00010555232911821557,5,True,252,907,2,0,0 days 00:00:00.487949,EWM,1.0,-0.11335578880443113,0.058936533831958335,-0.12901181294213407,0.020170758176674988,1.0,-0.11380740549289503,0.04706549880697693,-0.12059251106539007,-0.008929375660666296
1,2019-05-08 00:00:00-04:00,-1576.0709863944444,-1554.8944118693757,-1567.549971541764,0.007514910748708625,0.00010731689991482407,5,True,252,907,2,0,0 days 00:00:00.342450,EWM,1.0,-0.11028813943433013,0.019564260077817006,-0.10739126359841598,0.01605253454089865,1.0,-0.11072753441215617,0.007552788905989812,-0.10699959916554654,-0.007485984225190046
2,2019-05-15 00:00:00-04:00,-1647.417681668524,-1626.2411071434553,-1638.8966668158437,0.007082477477755781,8.08509268942669e-05,5,True,252,907,2,0,0 days 00:00:00.259516,EWM,1.0,-0.04959000342213367,-0.07891607428411059,0.0527451525477182,0.01900300384777401,1.0,-0.04978757315688318,-0.08223003733649648,0.04541940079566705,0.01810518417323094
3,2019-05-22 00:00:00-04:00,-1649.8062833391177,-1628.629708814049,-1641.2852684864374,0.007017602192952998,8.009666760813825e-05,5,True,252,907,2,0,0 days 00:00:00.284388,EWM,1.0,-0.04889246916459908,-0.06689566242991206,0.054975674298123306,-0.0012554713816964247,1.0,-0.04908725987840226,-0.07000907782103315,0.04901753375829843,-0.0006920599063419729
4,2019-05-30 00:00:00-04:00,-1665.2487708406986,-1644.07219631563,-1656.7277559880183,0.006878678151723503,7.53333154464939e-05,5,True,252,907,2,0,0 days 00:00:00.477929,EWM,1.0,-0.031298909381263174,-0.055796863099951494,0.016850102564122255,-0.008801483124840078,1.0,-0.031423606231387756,-0.057287248927917096,0.01344167363225931,-0.01121438080020088
5,2019-06-06 00:00:00-04:00,-1668.0702085606956,-1646.893634035627,-1659.5491937080153,0.006823160071496748,7.449172819056677e-05,5,True,252,907,2,0,0 days 00:00:00.259847,EWM,1.0,-0.017994484016031584,-0.03907565322989417,0.018144489768844464,-0.0202045746224773,1.0,-0.018066175187410174,-0.03972761170515876,0.01693775904524985,-0.02149122641219595
6,2019-06-13 00:00:00-04:00,-1677.2373729544775,-1656.0607984294088,-1668.7163581017971,0.006686031009320074,7.182964949043627e-05,5,True,252,907,2,0,0 days 00:00:00.397407,EWM,1.0,-0.013746635122681473,-0.04193895285521137,0.015494224612982813,-0.014546464395944952,1.0,-0.013801402593289751,-0.042473033400357456,0.014515432052223817,-0.016187187205780714
7,2019-06-20 00:00:00-04:00,-1671.8243727558927,-1650.647798230824,-1663.3033579032124,0.006782077942417418,7.33902144634436e-05,5,True,252,907,2,0,0 days 00:00:00.285266,EWM,1.0,-0.0054918961673070645,-0.04549035558090078,0.0014839526583943195,-0.03129448154784109,1.0,-0.005513776231718644,-0.04588607516987305,0.0009865014765046121,-0.03396158164462365
8,2019-06-27 00:00:00-04:00,-1677.3210240131016,-1656.144449488033,-1668.8000091604213,0.006650764305996689,7.180652905032536e-05,5,True,252,907,2,0,0 days 00:00:00.375402,EWM,1.0,-0.013990835243269493,-0.05122521393429778,-0.0013861476515832445,-0.04508000267560925,1.0,-0.014046575622724749,-0.05184255079368851,-0.0029023263845918863,-0.04868875826612232
9,2019-07-05 00:00:00-04:00,-1679.8054133595808,-1658.6288388345122,-1671.2843985069005,0.006604993487668652,7.110231665803573e-05,5,True,252,907,2,0,0 days 00:00:00.264911,EWM,1.0,-0.01589341334602769,-0.028249494616966943,-0.011998524206564904,-0.043131627522000435,1.0,-0.015956733717924214,-0.02873742497186673,-0.013083206679289545,-0.04512084640631236
10,2019-07-12 00:00:00-04:00,-1682.6659504878335,-1661.4893759627648,-1674.1449356351532,0.006534941090796103,7.029977551335594e-05,5,True,252,907,2,0,0 days 00:00:00.231374,EWM,1.0,-0.005352970551600441,-0.031882230180626206,-0.021628579763373453,-0.03451351707669595,1.0,-0.005374297127503232,-0.03216710017627964,-0.022263991137875028,-0.03642144302614728
11,2019-07-19 00:00:00-04:00,-1685.1431122906956,-1663.966537765627,-1676.6220974380153,0.006501048983429055,6.961211298026343e-05,5,True,252,907,2,0,0 days 00:00:00.223304,EWM,1.0,-0.019742882790760717,-0.03922231428412571,-0.028703640161647604,-0.04319229615958575,1.0,-0.019821539694309557,-0.039944680236914096,-0.030717262873692367,-0.04687386658770093
12,2019-07-26 00:00:00-04:00,-1688.4488452979292,-1667.2722707728606,-1679.927830445249,0.0064228643499365115,6.870490124926766e-05,5,True,252,907,2,0,0 days 00:00:00.271061,EWM,1.0,-0.01506581781771987,-0.03782425809268178,-0.034608596482789813,-0.04838032250647899,1.0,-0.015125840996276516,-0.038364420659961165,-0.03626635020562045,-0.0519490275705277
