,asofdate,pnl,strategy,positionType,position_identifier
0,2019-05-15 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_0
1,2019-05-16 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_0
2,2019-05-17 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_0
3,2019-05-20 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_0
4,2019-05-21 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_0
5,2019-05-22 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_5
6,2019-05-23 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_5
7,2019-05-24 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_5
8,2019-05-28 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_5
9,2019-05-29 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_5
10,2019-05-30 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_10
11,2019-05-31 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_10
12,2019-06-03 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_10
13,2019-06-04 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_10
14,2019-06-05 00:00:00-04:00,0.0,arma_ma,no_position,XLY_no_position_10
15,2019-06-06 00:00:00-04:00,0.5386199951171733,arma_ma,long,XLY_long_15
16,2019-06-07 00:00:00-04:00,0.5578079223632955,arma_ma,long,XLY_long_15
17,2019-06-10 00:00:00-04:00,1.5869369506835795,arma_ma,long,XLY_long_15
18,2019-06-11 00:00:00-04:00,0.9425430297851705,arma_ma,long,XLY_long_15
19,2019-06-12 00:00:00-04:00,0.43280029296875,arma_ma,long,XLY_long_15
20,2019-06-13 00:00:00-04:00,-0.02886199951171875,arma_ma,long,XLY_long_20
21,2019-06-14 00:00:00-04:00,1.0098800659179688,arma_ma,long,XLY_long_20
22,2019-06-17 00:00:00-04:00,0.25005340576171875,arma_ma,long,XLY_long_20
23,2019-06-18 00:00:00-04:00,0.04808807373048296,arma_ma,long,XLY_long_20
24,2019-06-19 00:00:00-04:00,0.8656005859374716,arma_ma,long,XLY_long_20
25,2019-06-20 00:00:00-04:00,0.21158599853515625,arma_ma,long,XLY_long_25
26,2019-06-21 00:00:00-04:00,0.798271179199233,arma_ma,long,XLY_long_25
27,2019-06-24 00:00:00-04:00,-0.5365905761718608,arma_ma,long,XLY_long_25
28,2019-06-25 00:00:00-04:00,-0.61767578125,arma_ma,long,XLY_long_25
29,2019-06-26 00:00:00-04:00,-1.1001815795898438,arma_ma,long,XLY_long_25
30,2019-06-27 00:00:00-04:00,-0.36672210693357954,arma_ma,short,XLY_short_30
