,asofdate,pnl,strategy,positionType,position_identifier
0,2014-05-13 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_0
1,2014-05-14 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_0
2,2014-05-15 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_0
3,2014-05-16 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_0
4,2014-05-19 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_0
5,2014-05-20 00:00:00-04:00,-0.3111839294433594,arma_ma,short,XLV_short_5
6,2014-05-21 00:00:00-04:00,0.31981658935546875,arma_ma,short,XLV_short_5
7,2014-05-22 00:00:00-04:00,-0.4235572814941406,arma_ma,short,XLV_short_5
8,2014-05-23 00:00:00-04:00,-0.30254364013671875,arma_ma,short,XLV_short_5
9,2014-05-27 00:00:00-04:00,-0.025928497314453125,arma_ma,short,XLV_short_5
10,2014-05-28 00:00:00-04:00,0.2766113281249929,arma_ma,long,XLV_long_10
11,2014-05-29 00:00:00-04:00,-0.14695358276366477,arma_ma,long,XLV_long_10
12,2014-05-30 00:00:00-04:00,0.4062767028808594,arma_ma,long,XLV_long_10
13,2014-06-02 00:00:00-04:00,0.13831329345703125,arma_ma,long,XLV_long_10
14,2014-06-03 00:00:00-04:00,0.06914138793945312,arma_ma,long,XLV_long_10
15,2014-06-04 00:00:00-04:00,0.09508895874023438,arma_ma,long,XLV_long_15
16,2014-06-05 00:00:00-04:00,0.14695358276367188,arma_ma,long,XLV_long_15
17,2014-06-06 00:00:00-04:00,0.060512542724609375,arma_ma,long,XLV_long_15
18,2014-06-09 00:00:00-04:00,-0.05187225341796875,arma_ma,long,XLV_long_15
19,2014-06-10 00:00:00-04:00,-0.26796722412109375,arma_ma,long,XLV_long_15
20,2014-06-11 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_20
21,2014-06-12 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_20
22,2014-06-13 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_20
23,2014-06-16 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_20
24,2014-06-17 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_20
25,2014-06-18 00:00:00-04:00,-0.025936126708984375,arma_ma,long,XLV_long_25
26,2014-06-19 00:00:00-04:00,0.4149131774902344,arma_ma,long,XLV_long_25
27,2014-06-20 00:00:00-04:00,0.1728973388671875,arma_ma,long,XLV_long_25
28,2014-06-23 00:00:00-04:00,0.4390296936035156,arma_ma,long,XLV_long_25
29,2014-06-24 00:00:00-04:00,-0.19956207275390625,arma_ma,long,XLV_long_25
30,2014-06-25 00:00:00-04:00,0.03470611572265625,arma_ma,long,XLV_long_30
31,2014-06-26 00:00:00-04:00,0.5726585388183594,arma_ma,long,XLV_long_30
32,2014-06-27 00:00:00-04:00,0.06940460205078125,arma_ma,long,XLV_long_30
33,2014-06-30 00:00:00-04:00,-0.13881683349609375,arma_ma,long,XLV_long_30
34,2014-07-01 00:00:00-04:00,-0.2082366943359375,arma_ma,long,XLV_long_30
35,2014-07-02 00:00:00-04:00,0.6680831909179688,arma_ma,long,XLV_long_35
36,2014-07-03 00:00:00-04:00,0.4078102111816406,arma_ma,long,XLV_long_35
37,2014-07-07 00:00:00-04:00,0.2169036865234375,arma_ma,long,XLV_long_35
38,2014-07-08 00:00:00-04:00,-0.4077873229980469,arma_ma,long,XLV_long_35
39,2014-07-09 00:00:00-04:00,-0.5032424926757812,arma_ma,long,XLV_long_35
40,2014-07-10 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_40
41,2014-07-11 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_40
42,2014-07-14 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_40
43,2014-07-15 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_40
44,2014-07-16 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_40
45,2014-07-17 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_45
46,2014-07-18 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_45
47,2014-07-21 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_45
48,2014-07-22 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_45
49,2014-07-23 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_45
50,2014-07-24 00:00:00-04:00,0.43383026123046875,arma_ma,long,XLV_long_50
51,2014-07-25 00:00:00-04:00,-0.1128082275390625,arma_ma,long,XLV_long_50
52,2014-07-28 00:00:00-04:00,-0.19955825805664062,arma_ma,long,XLV_long_50
53,2014-07-29 00:00:00-04:00,0.05206298828125,arma_ma,long,XLV_long_50
54,2014-07-30 00:00:00-04:00,0.043376922607421875,arma_ma,long,XLV_long_50
55,2014-07-31 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_55
56,2014-08-01 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_55
57,2014-08-04 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_55
58,2014-08-05 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_55
59,2014-08-06 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_55
60,2014-08-07 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_60
61,2014-08-08 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_60
62,2014-08-11 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_60
63,2014-08-12 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_60
64,2014-08-13 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_60
65,2014-08-14 00:00:00-04:00,0.6333885192871094,arma_ma,long,XLV_long_65
66,2014-08-15 00:00:00-04:00,0.6247215270996023,arma_ma,long,XLV_long_65
67,2014-08-18 00:00:00-04:00,0.05205154418946023,arma_ma,long,XLV_long_65
68,2014-08-19 00:00:00-04:00,0.41648101806640625,arma_ma,long,XLV_long_65
69,2014-08-20 00:00:00-04:00,0.3557395935058594,arma_ma,long,XLV_long_65
70,2014-08-21 00:00:00-04:00,-0.0086669921875,arma_ma,long,XLV_long_70
71,2014-08-22 00:00:00-04:00,0.07807540893554688,arma_ma,long,XLV_long_70
72,2014-08-25 00:00:00-04:00,0.05207061767578125,arma_ma,long,XLV_long_70
73,2014-08-26 00:00:00-04:00,0.416473388671875,arma_ma,long,XLV_long_70
74,2014-08-27 00:00:00-04:00,0.19956207275390625,arma_ma,long,XLV_long_70
75,2014-08-28 00:00:00-04:00,-0.043384552001953125,arma_ma,long,XLV_long_75
76,2014-08-29 00:00:00-04:00,-0.017353057861328125,arma_ma,long,XLV_long_75
77,2014-09-02 00:00:00-04:00,0.19955825805664062,arma_ma,long,XLV_long_75
78,2014-09-03 00:00:00-04:00,-0.02602386474609375,arma_ma,long,XLV_long_75
79,2014-09-04 00:00:00-04:00,0.25162506103515625,arma_ma,long,XLV_long_75
80,2014-09-05 00:00:00-04:00,-0.2776527404785156,arma_ma,long,XLV_long_80
81,2014-09-08 00:00:00-04:00,0.3210296630859446,arma_ma,long,XLV_long_80
82,2014-09-09 00:00:00-04:00,0.00867843627928977,arma_ma,long,XLV_long_80
83,2014-09-10 00:00:00-04:00,-0.1475067138671875,arma_ma,long,XLV_long_80
84,2014-09-11 00:00:00-04:00,0.3904457092285156,arma_ma,long,XLV_long_80
85,2014-09-12 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_85
86,2014-09-15 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_85
87,2014-09-16 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_85
88,2014-09-17 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_85
89,2014-09-18 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_85
90,2014-09-19 00:00:00-04:00,0.4164619445800781,arma_ma,long,XLV_long_90
91,2014-09-22 00:00:00-04:00,0.06183242797852273,arma_ma,long,XLV_long_90
92,2014-09-23 00:00:00-04:00,-0.30475234985352273,arma_ma,long,XLV_long_90
93,2014-09-24 00:00:00-04:00,-0.3308830261230469,arma_ma,long,XLV_long_90
94,2014-09-25 00:00:00-04:00,0.9752311706542969,arma_ma,long,XLV_long_90
95,2014-09-26 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_95
96,2014-09-29 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_95
97,2014-09-30 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_95
98,2014-10-01 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_95
99,2014-10-02 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_95
100,2014-10-03 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_100
101,2014-10-06 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_100
102,2014-10-07 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_100
103,2014-10-08 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_100
104,2014-10-09 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_100
105,2014-10-10 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_105
106,2014-10-13 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_105
107,2014-10-14 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_105
108,2014-10-15 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_105
109,2014-10-16 00:00:00-04:00,0.0,arma_ma,no_position,XLV_no_position_105
110,2014-10-17 00:00:00-04:00,0.26993560791015625,arma_ma,short,XLV_short_110
111,2014-10-20 00:00:00-04:00,-0.8359184265136719,arma_ma,short,XLV_short_110
112,2014-10-21 00:00:00-04:00,-0.6443710327148438,arma_ma,short,XLV_short_110
113,2014-10-22 00:00:00-04:00,-1.4280242919921875,arma_ma,short,XLV_short_110
114,2014-10-23 00:00:00-04:00,0.27864837646484375,arma_ma,short,XLV_short_110
115,2014-10-24 00:00:00-04:00,0.9404182434082031,arma_ma,long,XLV_long_115
116,2014-10-27 00:00:00-04:00,0.7836875915527344,arma_ma,long,XLV_long_115
117,2014-10-28 00:00:00-04:00,0.060947418212890625,arma_ma,long,XLV_long_115
118,2014-10-29 00:00:00-04:00,0.4179725646972656,arma_ma,long,XLV_long_115
119,2014-10-30 00:00:00-04:00,0.026123046875,arma_ma,long,XLV_long_115
120,2014-10-31 00:00:00-04:00,1.0535964965820312,arma_ma,long,XLV_long_120
121,2014-11-03 00:00:00-05:00,0.23509979248046875,arma_ma,long,XLV_long_120
122,2014-11-04 00:00:00-05:00,0.06966400146484375,arma_ma,long,XLV_long_120
123,2014-11-05 00:00:00-05:00,0.008708953857421875,arma_ma,long,XLV_long_120
124,2014-11-06 00:00:00-05:00,-0.0609588623046875,arma_ma,long,XLV_long_120
125,2014-11-07 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_125
126,2014-11-10 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_125
127,2014-11-11 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_125
128,2014-11-12 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_125
129,2014-11-13 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_125
130,2014-11-14 00:00:00-05:00,-0.0435333251953125,arma_ma,long,XLV_long_130
131,2014-11-17 00:00:00-05:00,-0.4876251220703125,arma_ma,long,XLV_long_130
132,2014-11-18 00:00:00-05:00,0.2873497009277344,arma_ma,long,XLV_long_130
133,2014-11-19 00:00:00-05:00,0.9491081237792898,arma_ma,long,XLV_long_130
134,2014-11-20 00:00:00-05:00,-0.33089828491209516,arma_ma,long,XLV_long_130
135,2014-11-21 00:00:00-05:00,-0.25250625610352273,arma_ma,long,XLV_long_135
136,2014-11-24 00:00:00-05:00,0.2786521911621094,arma_ma,long,XLV_long_135
137,2014-11-25 00:00:00-05:00,0.3047523498535085,arma_ma,long,XLV_long_135
138,2014-11-26 00:00:00-05:00,0.0783691406250071,arma_ma,long,XLV_long_135
139,2014-11-28 00:00:00-05:00,0.36572265625,arma_ma,long,XLV_long_135
140,2014-12-01 00:00:00-05:00,0.3744087219238281,arma_ma,long,XLV_long_140
141,2014-12-02 00:00:00-05:00,-0.14801025390625,arma_ma,long,XLV_long_140
142,2014-12-03 00:00:00-05:00,0.6704750061035156,arma_ma,long,XLV_long_140
143,2014-12-04 00:00:00-05:00,0.095794677734375,arma_ma,long,XLV_long_140
144,2014-12-05 00:00:00-05:00,-0.07839584350585938,arma_ma,long,XLV_long_140
145,2014-12-08 00:00:00-05:00,0.4876365661621094,arma_ma,long,XLV_long_145
146,2014-12-09 00:00:00-05:00,0.21769332885741477,arma_ma,long,XLV_long_145
147,2014-12-10 00:00:00-05:00,-0.26121139526366477,arma_ma,long,XLV_long_145
148,2014-12-11 00:00:00-05:00,-0.9491462707519531,arma_ma,long,XLV_long_145
149,2014-12-12 00:00:00-05:00,0.17416000366210938,arma_ma,long,XLV_long_145
150,2014-12-15 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_150
151,2014-12-16 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_150
152,2014-12-17 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_150
153,2014-12-18 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_150
154,2014-12-19 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_150
155,2014-12-22 00:00:00-05:00,0.14855575561523438,arma_ma,long,XLV_long_155
156,2014-12-23 00:00:00-05:00,-0.5855712890625,arma_ma,long,XLV_long_155
157,2014-12-24 00:00:00-05:00,-1.3983497619628906,arma_ma,long,XLV_long_155
158,2014-12-26 00:00:00-05:00,0.4369964599609446,arma_ma,long,XLV_long_155
159,2014-12-29 00:00:00-05:00,0.428241729736321,arma_ma,long,XLV_long_155
160,2014-12-30 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_160
161,2014-12-31 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_160
162,2015-01-02 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_160
163,2015-01-05 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_160
164,2015-01-06 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_160
165,2015-01-07 00:00:00-05:00,-0.20101165771484375,arma_ma,long,XLV_long_165
166,2015-01-08 00:00:00-05:00,1.398345947265625,arma_ma,long,XLV_long_165
167,2015-01-09 00:00:00-05:00,1.0400466918945312,arma_ma,long,XLV_long_165
168,2015-01-12 00:00:00-05:00,-0.550609588623054,arma_ma,long,XLV_long_165
169,2015-01-13 00:00:00-05:00,0.026222229003913355,arma_ma,long,XLV_long_165
170,2015-01-14 00:00:00-05:00,-0.27093505859375,arma_ma,long,XLV_long_170
171,2015-01-15 00:00:00-05:00,-0.09613800048828125,arma_ma,long,XLV_long_170
172,2015-01-16 00:00:00-05:00,-0.6554832458496094,arma_ma,long,XLV_long_170
173,2015-01-20 00:00:00-05:00,1.1361732482910156,arma_ma,long,XLV_long_170
174,2015-01-21 00:00:00-05:00,0.0,arma_ma,long,XLV_long_170
175,2015-01-22 00:00:00-05:00,0.12234115600585227,arma_ma,long,XLV_long_175
176,2015-01-23 00:00:00-05:00,0.7341461181640696,arma_ma,long,XLV_long_175
177,2015-01-26 00:00:00-05:00,-0.35829925537109375,arma_ma,long,XLV_long_175
178,2015-01-27 00:00:00-05:00,0.32332611083984375,arma_ma,long,XLV_long_175
179,2015-01-28 00:00:00-05:00,-0.4456901550292969,arma_ma,long,XLV_long_175
180,2015-01-29 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_180
181,2015-01-30 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_180
182,2015-02-02 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_180
183,2015-02-03 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_180
184,2015-02-04 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_180
185,2015-02-05 00:00:00-05:00,-0.7690925598144531,arma_ma,long,XLV_long_185
186,2015-02-06 00:00:00-05:00,1.0225410461425781,arma_ma,long,XLV_long_185
187,2015-02-09 00:00:00-05:00,-0.559326171875,arma_ma,long,XLV_long_185
188,2015-02-10 00:00:00-05:00,-0.7166824340820312,arma_ma,long,XLV_long_185
189,2015-02-11 00:00:00-05:00,1.0138168334960938,arma_ma,long,XLV_long_185
190,2015-02-12 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_190
191,2015-02-13 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_190
192,2015-02-17 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_190
193,2015-02-18 00:00:00-05:00,0.0,arma_ma,no_position,XLV_no_position_190
