,as_of_date,PnL
0,1973-08-17 08:15:00+00:00,0
1,1973-08-20 08:15:00+00:00,0
2,1973-08-21 08:15:00+00:00,0
3,1973-08-22 08:15:00+00:00,0
4,1973-08-23 08:15:00+00:00,0
5,1973-08-24 08:15:00+00:00,0
6,1973-08-27 08:15:00+00:00,0
7,1973-08-28 08:15:00+00:00,0
8,1973-08-29 08:15:00+00:00,0
9,1973-08-30 08:15:00+00:00,0
10,1973-08-31 08:15:00+00:00,0
11,1973-09-04 08:15:00+00:00,0
12,1973-09-05 08:15:00+00:00,0
13,1973-09-06 08:15:00+00:00,0
14,1973-09-07 08:15:00+00:00,0
15,1973-09-10 08:15:00+00:00,0
16,1973-09-11 08:15:00+00:00,0
17,1973-09-12 08:15:00+00:00,0
18,1973-09-13 08:15:00+00:00,0
19,1973-09-14 08:15:00+00:00,0
20,1973-09-17 08:15:00+00:00,0
21,1973-09-18 08:15:00+00:00,0
22,1973-09-19 08:15:00+00:00,0
23,1973-09-20 08:15:00+00:00,0
24,1973-09-21 08:15:00+00:00,0
25,1973-09-24 08:15:00+00:00,0
26,1973-09-25 08:15:00+00:00,0
27,1973-09-26 08:15:00+00:00,0
28,1973-09-27 08:15:00+00:00,0
29,1973-09-28 08:15:00+00:00,0
30,1973-10-01 08:15:00+00:00,0
31,1973-10-02 08:15:00+00:00,0
32,1973-10-03 08:15:00+00:00,0
33,1973-10-04 08:15:00+00:00,0
34,1973-10-05 08:15:00+00:00,0
35,1973-10-09 08:15:00+00:00,0
36,1973-10-10 08:15:00+00:00,0
37,1973-10-11 08:15:00+00:00,0
38,1973-10-12 08:15:00+00:00,0
39,1973-10-15 08:15:00+00:00,0
40,1973-10-16 08:15:00+00:00,0
41,1973-10-17 08:15:00+00:00,0
42,1973-10-18 08:15:00+00:00,0
43,1973-10-19 08:15:00+00:00,0
44,1973-10-23 08:15:00+00:00,0
45,1973-10-24 08:15:00+00:00,0
46,1973-10-25 08:15:00+00:00,0
47,1973-10-26 08:15:00+00:00,0
48,1973-10-29 09:15:00+00:00,0
49,1973-10-30 09:15:00+00:00,0
50,1973-10-31 09:15:00+00:00,0
51,1973-11-01 09:15:00+00:00,0
52,1973-11-02 09:15:00+00:00,0
53,1973-11-05 09:15:00+00:00,0
54,1973-11-07 09:15:00+00:00,0
