Year,SEP/AUG YEAR #,Planted Acres (millions),Harvested Acres (Millions),Yield (bushels per acre), Harvested/Planted Acres,Production (millions),Stocks (millions),Imports (million),      TOTAL SUPPLY (millions),Acres devoted to ethanol production (millions),Seed,"Food, Alcohol & Industrial",    ethanol for fuel,Growth in corn used for ethanol,Feed & Residual,      ALL DOM. USE,      EXPORTS,      TOTAL USAGE,ENDING STOCKS,Ending Stocks adj. for DDG's,Free,Reserve,CCC,Loan,STOCK/USE (%),close
1973,73/74,72.3,62.1,91.32045089,0.858921162,5671,708,1,6380,0,18,454,0,0,4181,4653,1243,5896,484,0,473,0,4,7,0.082089552,$2.55 
1974,74/75,77.9,65.4,71.88073394,0.839537869,4701,484,2,5187,0,19,478,0,0,3180,3677,1149,4826,361,0,358,0,3,0,0.07480315,$3.02 
1975,75/76,78.7,67.6,86.40532544,0.858958069,5841,558,2,6401,0,20,501,0,0,3582,4103,1664,5767,634,0,602,0,0,32,0.109935842,$2.54 
1976,76/77,84.6,71.5,87.95804196,0.845153664,6289,633,2,6924,0,20,522,0,0,3602,4144,1645,5789,1135,0,992,0,0,143,0.196061496,$2.15 
1977,77/78,84.3,71.6,90.85195531,0.849347568,6505,1136,2,7643,0,20,561,0,0,3730,4311,1896,6207,1436,0,740,212,4,480,0.2313517,$2.05 
1978,78/79,81.7,71.9,101.0848401,0.88004896,7268,1436,1,8705,0,20,588,0,0,4274,4882,2113,6995,1710,0,866,585,101,158,0.244460329,$2.25 
1979,79/80,81.4,72.4,109.5027624,0.889434889,7928,1710,1,9639,0,20,620,0,0,4563,5203,2402,7605,2034,0,988,670,260,116,0.267455621,$2.48 
1980,80/81,84,73,90.94520548,0.869047619,6639,2035,1,8675,0,20,639,0,0,4232,4891,2391,7282,1393,0,801,0,242,350,0.191293601,$3.12 
1981,81/82,84.1,74.5,108.9798658,0.885850178,8119,1392,1,9512,0,19,714,0,0,4245,4978,1997,6975,2537,0,539,1276,280,442,0.363727599,$2.47 
1982,82/83,81.9,72.7,113.2737276,0.887667888,8235,2537,1,10773,0,15,840,0,0,4573,5428,1821,7249,3524,0,362,1890,1143,129,0.486136019,$2.55 
1983,83/84,60.2,51.5,81.04854369,0.855481728,4174,3523,2,7699,0,19,911,0,0,3876,4806,1886,6692,1007,0,313,447,202,45,0.150478183,$3.21 
1984,84/85,80.5,71.9,106.7037552,0.893167702,7672,1006,2,8680,0,21,1046,0,0,4115,5182,1850,7032,1648,0,377,389,225,657,0.234357224,$2.63 
1985,85/86,83.3,75.2,118.018617,0.902761104,8875,1648,10,10533,0,20,1133,0,0,4114,5267,1227,6494,4039,0,193,711,546,2589,0.621958731,$2.23 
1986,86/87,76.58,68.907,119.3748676,0.899804126,8225.764,4040,2,12267.764,0,17,1207,0,0,4669,5893,1492,7385,4882.764,0,-160.236,1498,1443,2102,0.661173189,$1.50 
1987,87/88,66.2,59.505,119.8437106,0.898867069,7131.3,4882,3,12016.3,0,17,1226,0,0,4798,6041,1716,7757,4259.3,0,1369.3,1127,835,928,0.549091143,$1.94 
1988,88/89,67.717,58.25,84.61254936,0.860197587,4928.681,4259,3,9190.681,0,18,1275,0,0,3941,5234,2026,7260,1930.681,0,507.681,724,362,337,0.265934022,$2.54 
1989,89/90,72.322,64.783,116.264344,0.895757861,7531.953,1930,2,9463.953,0,19,1337,0,0,4389,5745,2368,8113,1350.953,0,618.953,387,233,112,0.166517071,$2.36 
1990,90/91,74.166,66.952,118.5032262,0.90273171,7934.028,1344,3,9281.028,0,19,1354,0,0,4663,6036,1725,7761,1520.028,0,937.028,3,371,209,0.195854658,$2.28 
1991,91/92,75.957,68.822,108.6101101,0.906065274,7474.765,1521,20,9015.765,0,20,1434,0,0,4878,6332,1584,7916,1099.765,0,790.765,0,113,196,0.138929384,$2.37 
1992,92/93,79.311,72.077,131.4801948,0.908789449,9476.698,1100,7,10583.698,0,19,1492,0,0,5301,6812,1663,8475,2108.698,0,1346.698,13,56,693,0.248813923,$2.07 
1993,93/94,73.235,62.921,100.70517,0.859165699,6336.47,2113,21,8470.47,0,21,1567,0,0,4704,6292,1328,7620,850.47,0,609.47,119,45,77,0.111610236,$2.50 
1994,94/95,79.175,72.887,138.608188,0.920580991,10102.735,850,9.56,10962.295,0,20,1684,0,0,5523,7227,2177,9404,1558.295,0,1090.295,78,42,348,0.165705551,$2.26 
1995,95/96,71.245,64.995,113.4529733,0.912274546,7373.876,1558.295,16,8948.171,0,21,1591,0,0,4682,6294,2228,8522,426.171,0,363.171,0,30,33,0.050008331,$3.24 
1996,96/97,79.2,72.6,127.1763085,0.916666667,9233,426,13,9672,0,22,1670,0,0,5302,6994,1795,8789,883,0,702,0,2,179,0.100466492,$2.71 
1997,97/98,79.537,72.7,126.6437414,0.914040007,9207,883,9,10099,0,22,1760,0,0,5505,7287,1504,8791,1308,0,994,0,4,310,0.148788534,$2.43 
1998,98/99,80.187,72.6,134.415978,0.905383666,9758.6,1308,19,11085.6,0,22,1824,0,0,5471,7317,1981,9298,1787.6,0,1384.6,0,12,391,0.192256399,$1.94 
1999,99/00,77.4,70.5,133.7730496,0.910852713,9431,1787.6,14.5,11233.1,0,22,1891,0,0,5665,7578,1937,9515,1718.1,0,1312.1,0,14,392,0.180567525,$1.82 
2000,00/01,79.551,72.44,136.871894,0.910610803,9915,1718.1,7,11640.1,0,22,1935,0,0,5842,7799,1941,9740,1900.1,0,1639.1,0,8,253,0.195082136,$1.85 
2001,01/02,75.8,68.808,138.1670736,0.907757256,9507,1900.1,10,11417.1,0,22,2034,0,0,5868,7924,1905,9829,1588.1,0,1369.1,0,6,213,0.161572897,$1.97 
2002,02/03,78.9,69.313,129.3696709,0.878491762,8967,1596,14,10577,7.698867849,22,2318,996,0,5563,7903,1588,9491,1086,0,805,0,4,277,0.114424191,$2.32 
2003,03/04,78.6,70.9,142.2990127,0.902035623,10089,1087,14,11190,8.208068193,22,2515,1168,0.172690763,5795,8332,1900,10232,958,0,794,0,0,164,0.093627834,$2.42 
2004,04/05,80.9,73.6,160.4211957,0.909765142,11807,958,11,12776,8.247039892,22,2664,1323,0.132705479,6162,8848,1814,10662,2114,#REF!,1833,0,1,280,0.198274245,$2.06 
2005,05/06,81.8,75.1,147.9893475,0.91809291,11114,2114,9,13237,10.83186072,22,2959,1603,0.211640212,6141,9122,2147,11269,1968,#REF!,1968,0,0,171,0.174638388,$2.00 
2006,06/07,78.327,70.648,149.1195788,0.901962286,10535,1967,12,12514,14.21007233,22,3468,2119,0.321896444,5595,9085,2125,11210,1304,#REF!,1304,0,0,116,0.11632471,$3.04 
2007,07/08,93.6,86.5,151.1445087,0.924145299,13074,1304,20,14398,20.02057519,22,4342,3026,0.428032091,5913,10277,2436,12713,1685,0,1685,0,0,106,0.132541493,$4.20 
2008,08/09,86,78.63,153.7835432,0.914302326,12092,1624,14,13729,24.11831542,22,4930,3709,0.225710509,5246,10198,1858,12056,1673,0,1673,0,0,171,0.138769078,$4.08 
2009,09/10,86.4,79.5,164.6792453,0.920138889,13092,1673,8,14773,27.87843721,22,5939,4591,0.237799946,5125,11086,1980,13066,1708,0,1708,0,0,147,0.130720955,$3.55 
2010,10/11,88.2,81.4,152.8,0.922902494,12447,1708,28,14183,32.84685864,22,6404,5019,0.093225877,4795,11221,1834,13055,1128,0,1128,0,0,48,0.086403677,$5.18 
2011,11/12,91.9,83.97,147.17,0.913710555,12360,1128,29,13517,33.97431542,22,6406,5000,-0.003785615,4557,10985,1543,12528,989,0,989,0,0,41,0.078943167,$6.22 
2012,12/13,97.3,87.36,123.11,0.897841727,10754.8896,989,160,11903.8896,37.69799366,22,6016,4641,-0.0718,4315,10353,730,11083,820.8896,0,820.8896,0,0,32,0.074067455,$6.89 
2013,13/14,95.4,87.47,158.1,0.91687631,13829.007,820.8896,36,14685.8966,32.40986717,22,6471,5124,0.104072398,5041,11534,1920,13454,1231.8966,0,1231.8966,0,0,76,0.091563594,$4.46 
2014,14/15,90.6,83.12,171.02,0.917439294,14215.1824,1231.8966,32,15479.079,30.40580049,0,6601,5200,0.014832162,5280,11881,1867,13748,1731,0,1731,0,0,230,0.125909223,$3.70 
2015,15/16,88,80.8,168.449,0.918181818,13602,1731,68,15401,31.01235389,0,6648,5224,0.004615385,5114,11763,1901,13664,1737,0,1737,0,0,0,0.127122365,$3.61 
2016,16/17,94,86.74,174.64,0.922765957,15148.2736,1737,57,16942.2736,31.10398534,0,6885,5432,0.039816233,5470,12355,2294,14649,2293.2736,0,2293.2736,0,0,0,0.156548133,$3.36 
2017,17/18,90.2,82.7,176.6,0.916851441,14609,2293,36,16939,31.73839185,0,7057,5605,0.031848306,5304,12361,2438,14798,2140,0,0,0,0,0,0.144614137,$3.36 
2018,18/19,88.9,81.3,176.4,0.914510686,14340,2140,28,16509,30.48752834,0,6793,5378,-0.040499554,5429,12222,2066,14288,2221,0,0,0,0,0,0.155445129,$3.61 
2019,19/20,89.7,81.3,167.5,0.906354515,13620,2221,42,15883,28.99701493,0,6286,4857,-0.096876162,5900,12186,1777,13963,1919,0,0,0,0,0,0.137434649,$3.56 
2020,20/21,90.7,82.3,171.4,0.90738699,14111,1919,24,16055,29.33488915,0,6467,5028,0.035206918,5607,12074,2747,14821,1235,0,0,0,0,0,0.083327711,$4.53 
