time,open,high,low,close,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net,MA,Smoothing Line,Volume,Volume MA,OI,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net
1990-04-02T22:00:00Z,1.59,1.655,1.58,1.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-03T22:00:00Z,1.6,1.65,1.599,1.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-04T22:00:00Z,1.615,1.635,1.61,1.615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-05T22:00:00Z,1.615,1.635,1.61,1.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-08T22:00:00Z,1.612,1.64,1.612,1.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-09T22:00:00Z,1.627,1.63,1.613,1.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-10T22:00:00Z,1.61,1.61,1.595,1.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1990-04-11T22:00:00Z,1.595,1.6,1.59,1.598,289,-356,-67,91,-47,44,766,-743,23,NaN,NaN,NaN,NaN,1258,289,-356,-67,91,-47,44,766,-743,23
1990-04-15T22:00:00Z,1.597,1.6,1.592,1.598,289,-356,-67,91,-47,44,766,-743,23,NaN,NaN,NaN,NaN,1258,289,-356,-67,91,-47,44,766,-743,23
1990-04-16T22:00:00Z,1.594,1.6,1.585,1.585,289,-356,-67,91,-47,44,766,-743,23,NaN,NaN,NaN,NaN,1258,289,-356,-67,91,-47,44,766,-743,23
