time,open,high,low,close,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net,MA,Smoothing Line,Volume,Volume MA,OI,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net
2006-04-24T22:00:00Z,11.3,11.3,10.92,10.92,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726,NaN,NaN,NaN,NaN,NaN,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726
2006-04-25T22:00:00Z,10.93,10.95,10.93,10.95,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726,NaN,NaN,NaN,NaN,NaN,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726
2006-04-26T22:00:00Z,10.95,10.95,10.95,10.95,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726,NaN,NaN,NaN,NaN,NaN,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726
2006-04-27T22:00:00Z,10.92,10.95,10.92,10.95,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726,NaN,NaN,NaN,NaN,NaN,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726
2006-04-30T22:00:00Z,10.85,10.87,10.85,10.87,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726,NaN,NaN,NaN,NaN,NaN,25835,-16430,9405,1566,-3245,-1679,3659,-11385,-7726
2006-05-01T22:00:00Z,10.87,10.87,10.85,10.85,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935,NaN,NaN,NaN,NaN,NaN,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935
2006-05-02T22:00:00Z,10.85,10.85,10.83,10.83,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935,NaN,NaN,NaN,NaN,NaN,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935
2006-05-03T22:00:00Z,10.83,10.83,10.81,10.83,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935,NaN,NaN,NaN,NaN,NaN,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935
2006-05-04T22:00:00Z,10.83,10.83,10.81,10.81,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935,NaN,NaN,NaN,NaN,NaN,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935
2006-05-07T22:00:00Z,10.73,10.73,10.72,10.72,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935,NaN,NaN,NaN,NaN,NaN,26112,-16774,9338,1772,-3175,-1403,3565,-11500,-7935
2006-05-08T22:00:00Z,10.72,10.73,10.71,10.71,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386,NaN,NaN,NaN,NaN,NaN,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386
2006-05-09T22:00:00Z,10.75,10.75,10.75,10.75,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386,NaN,NaN,NaN,NaN,NaN,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386
2006-05-10T22:00:00Z,10.79,10.79,10.75,10.76,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386,NaN,NaN,NaN,NaN,NaN,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386
2006-05-11T22:00:00Z,10.8,10.8,10.8,10.8,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386,NaN,NaN,NaN,NaN,NaN,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386
2006-05-14T22:00:00Z,10.8,10.82,10.77,10.77,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386,NaN,NaN,NaN,NaN,NaN,24461,-15092,9369,1323,-3306,-1983,3412,-10798,-7386
2006-05-15T22:00:00Z,10.8,10.8,10.8,10.8,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407,NaN,NaN,NaN,NaN,NaN,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407
2006-05-16T22:00:00Z,10.85,10.85,10.85,10.85,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407,NaN,NaN,NaN,NaN,NaN,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407
2006-05-17T22:00:00Z,10.85,10.85,10.85,10.85,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407,NaN,NaN,NaN,NaN,NaN,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407
2006-05-18T22:00:00Z,10.82,10.82,10.82,10.82,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407,NaN,NaN,NaN,NaN,NaN,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407
2006-05-21T22:00:00Z,10.82,10.82,10.82,10.82,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407,NaN,NaN,NaN,NaN,NaN,24957,-15509,9448,1706,-3747,-2041,3570,-10977,-7407
2006-05-22T22:00:00Z,10.82,10.82,10.82,10.82,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963,NaN,NaN,NaN,NaN,NaN,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963
2006-05-23T22:00:00Z,10.85,10.85,10.81,10.81,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963,NaN,NaN,NaN,NaN,NaN,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963
2006-05-24T22:00:00Z,10.82,10.82,10.82,10.82,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963,NaN,NaN,NaN,NaN,NaN,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963
2006-05-25T22:00:00Z,10.82,10.82,10.82,10.82,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963,NaN,NaN,NaN,NaN,NaN,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963
2006-05-28T22:00:00Z,11.45,11.45,11.45,11.45,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963,NaN,NaN,NaN,NaN,NaN,25378,-15697,9681,1481,-3199,-1718,3424,-11387,-7963
2006-05-29T22:00:00Z,11.44,11.45,11.41,11.45,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868,NaN,NaN,NaN,NaN,NaN,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868
2006-05-30T22:00:00Z,11.34,11.35,11.31,11.35,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868,NaN,NaN,NaN,NaN,NaN,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868
2006-05-31T22:00:00Z,11.28,11.42,11.28,11.42,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868,NaN,NaN,NaN,NaN,NaN,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868
2006-06-01T22:00:00Z,11.41,11.41,11.34,11.34,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868,NaN,NaN,NaN,NaN,NaN,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868
2006-06-04T22:00:00Z,11.27,11.34,11.27,11.34,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868,NaN,NaN,NaN,NaN,NaN,25789,-16234,9555,1227,-1914,-687,3529,-12397,-8868
2006-06-05T22:00:00Z,11.26,11.26,11.25,11.25,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879,NaN,NaN,NaN,NaN,NaN,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879
2006-06-06T22:00:00Z,11.21,11.21,11.21,11.21,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879,NaN,NaN,NaN,NaN,NaN,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879
2006-06-07T22:00:00Z,11.25,11.25,11.22,11.22,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879,NaN,NaN,NaN,NaN,NaN,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879
2006-06-08T22:00:00Z,11.22,11.25,11.22,11.24,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879,NaN,NaN,NaN,NaN,NaN,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879
2006-06-11T22:00:00Z,11.22,11.25,11.22,11.24,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879,NaN,NaN,NaN,NaN,NaN,23993,-15352,8641,1082,-1844,-762,3707,-11586,-7879
2006-06-12T22:00:00Z,11.25,11.26,11.25,11.26,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817,NaN,NaN,NaN,NaN,NaN,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817
2006-06-13T22:00:00Z,11.26,11.26,11.26,11.26,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817,NaN,NaN,NaN,NaN,NaN,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817
2006-06-14T22:00:00Z,11.25,11.25,11.25,11.25,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817,NaN,NaN,NaN,NaN,NaN,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817
2006-06-15T22:00:00Z,11.26,11.26,11.26,11.26,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817,NaN,NaN,NaN,NaN,NaN,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817
2006-06-18T22:00:00Z,11.25,11.26,11.25,11.26,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817,NaN,NaN,NaN,NaN,NaN,24251,-15961,8290,1413,-1886,-473,4063,-11880,-7817
2006-06-19T22:00:00Z,11.26,11.26,11.26,11.26,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032,NaN,NaN,NaN,NaN,NaN,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032
2006-06-20T22:00:00Z,11.26,11.26,11.26,11.26,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032,NaN,NaN,NaN,NaN,NaN,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032
2006-06-21T22:00:00Z,11.26,11.26,11.26,11.26,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032,NaN,NaN,NaN,NaN,NaN,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032
2006-06-22T22:00:00Z,11.29,11.29,11.29,11.29,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032,NaN,NaN,NaN,NaN,NaN,25522,-16989,8533,1488,-1989,-501,3496,-11528,-8032
