Year,Planted Acres,Harvested Acres,Yield,% Harvested,Production,Stocks,Imports,     TOTAL SUPPLY,Seed,Food,Feed & Residual,     TOTAL DOM. USE,Grain Exports,Product Exports,     TOTAL EXPORTS,     TOTAL USAGE,ENDING STOCKS,Free,Reserve,Loan,CCC,STOCKS/USE (%),Major Mkt. Prices ($/Bu.)
1973,59.3,54.1,31.62661738,0.912310287,1711,597,3,2311,84,544,125,753,1173.323,43.677,1217,1970,341,208,---,---,133,0.173096447,3.95
1974,71.044,65.4,27.24770642,0.920556275,1782,340,3,2125,92,545,35,672,978.488,40.512,1019,1691,434,418,---,4,12,0.256652868,4.09
1975,74.9,69.5,30.60431655,0.927903872,2127,435,2,2564,100,589,37,726,1136.636,36.364,1173,1899,665,644,---,21,---,0.350184308,3.56
1976,80.4,70.9,30.31029619,0.881840796,2149,666,3,2818,92,588,74,754,884.467,65.533,950,1704,1114,736,---,378,---,0.653755869,2.73
1977,75.4,66.7,30.67466267,0.884615385,2046,1113,2,3161,80,587,193,860,1067.138,56.862,1124,1984,1177,521,342,266,48,0.593245968,2.33
1978,66,56.5,31.43362832,0.856060606,1776,1178,2,2956,87,592,158,837,1132.829,61.171,1194,2031,925,349,403,122,51,0.45544067,2.98
1979,71.4,62.5,34.144,0.87535014,2134,924,2,3060,101,596,86,783,1311.945,63.055,1375,2158,902,355,260,99,188,0.417979611,3.8
1980,80.8,71.1,33.48804501,0.879950495,2381,902,3,3286,113,611,59,783,1448.556,65.444,1514,2297,989,374,360,55,200,0.430561602,3.99
1981,88.3,80.6,34.55334988,0.912797282,2785,989,3,3777,110,602,135,847,1711.147,59.853,1771,2618,1159,297,560,112,190,0.442704354,3.69
1982,86.2,77.9,35.49422336,0.903712297,2765,1159,7,3931,97,616,195,908,1441.326,67.674,1509,2417,1514,196,1061,65,192,0.626396359,3.45
1983,76.4,61.4,39.41368078,0.803664921,2420,1515,4,3939,100,642,371,1113,1341.981,84.019,1426,2539,1400,222,611,379,188,0.551398188,3.51
1984,79.2,66.9,38.78923767,0.84469697,2595,1399,9,4003,98,651,409,1158,1368.351,52.649,1421,2579,1424,214,657,175,378,0.552151997,3.39
1985,75.5,64.7,37.46522411,0.856953642,2424,1425,16,3865,93,674,284,1051,846.937,62.063,909,1960,1905,29,596,678,602,0.971938776,3.08
1986,71.998,60.688,34.44783153,0.842912303,2090.57,1905,21,4016.57,84,712,401,1197,923.418,75.582,999,2196,1820.57,122.57,632,236,830,0.829039162,2.42
1987,65.829,55.945,37.67423362,0.849853408,2107.685,1821,16,3944.685,85,721,290,1096,1530.463,57.537,1588,2684,1260.685,332.685,467,178,283,0.4697038,2.57
1988,65.529,53.189,34.07097332,0.811686429,1812.201,1261,23,3096.201,106,726,150,982,1346.337,68.663,1415,2397,699.201,203.201,287,19,190,0.291698373,3.72
1989,76.615,62.189,32.74884626,0.81170789,2036.618,702,22,2760.618,105,749,139,993,1177.15,54.85,1232,2225,535.618,244.618,144,30,117,0.240727191,3.72
1990,77.041,69.103,39.50335007,0.896963954,2729.8,536.5,36.4,3302.7,92.9,789.8,482.4,1365.1,1029.072,40.428,1069.5,2434.6,868.1,474.1,14,217,163,0.356567814,2.61
1991,69.881,57.803,34.25600747,0.827163321,1980.1,868.1,40.7,2888.9,97.7,789.5,244.5,1131.7,1234.387,47.913,1282.3,2414,474.9,252.9,50,20,152,0.196727423,3
1992,72.219,62.761,39.30466372,0.869037234,2466.8,475,70,3011.8,99.1,834.8,193.6,1127.5,1295.629,57.971,1353.6,2481.1,531,306,28,47,150,0.214017976,3.24
1993,72.168,62.712,38.21278224,0.868972398,2396.4,530.7,108.8,3035.9,96.3,871.7,271.7,1239.7,1178.058,49.742,1227.8,2467.5,568.4,345.4,6,67,150,0.23035461,3.26
1994,70.349,61.77,37.56856079,0.878050861,2320.61,568,92.3,2980.91,89,853,345.4,1287.4,1125,62.5,1187.5,2474.9,506.01,300.01,---,64,142,0.204456746,3.45
1995,69.031,60.955,35.80851448,0.883009083,2182.708,507,67.5,2757.208,103,883,154,1140,1207,34,1241,2381,376.208,245.208,---,13,118,0.1580042,4.5
1996,75.105,62.819,36.25317181,0.836415685,2277.388,376,92,2745.388,102,890.5,308,1300.5,974.5,27,1001.5,2302,443.388,278.288,---,72.4,92.7,0.192609904,4.35
1997,70.412,62.84,39.48863781,0.892461512,2481.466,444,94.5,3019.966,93,914,251,1258,1013.5,26.5,1040,2298,721.966,494.366,---,133.8,93.8,0.314171453,3.4
1998,65.871,59.002,43.1680282,0.895720423,2547,722,103.4,3372.4,81,908,396,1385,1014,28,1042,2427,945.4,677.4,---,140,128,0.389534405,2.65
