time,open,high,low,close,MA,Smoothing Line,Volume,Volume MA,OI,Commercials long,Commercials short,Commercials net,Large Speculators long,Large Speculators short,Large Speculators net,Small Speculators long,Small Speculators short,Small Speculators net
2009-11-20T14:30:00Z,24.99001,24.99001,24.69,24.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-11-23T14:30:00Z,25.41,25.53,25.23,25.25999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-11-24T14:30:00Z,25.35001,25.41,24.9677,25.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-11-25T14:30:00Z,25.33,25.39999,25.13,25.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-11-27T14:30:00Z,24.41,24.69,24.32001,24.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-11-30T14:30:00Z,25,25.395,24.745,24.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-01T14:30:00Z,25.49001,25.60001,25.42,25.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-02T14:30:00Z,25.58,25.58,25.42,25.50999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-03T14:30:00Z,25.75,25.75,25.28999,25.29601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-04T14:30:00Z,25.7,25.8,25.28999,25.60001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-07T14:30:00Z,25.24001,25.24001,24.89,24.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-08T14:30:00Z,25.07001,25.08,24.89999,24.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-09T14:30:00Z,25.06,25.23,25.00999,25.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-10T14:30:00Z,25.39999,25.5,25.28999,25.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-11T14:30:00Z,25.33,25.33,25,25.10001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-14T14:30:00Z,25.12,25.12,24.95,25.07001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-15T14:30:00Z,24.83,24.83,24.64,24.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-16T14:30:00Z,24.77,24.89999,24.75,24.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-17T14:30:00Z,24.72,24.72,24.35001,24.369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-18T14:30:00Z,24.28999,24.3,24.084,24.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-21T14:30:00Z,24.33,24.35001,24.24001,24.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-22T14:30:00Z,24.38,24.52,24.35001,24.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-23T14:30:00Z,25.19,25.19,24.83,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-24T14:30:00Z,25.2,25.28999,25.2,25.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-28T14:30:00Z,25.59,25.59,25.32941,25.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-29T14:30:00Z,25.49001,25.6899,25.27,25.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-30T14:30:00Z,25.53,25.53,25.28999,25.39999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-12-31T14:30:00Z,25.59,25.59,25.31,25.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-04T14:30:00Z,25.89,26.151,25.89,26.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-05T14:30:00Z,26.39999,26.39999,26.13,26.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-06T14:30:00Z,26.67999,26.67999,26.4041,26.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-07T14:30:00Z,26.62,26.62,26.45599,26.55991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-08T14:30:00Z,26.35001,26.48,26.25999,26.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-11T14:30:00Z,26.62,26.62,26.35001,26.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-12T14:30:00Z,26.19,26.28999,25.99001,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-13T14:30:00Z,26.41,26.46001,26.13,26.4259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-14T14:30:00Z,26.60001,26.60001,26.39999,26.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-15T14:30:00Z,26.64999,26.64999,26.02,26.07001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-19T14:30:00Z,26.3,26.53,26.12,26.49001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-20T14:30:00Z,26.31,26.31,25.7301,25.85001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-21T14:30:00Z,25.63,25.63,24.87,24.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-22T14:30:00Z,24.88,24.88,24.3976,24.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-25T14:30:00Z,25.07001,25.07001,24.59,24.73199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-26T14:30:00Z,24.59,24.59,24.17999,24.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-27T14:30:00Z,24.17,24.17,23.60001,23.89999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-28T14:30:00Z,24.06,24.06,23.4201,23.60899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-01-29T14:30:00Z,24.16,24.27,23.75999,23.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-01T14:30:00Z,24.02,24.3,24.02,24.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-02T14:30:00Z,24.08,24.22,23.91,24.19679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-03T14:30:00Z,24.28999,24.56,24.28999,24.455,25.1880522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-04T14:30:00Z,24.13,24.13,23.24001,23.3,25.157452199999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-05T14:30:00Z,23.2,23.21001,22.5,22.8801,25.1098544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-08T14:30:00Z,23.2,23.28,23.00999,23.05,25.0696544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-09T14:30:00Z,23.49001,23.7076,23.33501,23.56,25.0330544,25.11161352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-10T14:30:00Z,23.46001,23.4799,23.17999,23.41,25.0096544,25.07593396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-11T14:30:00Z,23.66,23.98,23.57001,23.90981,24.9890506,25.042253640000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-12T14:30:00Z,23.67999,23.81,23.60001,23.81,24.9542506,25.011132879999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-16T14:30:00Z,24.2,24.28,23.89999,24.28,24.9296508,24.98313216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-17T14:30:00Z,24.53999,24.53999,24.32001,24.41,24.9119306,24.9589074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-18T14:30:00Z,24.28,24.5,24.25,24.5,24.889930399999997,24.9349626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-19T14:30:00Z,24.09,24.36,24.09,24.28239,24.8767782,24.91250812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-22T14:30:00Z,24.37,24.37,24.03999,24.05,24.8587382,24.893405639999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-23T14:30:00Z,24.06,24.11,23.69,23.7,24.828138199999998,24.873103119999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-24T14:30:00Z,23.95,24.25999,23.95,24.21001,24.8055384,24.851824679999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-25T14:30:00Z,23.75,24,23.71001,24,24.783538200000002,24.830546239999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-02-26T14:30:00Z,24.56,24.56,24.21001,24.49001,24.7719382,24.809578239999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-01T14:30:00Z,24.75,24.85001,24.64,24.83,24.774538200000002,24.792738239999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-02T14:30:00Z,25.05,25.31,25.05,25.31,24.7853382,24.784178239999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-03T14:30:00Z,25.55,25.58,25.38,25.46001,24.8071584,24.784502239999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-04T14:30:00Z,25.59,25.59,25.271,25.48,24.8313584,24.794066279999992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-05T14:30:00Z,25.84,26.00999,25.72,26.00999,24.8659582,24.81287027999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-08T14:30:00Z,26,26,25.815,25.91,24.8967582,24.837314279999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-09T14:30:00Z,25.8,25.89999,25.6806,25.7659,24.9120762,24.862661879999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-10T14:30:00Z,25.87,26.08,25.87,26,24.9276762,24.886765439999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-11T14:30:00Z,26.05,26.05,25.7601,25.90421,24.9379604,24.908085839999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-12T14:30:00Z,26.14999,26.14999,25.83,25.87,24.947760400000004,24.924446279999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-15T13:30:00Z,25.75999,25.87,25.63,25.8,24.955760599999998,24.936246759999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-16T13:30:00Z,26.24001,26.255,26.12,26.25,24.9745606,24.948743639999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-17T13:30:00Z,26.5,26.67999,26.4297,26.5399,24.982758599999997,24.95976011999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-18T13:30:00Z,26.64999,26.64999,26.36,26.42,24.9851586,24.96919975999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-03-19T13:30:00Z,26.67999,26.67999,26.00999,26.13,24.978158599999997,24.97527939999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
