time,open,high,low,not_close,"BAMLH0A0HYM2, ICE: Open","BAMLH0A0HYM2, ICE: High","BAMLH0A0HYM2, ICE: Low","BAMLH0A0HYM2, ICE: Close","US02Y, TVC: Open","US02Y, TVC: High","US02Y, TVC: Low","US02Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close","VIX, TVC: Open","VIX, TVC: High","VIX, TVC: Low","VIX, TVC: Close","ES1!, CME_MINI: Open","ES1!, CME_MINI: High","ES1!, CME_MINI: Low","close",MA,Smoothing Line,ROC
2004-03-25T22:46:00Z,-0.91,-0.16,-0.91,-0.16,4.42,4.42,4.42,4.42,1.49800003,1.49800003,1.49800003,1.49800003,3.74300003,3.74300003,3.74300003,3.74300003,18.19,18.23,16.67,17.32999,1106.25,1114,1104.25,1106,NaN,NaN,NaN
2004-03-28T22:46:00Z,-0.05,-0.02,-0.14,-0.03,4.34,4.34,4.34,4.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.11,17.17,16.28999,16.5,1106,1123.5,1106,1121.75,NaN,NaN,NaN
2004-03-29T22:46:00Z,-0.01,0.17,-0.16,0.17,4.33,4.33,4.33,4.33,1.57000005,1.57000005,1.57000005,1.57000005,3.89199996,3.89199996,3.89199996,3.89199996,16.67999,16.8,16.12999,16.28,1121.75,1126.75,1117.5,1126,NaN,NaN,NaN
2004-03-30T22:46:00Z,0.31,0.31,0.1,0.1,4.41,4.41,4.41,4.41,1.58800006,1.58800006,1.58800006,1.58800006,3.89599991,3.89599991,3.89599991,3.89599991,16.33,16.96001,16.23,16.73999,1126,1129.75,1119.75,1125,NaN,NaN,NaN
2004-03-31T22:46:00Z,0.07,0.07,-0.05,-0.01,4.32,4.32,4.32,4.32,1.57200003,1.57200003,1.57200003,1.57200003,3.83699989,3.83699989,3.83699989,3.83699989,16.75999,17.25,16.64999,16.64999,1126.75,1134.75,1123.5,1133.5,NaN,NaN,NaN
2004-04-01T22:46:00Z,0.04,0.32,0.04,0.27,4.16,4.16,4.16,4.16,1.56799996,1.56799996,1.56799996,1.56799996,3.8900001,3.8900001,3.8900001,3.8900001,15.21,16.55,15.21,15.64,1133.25,1145,1132,1142,0.056666667,NaN,NaN
2004-04-04T21:46:00Z,0.27,0.27,0.09,0.09,4.11,4.11,4.11,4.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.17,16.64,14.81,14.97,1141.5,1149.5,1138,1148.25,0.098333333,NaN,NaN
2004-04-05T21:46:00Z,0.25,0.25,-0.03,0,4.14,4.14,4.14,4.14,1.85399997,1.85399997,1.85399997,1.85399997,4.21600008,4.21600008,4.21600008,4.21600008,15.35,15.53,15.07,15.32,1148.25,1148.5,1141.5,1144.75,0.103333333,NaN,NaN
2004-04-06T21:46:00Z,-0.02,0.06,-0.03,0.03,4.11,4.11,4.11,4.11,1.83000004,1.83000004,1.83000004,1.83000004,4.14900017,4.14900017,4.14900017,4.14900017,15.41,16.36,15.34,15.76,1144.5,1146.5,1137,1142.25,0.08,NaN,NaN
2004-04-07T21:46:00Z,0.3,0.3,-0.05,-0.05,4.06,4.06,4.06,4.06,1.81900001,1.81900001,1.81900001,1.81900001,4.16499996,4.16499996,4.16499996,4.16499996,14.96,16.82001,14.96,16.25999,1142.25,1154.5,1133,1139.5,0.055,0.078666667,NaN
2004-04-11T21:46:00Z,-0.03,0.24,-0.03,0.23,4.02,4.02,4.02,4.02,1.80700004,1.80700004,1.80700004,1.80700004,4.19299984,4.19299984,4.19299984,4.19299984,15.71,16.12,15,15.28,1139,1146.5,1136,1144,0.095,0.086333333,NaN
2004-04-12T21:46:00Z,-0.15,0,-0.15,-0.01,3.96,3.96,3.96,3.96,1.88199997,1.88199997,1.88199997,1.88199997,4.23000002,4.23000002,4.23000002,4.23000002,15.29,17.98,15.29,17.25999,1144.25,1150,1126.25,1128.25,0.048333333,0.076333333,NaN
2004-04-13T21:46:00Z,-0.08,0.1,-0.08,0.01,3.97,3.97,3.97,3.97,1.99800003,1.99800003,1.99800003,1.99800003,4.35400009,4.35400009,4.35400009,4.35400009,17.28999,17.71001,15.6,15.62,1128,1132,1120.75,1129.75,0.035,0.062666667,-106.25
2004-04-14T21:46:00Z,0.24,0.24,0.12,0.12,3.95,3.95,3.95,3.95,2.0769999,2.0769999,2.0769999,2.0769999,4.36600018,4.36600018,4.36600018,4.36600018,16.02,16.78,15.22,15.74,1129.25,1133.5,1119,1125,0.055,0.057666667,-500
2004-04-15T21:46:00Z,0.33,0.43,0.33,0.43,3.96,3.96,3.96,3.96,2.04399991,2.04399991,2.04399991,2.04399991,4.4000001,4.4000001,4.4000001,4.4000001,14.8,15.69,14.8,14.94,1124.5,1136,1122,1134,0.121666667,0.071,152.9411765
2004-04-18T21:46:00Z,0.48,0.81,0.48,0.81,3.94,3.94,3.94,3.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.73,16.08,15.33,15.42,1132.5,1135.25,1128.25,1133.75,0.265,0.105,710
2004-04-19T21:46:00Z,0.81,1.03,0.81,0.81,3.91,3.91,3.91,3.91,1.96800005,1.96800005,1.96800005,1.96800005,4.38600016,4.38600016,4.38600016,4.38600016,15.24,16.72,14.79,16.67,1133.5,1138.5,1113.25,1114.5,0.361666667,0.167666667,-8200
2004-04-20T21:46:00Z,0.68,1.05,0.67,1.02,3.91,3.91,3.91,3.91,2.16400003,2.16400003,2.16400003,2.16400003,4.46700001,4.46700001,4.46700001,4.46700001,16.61,16.94,15.55,15.6,1115.5,1124.75,1114.25,1122.5,0.533333333,0.267333333,277.7777778
2004-04-21T21:46:00Z,1.06,1.5,1.06,1.42,3.93,3.93,3.93,3.93,2.10599995,2.10599995,2.10599995,2.10599995,4.43100023,4.43100023,4.43100023,4.43100023,15.89,15.98,13.86,14.61,1124,1142,1118.25,1136.75,0.768333333,0.41,1477.777778
2004-04-22T21:46:00Z,1.67,1.75,1.67,1.75,3.81,3.81,3.81,3.81,2.11999989,2.11999989,2.11999989,2.11999989,4.38700008,4.38700008,4.38700008,4.38700008,12.89,14.56,12.89,14.01,1140,1142.25,1133.25,1139.5,1.04,0.593666667,NaN
2004-04-25T21:46:00Z,1.83,1.83,1.75,1.83,3.82,3.82,3.82,3.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.75,15.22,14.39,14.77,1138.25,1144.25,1131,1138,1.273333333,0.795333333,6000
2004-04-26T21:46:00Z,1.83,2.26,1.83,1.97,3.85,3.85,3.85,3.85,2.25200009,2.25200009,2.25200009,2.25200009,4.44799995,4.44799995,4.44799995,4.44799995,15.05,15.17,14.37,15.07,1137.75,1146.25,1134.75,1138,1.466666667,1.016333333,-4040
2004-04-27T21:46:00Z,1.93,1.98,1.89,1.9,3.81,3.81,3.81,3.81,2.14199996,2.14199996,2.14199996,2.14199996,4.38500023,4.38500023,4.38500023,4.38500023,15.55,16.53999,15.55,16.28999,1138,1138.25,1120,1123.5,1.648333333,1.239333333,726.0869565
2004-04-28T21:46:00Z,2.11,2.11,1.8,1.87,3.83,3.83,3.83,3.83,2.25600004,2.25600004,2.25600004,2.25600004,4.50199986,4.50199986,4.50199986,4.50199986,16.36,17.27,15.87,16.59999,1123,1128,1106.5,1114,1.79,1.443666667,-18800
2004-04-29T21:46:00Z,1.93,1.93,1.57,1.63,3.91,3.91,3.91,3.91,2.28200006,2.28200006,2.28200006,2.28200006,4.53999996,4.53999996,4.53999996,4.53999996,16.27,17.23,16.14,17.18999,1113.25,1119,1103.75,1106,1.825,1.600666667,16200
2004-05-02T21:46:00Z,1.56,1.58,1.56,1.58,3.93,3.93,3.93,3.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.69,17.72,16.60999,16.62,1105.25,1118,1104.25,1116,1.796666667,1.705333333,1216.666667
2004-05-03T21:46:00Z,1.55,2.12,1.53,1.89,3.98,3.98,3.98,3.98,2.31100011,2.31100011,2.31100011,2.31100011,4.50199986,4.50199986,4.50199986,4.50199986,16.8,17.13,15.97,16.54999,1116,1127.5,1111.5,1115.5,1.806666667,1.773333333,339.5348837
2004-05-04T21:46:00Z,2.05,2.19,2.05,2.17,3.97,3.97,3.97,3.97,2.23799992,2.23799992,2.23799992,2.23799992,4.56699991,4.56699991,4.56699991,4.56699991,16.42999,16.55,15.64,15.77,1115.5,1124.5,1112.5,1122,1.84,1.811666667,167.9012346
2004-05-05T21:46:00Z,2.15,2.2,1.93,1.93,4.04,4.04,4.04,4.04,2.34299994,2.34299994,2.34299994,2.34299994,4.58799982,4.58799982,4.58799982,4.58799982,16.45,17.67,16.45,17.04999,1122,1122.25,1104.75,1113,1.845,1.822666667,138.2716049
2004-05-06T21:46:00Z,1.97,2.13,1.56,1.56,3.99,3.99,3.99,3.99,2.38000011,2.38000011,2.38000011,2.38000011,4.60200024,4.60200024,4.60200024,4.60200024,17.22,18.17,16.43999,18.12999,1113,1117,1094.5,1095.5,1.793333333,1.816333333,52.94117647
2004-05-09T21:46:00Z,1.43,1.62,1.08,1.08,4.21,4.21,4.21,4.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.44,20.2,18.98999,19.76999,1095,1097,1078,1083.5,1.701666667,1.797333333,-23.94366197
2004-05-10T21:46:00Z,1.3,1.59,1.3,1.59,4.24,4.24,4.24,4.24,2.57299995,2.57299995,2.57299995,2.57299995,4.80100012,4.80100012,4.80100012,4.80100012,19.23,19.28,17.93999,18.56999,1083.5,1095.25,1081.25,1092.25,1.703333333,1.776666667,-9.142857143
2004-05-11T21:46:00Z,1.49,1.49,1.37,1.41,4.31,4.31,4.31,4.31,2.56900001,2.56900001,2.56900001,2.56900001,4.74800014,4.74800014,4.74800014,4.74800014,18.78999,20.41,18.14,18.14,1092.5,1099.75,1075.25,1098.75,1.623333333,1.733333333,-22.95081967
2004-05-12T21:46:00Z,1.39,1.4,1.2,1.2,4.37,4.37,4.37,4.37,2.55299997,2.55299997,2.55299997,2.55299997,4.82200003,4.82200003,4.82200003,4.82200003,18.78,18.92,17.96999,18.85999,1098.5,1102.5,1090.75,1093.75,1.461666667,1.656666667,-39.08629442
2004-05-13T21:46:00Z,0.88,1.15,0.88,1.12,4.48,4.48,4.48,4.48,2.52900004,2.52900004,2.52900004,2.52900004,4.86399984,4.86399984,4.86399984,4.86399984,18.66,19.27,18.06,18.46999,1093.5,1102,1085.75,1094.75,1.326666667,1.563333333,-41.05263158
2004-05-16T21:46:00Z,0.7,0.92,0.7,0.84,4.56,4.56,4.56,4.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.7,20.45,19.64999,19.95999,1094,1094.75,1078.25,1085.5,1.206666667,1.464333333,-55.0802139
2004-05-17T21:46:00Z,-0.09,0.2,-0.14,0.14,4.46,4.46,4.46,4.46,2.50600004,2.50600004,2.50600004,2.50600004,4.69500017,4.69500017,4.69500017,4.69500017,19.60001,19.7,19.14,19.32999,1085.25,1094.5,1084.5,1090.25,1.05,1.333666667,-91.41104294
2004-05-18T21:46:00Z,0.27,1.08,0.27,1.04,4.32,4.32,4.32,4.32,2.52900004,2.52900004,2.52900004,2.52900004,4.73199987,4.73199987,4.73199987,4.73199987,18.48,18.92999,17.57999,18.92999,1090.75,1105.75,1085.75,1086.75,0.958333333,1.200666667,-34.17721519
2004-05-19T21:46:00Z,0.81,0.95,0.81,0.87,4.4,4.4,4.4,4.4,2.52900004,2.52900004,2.52900004,2.52900004,4.77600002,4.77600002,4.77600002,4.77600002,18.60001,19.25,18.54999,18.67,1087,1092.75,1084,1090.5,0.868333333,1.082,-53.96825397
2004-05-20T21:46:00Z,0.55,1.04,0.55,1.04,4.32,4.32,4.32,4.32,2.49799991,2.49799991,2.49799991,2.49799991,4.70800018,4.70800018,4.70800018,4.70800018,18.73,18.74001,18,18.48999,1090,1099.75,1088.75,1092.5,0.841666667,0.985,-52.07373272
2004-05-23T21:46:00Z,0.47,0.47,0.11,0.27,4.29,4.29,4.29,4.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.78999,18.82001,17.95999,18.07999,1092.75,1101.75,1091,1096.5,0.7,0.883666667,-86.01036269
2004-05-24T21:46:00Z,-0.15,0.56,-0.15,0.5,4.28,4.28,4.28,4.28,2.53299999,2.53299999,2.53299999,2.53299999,4.73400021,4.73400021,4.73400021,4.73400021,18.41,18.42,15.73,15.96,1096.5,1113.75,1090,1112.5,0.643333333,0.802333333,-67.94871795
2004-05-25T21:46:00Z,0.55,0.56,0.45,0.48,4.28,4.28,4.28,4.28,2.54200006,2.54200006,2.54200006,2.54200006,4.72800016,4.72800016,4.72800016,4.72800016,16.09,16.3,15.78,15.97,1112,1117,1108.75,1116,0.7,0.750666667,-55.55555556
2004-05-26T21:46:00Z,0.72,0.72,0.55,0.55,4.32,4.32,4.32,4.32,2.45000005,2.45000005,2.45000005,2.45000005,4.66499996,4.66499996,4.66499996,4.66499996,15.74,15.86,15.19,15.28,1116,1124.5,1114.5,1122.75,0.618333333,0.700666667,-65.40880503
2004-05-27T21:46:00Z,0.5,0.5,0.45,0.48,4.24,4.24,4.24,4.24,2.46700001,2.46700001,2.46700001,2.46700001,4.6079998,4.6079998,4.6079998,4.6079998,15.44,15.65,15.39,15.5,1122.25,1123.75,1117.5,1120.25,0.553333333,0.643,-65.95744681
2004-05-31T21:46:00Z,0.63,0.65,0.56,0.56,4.25,4.25,4.25,4.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.60001,16.96001,16.18999,16.29999,1121.25,1122.75,1112.5,1121.25,0.473333333,0.597666667,-53.33333333
2004-06-01T21:46:00Z,0.56,0.62,0.45,0.45,4.23,4.23,4.23,4.23,2.59299994,2.59299994,2.59299994,2.59299994,4.70300007,4.70300007,4.70300007,4.70300007,16.05,16.7,15.95,16.07999,1121.5,1128.5,1118.25,1125.5,0.503333333,0.569666667,-59.82142857
2004-06-02T21:46:00Z,0.73,0.9,0.63,0.73,4.25,4.25,4.25,4.25,2.64599991,2.64599991,2.64599991,2.64599991,4.75,4.75,4.75,4.75,16.42999,17.03999,16.15999,17.03,1125.25,1126,1114.5,1115,0.541666667,0.538,-13.0952381
2004-06-03T21:46:00Z,0.76,1.23,0.76,1.23,4.16,4.16,4.16,4.16,2.55900002,2.55900002,2.55900002,2.55900002,4.72200012,4.72200012,4.72200012,4.72200012,16.24001,16.89999,15.82,16.78,1116,1129.5,1115.5,1123.25,0.666666667,0.547666667,778.5714286
2004-06-06T21:46:00Z,1.24,1.51,1.18,1.49,4.16,4.16,4.16,4.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.60001,16.7,15.33,15.39,1122.5,1142,1122.5,1140.25,0.823333333,0.601666667,43.26923077
2004-06-07T21:46:00Z,1.43,1.55,1.43,1.55,4.1,4.1,4.1,4.1,2.65899992,2.65899992,2.65899992,2.65899992,4.76300001,4.76300001,4.76300001,4.76300001,15.79,15.88,15,15.01,1140.25,1142.75,1135.5,1142,1.001666667,0.707333333,78.16091954
2004-06-08T21:46:00Z,1.28,1.66,1.28,1.66,4.05,4.05,4.05,4.05,2.64700007,2.64700007,2.64700007,2.64700007,4.76800013,4.76800013,4.76800013,4.76800013,14.56,15.46,14.56,15.39,1141.75,1143,1130.5,1131.5,1.185,0.843666667,59.61538462
2004-06-09T21:46:00Z,1.6,1.86,1.6,1.86,4.06,4.06,4.06,4.06,2.6960001,2.6960001,2.6960001,2.6960001,4.80800009,4.80800009,4.80800009,4.80800009,15.33,15.35,14.92,15.04,1131.75,1137,1128.5,1136.5,1.42,1.019333333,588.8888889
2004-06-13T21:46:00Z,1.85,1.85,1.6,1.64,4,4,4,4,2.80299997,2.80299997,2.80299997,2.80299997,4.80100012,4.80100012,4.80100012,4.80100012,15.54,16.36,15.54,16.06999,1133.75,1134.5,1121.75,1125.5,1.571666667,1.200333333,228
2004-06-14T21:46:00Z,1.84,2.25,1.84,2.2,4.12,4.12,4.12,4.12,2.93400002,2.93400002,2.93400002,2.93400002,4.87599993,4.87599993,4.87599993,4.87599993,15.34,15.35,14.72,15.05,1125.5,1137.75,1125.25,1133.75,1.733333333,1.382333333,358.3333333
2004-06-15T21:46:00Z,2.65,2.65,2.12,2.12,4.05,4.05,4.05,4.05,2.74699998,2.74699998,2.74699998,2.74699998,4.68400002,4.68400002,4.68400002,4.68400002,14.83,15.22,14.48,14.79,1133.25,1137,1130,1133,1.838333333,1.549666667,285.4545455
2004-06-16T21:46:00Z,1.89,2.03,1.89,2.03,4.06,4.06,4.06,4.06,2.79699993,2.79699993,2.79699993,2.79699993,4.72399998,4.72399998,4.72399998,4.72399998,15.06,15.58,15,15.15,1133,1134,1126.25,1131.5,1.918333333,1.696333333,322.9166667
2004-06-17T21:46:00Z,2,2.31,2,2.31,4.02,4.02,4.02,4.02,2.773,2.773,2.773,2.773,4.68400002,4.68400002,4.68400002,4.68400002,14.74,15.25,14.51,14.99,1131.25,1139.5,1126.5,1134,2.026666667,1.817666667,312.5
2004-06-20T21:46:00Z,2.04,2.04,1.86,1.86,4.02,4.02,4.02,4.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.61,15.62,14.96,15.26,1134.75,1139.25,1128.25,1129.25,2.026666667,1.908666667,313.3333333
2004-06-21T21:46:00Z,1.92,1.92,1.82,1.91,3.98,3.98,3.98,3.98,2.74900007,2.74900007,2.74900007,2.74900007,4.68599987,4.68599987,4.68599987,4.68599987,15.44,15.64,14.31,14.31,1129.25,1135.75,1123.75,1135,2.071666667,1.976333333,161.6438356
2004-06-22T21:46:00Z,1.94,2.4,1.93,2.08,3.98,3.98,3.98,3.98,2.74499989,2.74499989,2.74499989,2.74499989,4.72100019,4.72100019,4.72100019,4.72100019,14.6,14.82,13.75,13.98,1134.75,1145.25,1131,1144,2.051666667,2.019,69.10569106
2004-06-23T21:46:00Z,2.1,2.31,2.1,2.23,4.01,4.01,4.01,4.01,2.72300005,2.72300005,2.72300005,2.72300005,4.69999981,4.69999981,4.69999981,4.69999981,14.39,14.97,14.16,14.81,1144,1146.25,1139.5,1141.25,2.07,2.049333333,49.66442953
2004-06-24T21:46:00Z,2.32,2.35,2.23,2.35,4,4,4,4,2.71000004,2.71000004,2.71000004,2.71000004,4.65399981,4.65399981,4.65399981,4.65399981,14.78,15.29,14.47,15.19,1141.5,1146,1133.5,1135.25,2.123333333,2.068666667,51.61290323
2004-06-27T21:46:00Z,1.98,2.14,1.9,2.09,3.91,3.91,3.91,3.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,16.13,15.19,16.06999,1136.75,1145.75,1131,1131.75,2.086666667,2.080666667,25.90361446
2004-06-28T21:46:00Z,2.09,2.34,2.09,2.34,3.96,3.96,3.96,3.96,2.72099996,2.72099996,2.72099996,2.72099996,4.73699999,4.73699999,4.73699999,4.73699999,15.22,16.28,15.22,15.47,1132,1138.5,1127.75,1135.75,2.166666667,2.099666667,25.80645161
2004-06-29T21:46:00Z,2.3,2.76,2.3,2.76,4.1,4.1,4.1,4.1,2.82299995,2.82299995,2.82299995,2.82299995,4.68900013,4.68900013,4.68900013,4.68900013,15.27,15.73,14.25,14.34,1135.75,1144.5,1133,1140.5,2.308333333,2.151,68.29268293
2004-06-30T21:46:00Z,2.71,2.8,2.45,2.61,4.13,4.13,4.13,4.13,2.6789999,2.6789999,2.6789999,2.6789999,4.58300018,4.58300018,4.58300018,4.58300018,14.74,15.57,14.41,15.2,1140.75,1143.75,1122.25,1126.25,2.396666667,2.216333333,18.63636364
2004-07-01T21:46:00Z,2.81,2.82,2.68,2.71,4.17,4.17,4.17,4.17,2.80100012,2.80100012,2.80100012,2.80100012,4.56899977,4.56899977,4.56899977,4.56899977,15.23,15.45,14.8,15.08,1126.5,1129.5,1122.5,1125.75,2.476666667,2.287,27.83018868
2004-07-05T21:46:00Z,2.49,2.51,2.45,2.5,4.13,4.13,4.13,4.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.25,16.75,16.12999,16.25,1125.75,1129,1112.5,1115,2.501666667,2.37,23.15270936
2004-07-06T21:46:00Z,2.26,2.78,2.26,2.77,4.12,4.12,4.12,4.12,2.60500002,2.60500002,2.60500002,2.60500002,4.47599983,4.47599983,4.47599983,4.47599983,16.36,16.47,15.59,15.81,1115,1122,1113.5,1118,2.615,2.459666667,19.91341991
2004-07-07T21:46:00Z,2.61,2.96,2.61,2.88,4.1,4.1,4.1,4.1,2.602,2.602,2.602,2.602,4.47800016,4.47800016,4.47800016,4.47800016,15.86,16.36,15.5,16.2,1117.5,1119.25,1108,1110.75,2.705,2.539,54.83870968
2004-07-08T21:46:00Z,3.05,3.29,3.05,3.29,4.08,4.08,4.08,4.08,2.602,2.602,2.602,2.602,4.47599983,4.47599983,4.47599983,4.47599983,16.00999,16.03,15.71,15.78,1110.75,1115.5,1110,1112.75,2.793333333,2.618333333,72.2513089
2004-07-11T21:46:00Z,3.23,3.94,3.23,3.94,4.08,4.08,4.08,4.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.25,15.61,14.61,14.96,1113.75,1116.25,1106,1113.5,3.015,2.726,89.42307692
2004-07-12T21:46:00Z,4.05,4.58,4.05,4.48,4.02,4.02,4.02,4.02,2.62199998,2.62199998,2.62199998,2.62199998,4.44899988,4.44899988,4.44899988,4.44899988,14.86,15.08,14.28,14.46,1113.5,1116,1111,1114.25,3.31,2.887666667,100.896861
2004-07-13T21:46:00Z,-0.1,0.27,-0.1,0.05,3.98,3.98,3.98,3.98,2.52399993,2.52399993,2.52399993,2.52399993,4.47200012,4.47200012,4.47200012,4.47200012,16.59,16.59,13.34,13.76,1111.75,1119.75,1106.75,1111.25,2.901666667,2.945,-97.87234043
2004-07-14T21:46:00Z,0.36,0.36,-0.04,-0.04,3.94,3.94,3.94,3.94,2.53600001,2.53600001,2.53600001,2.53600001,4.48600006,4.48600006,4.48600006,4.48600006,13.94,14.73,13.6,14.71,1111.5,1115,1103,1103.5,2.433333333,2.890666667,-101.9138756
2004-07-15T21:46:00Z,0.32,0.32,-0.16,-0.16,4.02,4.02,4.02,4.02,2.58699989,2.58699989,2.58699989,2.58699989,4.48400021,4.48400021,4.48400021,4.48400021,14.27,14.58,13.95,14.34,1105,1112.5,1100,1102.75,1.926666667,2.717333333,-106.8376068
2004-07-18T21:46:00Z,0.65,0.93,0.65,0.93,3.98,3.98,3.98,3.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.17,15.83,14.86,15.17,1103,1106,1095.5,1098.75,1.533333333,2.421,-66.30434783
2004-07-19T21:46:00Z,0.98,1.15,0.98,1.15,3.86,3.86,3.86,3.86,2.52200007,2.52200007,2.52200007,2.52200007,4.36100006,4.36100006,4.36100006,4.36100006,15.53,15.57,13.98,14.17,1098.75,1114.75,1095.75,1112,1.068333333,1.972666667,-55.93869732
2004-07-20T21:46:00Z,1.3,1.44,1.3,1.44,3.84,3.84,3.84,3.84,2.6329999,2.6329999,2.6329999,2.6329999,4.44999981,4.44999981,4.44999981,4.44999981,14,16.46001,13.91,16.40999,1112,1116,1089.5,1090.5,0.561666667,1.504666667,-46.86346863
2004-07-21T21:46:00Z,1.59,1.95,1.56,1.82,3.91,3.91,3.91,3.91,2.66199994,2.66199994,2.66199994,2.66199994,4.46999979,4.46999979,4.46999979,4.46999979,16.64999,17.10001,15.29,15.75,1090.25,1099.25,1083,1093.75,0.856666667,1.189333333,-27.2
2004-07-22T21:46:00Z,1.8,2.24,1.8,2.2,3.95,3.95,3.95,3.95,2.65799999,2.65799999,2.65799999,2.65799999,4.45200014,4.45200014,4.45200014,4.45200014,15.82,16.94,15.82,16.5,1092,1094,1082.25,1085.5,1.23,1.05,-20.57761733
2004-07-25T21:46:00Z,1.98,2.11,1.91,2.11,3.95,3.95,3.95,3.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.22,17.92999,16.98,17.29999,1085.75,1089.5,1077,1083,1.608333333,1.065,-26.73611111
2004-07-26T21:46:00Z,2.14,2.38,2.02,2.37,3.92,3.92,3.92,3.92,2.71600008,2.71600008,2.71600008,2.71600008,4.48899984,4.48899984,4.48899984,4.48899984,17.24001,17.34,16.29999,16.54999,1083,1096,1082.75,1092.5,1.848333333,1.221,-27.96352584
2004-07-27T21:46:00Z,2.32,2.55,2.32,2.55,3.96,3.96,3.96,3.96,2.796,2.796,2.796,2.796,4.61899996,4.61899996,4.61899996,4.61899996,16.77,17.41,15.94,16.14999,1092.5,1098.5,1080.75,1095.5,2.081666667,1.525,-35.27918782
2004-07-28T21:46:00Z,2.86,3.2,2.86,3.2,3.94,3.94,3.94,3.94,2.73200011,2.73200011,2.73200011,2.73200011,4.58900023,4.58900023,4.58900023,4.58900023,16,16.12,15.42,15.68,1095.75,1103.75,1092.5,1100.25,2.375,1.828666667,-28.57142857
2004-07-29T21:46:00Z,3.17,3.38,3.14,3.38,3.99,3.99,3.99,3.99,2.7579999,2.7579999,2.7579999,2.7579999,4.579,4.579,4.579,4.579,15.85,15.89,15.27,15.32,1100.25,1104,1096,1101,2.635,2.109666667,6660
2004-08-01T21:46:00Z,3.28,3.43,3.28,3.37,4.04,4.04,4.04,4.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.42,16.58,15.22,15.37,1098,1108.25,1095.5,1105.5,2.83,2.354,-8525
2004-08-02T21:46:00Z,3.42,3.42,3.14,3.14,4.05,4.05,4.05,4.05,2.64899993,2.64899993,2.64899993,2.64899993,4.45300007,4.45300007,4.45300007,4.45300007,15.56,16.05,15.28,16.03,1105.75,1106.5,1096.5,1097.25,3.001666667,2.584666667,-2062.5
2004-08-03T21:46:00Z,2.92,2.92,2.75,2.75,4.06,4.06,4.06,4.06,2.64899993,2.64899993,2.64899993,2.64899993,4.4289999,4.4289999,4.4289999,4.4289999,16.33,16.64999,15.82,16.20999,1097.5,1102.25,1089,1097,3.065,2.781333333,195.6989247
2004-08-04T21:46:00Z,2.79,2.79,2.3,2.3,4.05,4.05,4.05,4.05,2.64400005,2.64400005,2.64400005,2.64400005,4.42299986,4.42299986,4.42299986,4.42299986,16.19,18.41,16.17,18.31999,1097,1098.75,1077.25,1078.5,3.023333333,2.911,100
