,asofdate,aic,bic,hqic,mae,mse,rsquare,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.close,ar.L2.close,ma.L1.close,ma.L2.close
0,1992-07-31 13:00:00+00:00,-710.4741609267634,-689.2975864016948,-701.9531460740831,0.03618717501850135,0.0033267458117247728,0.8510267866527489,5,True,252,500,2,2,0 days 00:00:00.388804,palm_oil,0.05299830830598557,0.07374410887658472,0.0679751064353176,0.11200721863743751
1,1993-01-01 13:00:00+00:00,-711.610672266588,-690.4340977415195,-703.0896574139077,0.03616188927764315,0.0033131252549977344,0.8496819518514525,5,True,252,500,2,2,0 days 00:00:00.369817,palm_oil,0.048841543037634376,0.06317955700460455,0.06200699563568561,0.10078621823340456
2,1993-05-31 13:00:00+00:00,-715.0512952224782,-693.8747206974097,-706.5302803697979,0.03561439763886279,0.003270712983354582,0.8455528448452276,5,True,252,500,2,2,0 days 00:00:00.429190,palm_oil,0.04362438188651267,0.05201913568693694,0.05572895051698144,0.08727023236067766
3,1993-10-29 13:00:00+00:00,-717.3785880601644,-696.2020135350958,-708.857573207484,0.03498666759603861,0.0032446178897847966,0.8523547918489636,5,True,252,500,2,2,0 days 00:00:00.375681,palm_oil,0.049793507520548584,0.06175941311309216,0.06733381526586377,0.1008920435525532
4,1994-03-31 13:00:00+00:00,-727.0309506107807,-705.8543760857121,-718.5099357581004,0.034290315255126505,0.003120692631336627,0.8539009771016909,5,True,252,500,2,2,0 days 00:00:00.711003,palm_oil,0.040979450979617804,0.041611611569101925,0.05484746230884304,0.07124576975956952
5,1994-08-31 13:00:00+00:00,-735.802109231534,-714.6255347064655,-727.2810943788537,0.03332842471180868,0.003014764785738118,0.8451830681820548,5,True,252,500,2,2,0 days 00:00:00.688297,palm_oil,0.04108247855449702,0.04489553972162326,0.05523011891789981,0.08134854396525136
6,1995-02-02 13:00:00+00:00,-743.43199062623,-722.2554161011615,-734.9109757735497,0.03218633599513802,0.0029240568633982834,0.8466365899763181,5,True,252,500,2,2,0 days 00:00:00.478637,palm_oil,0.0412751908790987,0.038671817122079115,0.0593585276177286,0.05940843186555304
7,1995-06-30 13:00:00+00:00,-733.6930262053844,-712.5164516803159,-725.1720113527041,0.03134924669449672,0.00305229654849953,0.9006788035145831,5,True,252,500,2,2,0 days 00:00:00.574156,palm_oil,0.03941847054508635,0.031213828676876564,0.037176805155501924,0.021185999931377153
8,1995-11-30 13:00:00+00:00,-750.8812554534094,-729.7046809283408,-742.3602406007291,0.030951153557419737,0.002840486673437274,0.843597306358615,5,True,252,500,2,2,0 days 00:00:00.736044,palm_oil,0.0610566438316641,0.04066673673664595,0.10496846731901796,0.058587588351679834
9,1996-05-01 13:00:00+00:00,-759.5130644398008,-738.3364899147323,-750.9920495871205,0.03046103424810997,0.0027895690394927927,0.8473845407556226,5,True,252,500,2,2,0 days 00:00:00.601854,palm_oil,0.011391288334426333,0.007600880753673483,0.014041158759794966,
