,asofdate,pointForecast,close,forecastday,product_name
0,1971-01-06 01:00:00+00:00,11.521279717343448,11.44,1,soybean_oil
1,1971-01-07 01:00:00+00:00,11.522220019610668,11.55,2,soybean_oil
2,1971-01-08 01:00:00+00:00,11.522565915859472,11.92,3,soybean_oil
3,1971-01-11 01:00:00+00:00,11.522693151534247,12.06,4,soybean_oil
4,1971-01-12 01:00:00+00:00,11.522739953738316,12.03,5,soybean_oil
5,1971-01-13 01:00:00+00:00,12.035259843351236,12.13,1,soybean_oil
6,1971-01-14 01:00:00+00:00,12.039215336460305,12.08,2,soybean_oil
7,1971-01-15 01:00:00+00:00,12.040689298714309,12.45,3,soybean_oil
8,1971-01-18 01:00:00+00:00,12.04123847356607,12.46,4,soybean_oil
9,1971-01-19 01:00:00+00:00,12.041443076580114,12.5,5,soybean_oil
10,1971-01-20 01:00:00+00:00,12.50896065136636,12.72,1,soybean_oil
11,1971-01-21 01:00:00+00:00,12.51275530149171,12.41,2,soybean_oil
12,1971-01-22 01:00:00+00:00,12.514127455160711,12.41,3,soybean_oil
13,1971-01-25 01:00:00+00:00,12.514623563480464,12.4,4,soybean_oil
14,1971-01-26 01:00:00+00:00,12.51480292512219,12.51,5,soybean_oil
15,1971-01-27 01:00:00+00:00,12.519451124924094,12.34,1,soybean_oil
16,1971-01-28 01:00:00+00:00,12.522358756003303,12.27,2,soybean_oil
17,1971-01-29 01:00:00+00:00,12.523394306531294,12.17,3,soybean_oil
18,1971-02-01 01:00:00+00:00,12.523763079649106,12.12,4,soybean_oil
19,1971-02-02 01:00:00+00:00,12.523894399849343,12.3,5,soybean_oil
20,1971-02-03 01:00:00+00:00,12.320767296509834,12.15,1,soybean_oil
21,1971-02-04 01:00:00+00:00,12.320042392666645,11.97,2,soybean_oil
22,1971-02-05 01:00:00+00:00,12.319363956041695,11.83,3,soybean_oil
23,1971-02-08 01:00:00+00:00,12.318729005713625,11.57,4,soybean_oil
24,1971-02-09 01:00:00+00:00,12.318134752277508,11.68,5,soybean_oil
25,1971-02-10 01:00:00+00:00,11.69254660409816,11.67,1,soybean_oil
26,1971-02-11 01:00:00+00:00,11.688704159273529,11.84,2,soybean_oil
27,1971-02-12 01:00:00+00:00,11.687043421681569,11.82,3,soybean_oil
28,1971-02-16 01:00:00+00:00,11.686325540735277,11.76,4,soybean_oil
29,1971-02-17 01:00:00+00:00,11.686015207045383,11.87,5,soybean_oil
30,1971-02-18 01:00:00+00:00,11.865537633222871,12.11,1,soybean_oil
31,1971-02-19 01:00:00+00:00,11.869527244652957,12.14,2,soybean_oil
32,1971-02-22 01:00:00+00:00,11.871317273740779,11.96,3,soybean_oil
33,1971-02-23 01:00:00+00:00,11.872120302809405,12.09,4,soybean_oil
34,1971-02-24 01:00:00+00:00,11.872480529831837,12.03,5,soybean_oil
35,1971-02-25 01:00:00+00:00,12.031339855901864,12.18,1,soybean_oil
36,1971-02-26 01:00:00+00:00,12.03105362418503,12.01,2,soybean_oil
37,1971-03-01 01:00:00+00:00,12.030908486803536,11.78,3,soybean_oil
38,1971-03-02 01:00:00+00:00,12.030834892423819,11.82,4,soybean_oil
39,1971-03-03 01:00:00+00:00,12.030797574973697,11.79,5,soybean_oil
40,1971-03-04 01:00:00+00:00,11.795918148596547,11.77,1,soybean_oil
41,1971-03-05 01:00:00+00:00,11.793771615149145,11.82,2,soybean_oil
42,1971-03-08 01:00:00+00:00,11.793433626933007,11.81,3,soybean_oil
43,1971-03-09 01:00:00+00:00,11.793380403363596,11.9,4,soybean_oil
44,1971-03-10 01:00:00+00:00,11.793372022042027,12.08,5,soybean_oil
45,1971-03-11 01:00:00+00:00,12.07573644262402,11.94,1,soybean_oil
46,1971-03-12 01:00:00+00:00,12.088973371962465,11.98,2,soybean_oil
47,1971-03-15 01:00:00+00:00,12.08999325635435,12.13,3,soybean_oil
48,1971-03-16 01:00:00+00:00,12.090071794053673,12.04,4,soybean_oil
49,1971-03-17 01:00:00+00:00,12.090077841711267,11.88,5,soybean_oil
50,1971-03-18 01:00:00+00:00,11.90207130474394,11.94,1,soybean_oil
51,1971-03-19 01:00:00+00:00,11.886626806598857,11.87,2,soybean_oil
52,1971-03-22 01:00:00+00:00,11.886414035607398,11.78,3,soybean_oil
53,1971-03-23 01:00:00+00:00,11.886411102466194,11.86,4,soybean_oil
54,1971-03-24 01:00:00+00:00,11.886411062031197,11.98,5,soybean_oil
55,1971-03-25 01:00:00+00:00,11.979301878928473,11.97,1,soybean_oil
56,1971-03-26 01:00:00+00:00,11.986942345196686,11.94,2,soybean_oil
57,1971-03-29 01:00:00+00:00,11.987445093025867,11.99,3,soybean_oil
58,1971-03-30 01:00:00+00:00,11.987478163673362,11.68,4,soybean_oil
59,1971-03-31 01:00:00+00:00,11.987480339008247,11.72,5,soybean_oil
60,1971-04-01 01:00:00+00:00,11.725221648737913,11.36,1,soybean_oil
61,1971-04-02 01:00:00+00:00,11.72395881095689,11.4,2,soybean_oil
62,1971-04-05 01:00:00+00:00,11.723784459305103,11.06,3,soybean_oil
63,1971-04-06 01:00:00+00:00,11.723760386455151,11.15,4,soybean_oil
64,1971-04-07 01:00:00+00:00,11.723757062676306,10.95,5,soybean_oil
65,1971-04-08 01:00:00+00:00,10.960370302011327,10.83,1,soybean_oil
66,1971-04-12 01:00:00+00:00,10.949690311484844,10.86,2,soybean_oil
67,1971-04-13 01:00:00+00:00,10.948491863992425,10.95,3,soybean_oil
68,1971-04-14 01:00:00+00:00,10.948357316317171,10.89,4,soybean_oil
69,1971-04-15 01:00:00+00:00,10.94834221006068,11.04,5,soybean_oil
70,1971-04-16 01:00:00+00:00,11.027426234126604,10.87,1,soybean_oil
71,1971-04-19 01:00:00+00:00,11.036981306361655,10.88,2,soybean_oil
72,1971-04-20 01:00:00+00:00,11.036800734544393,11.07,3,soybean_oil
73,1971-04-21 01:00:00+00:00,11.036804145514951,10.96,4,soybean_oil
74,1971-04-22 01:00:00+00:00,11.036804081081778,10.95,5,soybean_oil
