,asofdate,pnl,strategy,positionType
0,1994-02-04 14:30:00+00:00,0.0,arma_ma,long
1,1994-02-07 14:30:00+00:00,0.34375,arma_ma,long
2,1994-02-08 14:30:00+00:00,-0.25,arma_ma,long
3,1994-02-09 14:30:00+00:00,0.3125,arma_ma,long
4,1994-02-10 14:30:00+00:00,-0.21875,arma_ma,long
5,1994-02-11 14:30:00+00:00,0.0,arma_ma,no_position
6,1994-02-14 14:30:00+00:00,0.0,arma_ma,no_position
7,1994-02-15 14:30:00+00:00,0.0,arma_ma,no_position
8,1994-02-16 14:30:00+00:00,0.0,arma_ma,no_position
9,1994-02-17 14:30:00+00:00,0.0,arma_ma,no_position
10,1994-02-18 14:30:00+00:00,0.15625,arma_ma,long
11,1994-02-22 14:30:00+00:00,0.0625,arma_ma,long
12,1994-02-23 14:30:00+00:00,0.25,arma_ma,long
13,1994-02-24 14:30:00+00:00,-0.03125,arma_ma,long
14,1994-02-25 14:30:00+00:00,-0.28125,arma_ma,long
15,1994-02-28 14:30:00+00:00,0.0,arma_ma,no_position
16,1994-03-01 14:30:00+00:00,0.0,arma_ma,no_position
17,1994-03-02 14:30:00+00:00,0.0,arma_ma,no_position
18,1994-03-03 14:30:00+00:00,0.0,arma_ma,no_position
19,1994-03-04 14:30:00+00:00,0.0,arma_ma,no_position
20,1994-03-07 14:30:00+00:00,0.0,arma_ma,no_position
21,1994-03-08 14:30:00+00:00,0.0,arma_ma,no_position
22,1994-03-09 14:30:00+00:00,0.0,arma_ma,no_position
23,1994-03-10 14:30:00+00:00,0.0,arma_ma,no_position
24,1994-03-11 14:30:00+00:00,0.0,arma_ma,no_position
25,1994-03-14 14:30:00+00:00,0.25,arma_ma,long
26,1994-03-15 14:30:00+00:00,-0.1875,arma_ma,long
27,1994-03-16 14:30:00+00:00,0.21875,arma_ma,long
28,1994-03-17 14:30:00+00:00,-0.375,arma_ma,long
29,1994-03-18 14:30:00+00:00,0.25,arma_ma,long
30,1994-03-21 14:30:00+00:00,0.0625,arma_ma,long
31,1994-03-22 14:30:00+00:00,-0.03125,arma_ma,long
32,1994-03-23 14:30:00+00:00,0.375,arma_ma,long
33,1994-03-24 14:30:00+00:00,0.0,arma_ma,long
34,1994-03-25 14:30:00+00:00,-0.28125,arma_ma,long
35,1994-03-28 14:30:00+00:00,0.125,arma_ma,short
36,1994-03-29 14:30:00+00:00,-0.125,arma_ma,short
37,1994-03-30 14:30:00+00:00,0.03125,arma_ma,short
38,1994-03-31 14:30:00+00:00,0.5625,arma_ma,short
39,1994-04-04 13:30:00+00:00,0.4375,arma_ma,short
40,1994-04-05 13:30:00+00:00,-0.0625,arma_ma,short
41,1994-04-06 13:30:00+00:00,0.90625,arma_ma,short
42,1994-04-07 13:30:00+00:00,0.625,arma_ma,short
43,1994-04-08 13:30:00+00:00,-0.125,arma_ma,short
44,1994-04-11 13:30:00+00:00,0.6875,arma_ma,short
45,1994-04-12 13:30:00+00:00,0.0,arma_ma,no_position
46,1994-04-13 13:30:00+00:00,0.0,arma_ma,no_position
47,1994-04-14 13:30:00+00:00,0.0,arma_ma,no_position
48,1994-04-15 13:30:00+00:00,0.0,arma_ma,no_position
49,1994-04-18 13:30:00+00:00,0.0,arma_ma,no_position
50,1994-04-19 13:30:00+00:00,0.0625,arma_ma,short
51,1994-04-20 13:30:00+00:00,0.23449999999999704,arma_ma,short
52,1994-04-21 13:30:00+00:00,-0.015749999999997044,arma_ma,short
53,1994-04-22 13:30:00+00:00,-0.0,arma_ma,short
54,1994-04-25 13:30:00+00:00,0.2968800000000016,arma_ma,short
55,1994-04-26 13:30:00+00:00,0.0,arma_ma,no_position
56,1994-04-28 13:30:00+00:00,0.0,arma_ma,no_position
57,1994-04-29 13:30:00+00:00,0.0,arma_ma,no_position
58,1994-05-02 13:30:00+00:00,0.0,arma_ma,no_position
59,1994-05-03 13:30:00+00:00,0.0,arma_ma,no_position
60,1994-05-04 13:30:00+00:00,0.0,arma_ma,no_position
61,1994-05-05 13:30:00+00:00,0.0,arma_ma,no_position
62,1994-05-06 13:30:00+00:00,0.0,arma_ma,no_position
63,1994-05-09 13:30:00+00:00,0.0,arma_ma,no_position
64,1994-05-10 13:30:00+00:00,0.0,arma_ma,no_position
65,1994-05-11 13:30:00+00:00,0.07811999999999841,arma_ma,short
