asofdate,pnl,pointForecast,forecastday,product_name
2005-04-11 21:46:00+00:00,,1186.1680386318465,5,SPY
2005-04-18 21:46:00+00:00,4.75,1189.5534036252684,5,SPY
2005-04-25 21:46:00+00:00,34.25,1155.83625912743,5,SPY
2005-05-02 21:46:00+00:00,2.0,1153.8129331706582,5,SPY
2005-06-21 21:46:00+00:00,15.75,1212.0671722372078,5,SPY
2005-06-28 21:46:00+00:00,9.25,1221.143477814902,5,SPY
2005-07-20 21:46:00+00:00,29.0,1232.079230487942,5,SPY
2005-08-03 21:46:00+00:00,17.0,1247.619710109556,5,SPY
2005-08-17 21:46:00+00:00,0.5,1239.2399520292768,5,SPY
2005-09-15 21:46:00+00:00,26.75,1249.0129684802512,5,SPY
2005-10-13 21:46:00+00:00,34.25,1200.3199960442016,5,SPY
2005-10-20 21:46:00+00:00,10.0,1191.416796556949,5,SPY
2005-10-27 21:46:00+00:00,6.25,1184.1098923927234,5,SPY
2005-11-17 22:46:00+00:00,16.0,1238.2105957882654,5,SPY
2005-11-27 22:46:00+00:00,12.25,1250.5418725541124,5,SPY
2005-12-04 22:46:00+00:00,10.75,1261.3563451617367,5,SPY
2005-12-11 22:46:00+00:00,2.5,1263.8092651848622,5,SPY
2005-12-18 22:46:00+00:00,5.75,1269.5128262794308,5,SPY
2006-01-10 22:46:00+00:00,16.5,1280.8337899641904,5,SPY
2006-01-18 22:46:00+00:00,19.25,1300.2238302520311,5,SPY
2006-02-23 22:46:00+00:00,26.0,1292.0832909996543,5,SPY
2006-03-02 22:46:00+00:00,1.25,1293.3742691009452,5,SPY
2006-03-16 22:46:00+00:00,6.5,1293.3353947931878,5,SPY
2006-03-23 22:46:00+00:00,24.5,1318.0160385132142,5,SPY
2006-04-30 21:46:00+00:00,21.5,1316.1800498142725,5,SPY
2006-05-14 21:46:00+00:00,19.0,1327.9064931114551,5,SPY
2006-06-05 21:46:00+00:00,2.0,1262.143446976785,5,SPY
2006-06-19 21:46:00+00:00,33.25,1233.27690344733,5,SPY
2006-07-04 21:46:00+00:00,2.75,1250.0991262879504,5,SPY
2006-07-18 21:46:00+00:00,11.5,1268.5945529433786,5,SPY
2006-07-25 21:46:00+00:00,5.75,1262.629660433969,5,SPY
2006-08-22 21:46:00+00:00,27.5,1299.3780677336822,5,SPY
2006-09-06 21:46:00+00:00,7.25,1305.401851013948,5,SPY
2006-09-20 21:46:00+00:00,33.25,1330.1667723836786,5,SPY
2006-10-04 21:46:00+00:00,17.0,1347.3790906942131,5,SPY
2006-10-11 21:46:00+00:00,13.5,1361.013606339199,5,SPY
2006-10-18 21:46:00+00:00,10.0,1371.2257331157778,5,SPY
2006-10-25 21:46:00+00:00,3.5,1374.899753317067,5,SPY
2006-11-01 22:46:00+00:00,18.75,1393.852470636333,5,SPY
2006-11-15 22:46:00+00:00,12.75,1384.5191762667353,5,SPY
2006-11-23 22:46:00+00:00,21.0,1405.78938604216,5,SPY
2006-12-14 22:46:00+00:00,21.75,1423.1199152988695,5,SPY
2006-12-21 22:46:00+00:00,16.0,1438.8485953875709,5,SPY
2007-01-09 22:46:00+00:00,4.5,1425.4545595904292,5,SPY
2007-01-17 22:46:00+00:00,-0.25,1425.1224400866756,5,SPY
2007-01-24 22:46:00+00:00,8.75,1432.382860056359,5,SPY
2007-02-07 22:46:00+00:00,21.5,1451.494382675259,5,SPY
2007-02-14 22:46:00+00:00,3.25,1454.8188703919511,5,SPY
2007-02-22 22:46:00+00:00,5.5,1460.2625961982903,5,SPY
2007-03-22 21:46:00+00:00,18.5,1399.3493502286065,5,SPY
2007-04-22 21:46:00+00:00,21.0,1476.3005873739305,5,SPY
2007-04-29 21:46:00+00:00,12.75,1488.9409849893038,5,SPY
2007-05-06 21:46:00+00:00,0.25,1489.1964738506515,5,SPY
2007-05-13 21:46:00+00:00,25.75,1515.087395236828,5,SPY
2007-05-28 21:46:00+00:00,19.25,1529.13716226112,5,SPY
2007-06-11 21:46:00+00:00,11.25,1534.7965227877835,5,SPY
2007-06-25 21:46:00+00:00,41.5,1549.833165251658,5,SPY
2007-07-10 21:46:00+00:00,38.5,1537.770237998152,5,SPY
2007-07-24 21:46:00+00:00,23.75,1555.9957550582048,5,SPY
2007-08-07 21:46:00+00:00,54.75,1470.7997790397578,5,SPY
2007-08-21 21:46:00+00:00,89.5,1415.4018803726676,5,SPY
2007-09-05 21:46:00+00:00,3.25,1466.0835050342905,5,SPY
2007-10-17 21:46:00+00:00,13.0,1566.168337943083,5,SPY
2007-11-22 22:46:00+00:00,17.5,1458.2545456364005,5,SPY
2007-12-20 22:46:00+00:00,28.75,1478.7087902302237,5,SPY
2008-01-07 22:46:00+00:00,20.75,1477.4346710045843,5,SPY
2008-01-14 22:46:00+00:00,80.25,1396.914769998838,5,SPY
2008-01-22 22:46:00+00:00,9.0,1387.8229356010993,5,SPY
2008-01-29 22:46:00+00:00,46.5,1341.0995164043086,5,SPY
2008-02-12 22:46:00+00:00,20.5,1329.536496434966,5,SPY
2008-02-27 22:46:00+00:00,16.75,1346.5728632806315,5,SPY
2008-03-12 21:46:00+00:00,57.75,1307.6780489900125,5,SPY
2008-05-01 21:46:00+00:00,9.0,1396.301372673687,5,SPY
2008-05-08 21:46:00+00:00,18.75,1415.112661142237,5,SPY
2008-05-22 21:46:00+00:00,36.75,1425.1365399800222,5,SPY
2008-06-08 21:46:00+00:00,12.0,1385.0832385108192,5,SPY
2008-06-29 21:46:00+00:00,41.75,1317.7028596953303,5,SPY
2008-07-07 21:46:00+00:00,37.25,1280.2489715190238,5,SPY
2008-07-14 21:46:00+00:00,7.25,1272.7797961674958,5,SPY
2008-07-21 21:46:00+00:00,62.25,1210.2996645494518,5,SPY
2008-08-04 21:46:00+00:00,12.5,1260.8390134349636,5,SPY
2008-08-25 21:46:00+00:00,23.0,1267.9640568055834,5,SPY
2008-09-16 21:46:00+00:00,42.0,1232.4160276634195,5,SPY
2008-09-23 21:46:00+00:00,70.25,1161.8273767276703,5,SPY
2008-10-07 21:46:00+00:00,24.5,1167.1644183005078,5,SPY
2008-10-14 21:46:00+00:00,187.5,979.1895374656636,5,SPY
2008-10-21 21:46:00+00:00,77.75,901.61743292403,5,SPY
2008-10-28 21:46:00+00:00,0.5,901.0655703355718,5,SPY
2008-11-18 22:46:00+00:00,104.5,851.9444524935805,5,SPY
2008-11-25 22:46:00+00:00,41.0,810.7800981150938,5,SPY
2008-12-10 22:46:00+00:00,38.75,845.6105876105944,5,SPY
2009-01-04 22:46:00+00:00,23.5,867.1285161826656,5,SPY
2009-01-26 22:46:00+00:00,62.0,804.7177455108089,5,SPY
2009-02-09 22:46:00+00:00,7.75,829.8212586286744,5,SPY
2009-02-17 22:46:00+00:00,-4.5,825.5895193993964,5,SPY
2009-02-24 22:46:00+00:00,47.5,778.0742753713387,5,SPY
2009-03-03 22:46:00+00:00,18.0,759.7347813049961,5,SPY
2009-03-10 21:46:00+00:00,53.0,706.7621478979702,5,SPY
2009-05-06 21:46:00+00:00,21.25,868.3144613121822,5,SPY
2009-05-13 21:46:00+00:00,37.0,905.4254202095848,5,SPY
2009-06-04 21:46:00+00:00,29.25,916.3938425139656,5,SPY
2009-06-11 21:46:00+00:00,22.5,939.0068320241128,5,SPY
2009-06-18 21:46:00+00:00,0.25,939.4046894051728,5,SPY
