,asofdate,pnl,strategy,positionType
0,2017-02-05 00:00:00+00:00,,arma_threshold_ma,long
5,2017-02-10 00:00:00+00:00,0.0,arma_threshold_ma,no_position
10,2017-02-15 00:00:00+00:00,0.16999999999999993,arma_threshold_ma,long
15,2017-02-20 00:00:00+00:00,0.0,arma_threshold_ma,no_position
20,2017-02-25 00:00:00+00:00,-0.370000000000001,arma_threshold_ma,long
25,2017-03-02 00:00:00+00:00,1.040000000000001,arma_threshold_ma,long
30,2017-03-07 00:00:00+00:00,5.619999999999999,arma_threshold_ma,long
35,2017-03-12 00:00:00+00:00,-0.3099999999999987,arma_threshold_ma,long
40,2017-03-17 00:00:00+00:00,4.43,arma_threshold_ma,long
45,2017-03-22 00:00:00+00:00,0.0,arma_threshold_ma,no_position
50,2017-03-27 00:00:00+00:00,-3.25,arma_threshold_ma,long
55,2017-04-01 00:00:00+00:00,0.0,arma_threshold_ma,no_position
60,2017-04-06 00:00:00+00:00,0.0,arma_threshold_ma,no_position
65,2017-04-11 00:00:00+00:00,0.0,arma_threshold_ma,no_position
70,2017-04-16 00:00:00+00:00,0.5300000000000011,arma_threshold_ma,long
75,2017-04-21 00:00:00+00:00,4.300000000000004,arma_threshold_ma,long
80,2017-04-26 00:00:00+00:00,0.23999999999999488,arma_threshold_ma,long
85,2017-05-01 00:00:00+00:00,5.050000000000004,arma_threshold_ma,long
90,2017-05-06 00:00:00+00:00,25.929999999999993,arma_threshold_ma,long
95,2017-05-11 00:00:00+00:00,0.0,arma_threshold_ma,no_position
100,2017-05-16 00:00:00+00:00,-7.540000000000006,arma_threshold_ma,long
105,2017-05-21 00:00:00+00:00,-0.3199999999999932,arma_threshold_ma,long
110,2017-05-26 00:00:00+00:00,60.8,arma_threshold_ma,long
115,2017-05-31 00:00:00+00:00,15.02000000000001,arma_threshold_ma,long
120,2017-06-05 00:00:00+00:00,65.33999999999997,arma_threshold_ma,long
125,2017-06-10 00:00:00+00:00,18.860000000000014,arma_threshold_ma,long
130,2017-06-15 00:00:00+00:00,92.19999999999999,arma_threshold_ma,long
135,2017-06-20 00:00:00+00:00,3.509999999999991,arma_threshold_ma,long
140,2017-06-25 00:00:00+00:00,0.0,arma_threshold_ma,no_position
145,2017-06-30 00:00:00+00:00,-72.44999999999999,arma_threshold_ma,long
150,2017-07-05 00:00:00+00:00,0.0,arma_threshold_ma,no_position
155,2017-07-10 00:00:00+00:00,0.0,arma_threshold_ma,no_position
160,2017-07-15 00:00:00+00:00,0.0,arma_threshold_ma,no_position
165,2017-07-20 00:00:00+00:00,0.0,arma_threshold_ma,no_position
170,2017-07-25 00:00:00+00:00,0.0,arma_threshold_ma,no_position
175,2017-07-30 00:00:00+00:00,22.28,arma_threshold_ma,short
180,2017-08-04 00:00:00+00:00,0.0,arma_threshold_ma,no_position
185,2017-08-09 00:00:00+00:00,0.0,arma_threshold_ma,no_position
190,2017-08-14 00:00:00+00:00,0.0,arma_threshold_ma,no_position
195,2017-08-19 00:00:00+00:00,0.0,arma_threshold_ma,no_position
200,2017-08-24 00:00:00+00:00,-5.580000000000041,arma_threshold_ma,long
205,2017-08-29 00:00:00+00:00,30.980000000000018,arma_threshold_ma,long
210,2017-09-03 00:00:00+00:00,47.920000000000016,arma_threshold_ma,long
215,2017-09-08 00:00:00+00:00,0.0,arma_threshold_ma,no_position
220,2017-09-13 00:00:00+00:00,0.0,arma_threshold_ma,no_position
225,2017-09-18 00:00:00+00:00,0.0,arma_threshold_ma,no_position
230,2017-09-23 00:00:00+00:00,22.29000000000002,arma_threshold_ma,long
235,2017-09-28 00:00:00+00:00,-11.970000000000027,arma_threshold_ma,long
240,2017-10-03 00:00:00+00:00,0.0,arma_threshold_ma,no_position
245,2017-10-08 00:00:00+00:00,0.0,arma_threshold_ma,no_position
250,2017-10-13 00:00:00+00:00,0.0,arma_threshold_ma,no_position
255,2017-10-18 00:00:00+00:00,26.689999999999998,arma_threshold_ma,long
260,2017-10-23 00:00:00+00:00,22.30000000000001,arma_threshold_ma,short
265,2017-10-28 00:00:00+00:00,0.0,arma_threshold_ma,no_position
270,2017-11-02 00:00:00+00:00,-9.28000000000003,arma_threshold_ma,short
275,2017-11-07 00:00:00+00:00,-9.710000000000036,arma_threshold_ma,long
280,2017-11-12 00:00:00+00:00,0.0,arma_threshold_ma,no_position
285,2017-11-17 00:00:00+00:00,14.680000000000007,arma_threshold_ma,long
290,2017-11-22 00:00:00+00:00,25.20999999999998,arma_threshold_ma,long
295,2017-11-27 00:00:00+00:00,49.420000000000016,arma_threshold_ma,long
300,2017-12-02 00:00:00+00:00,0.0,arma_threshold_ma,no_position
305,2017-12-07 00:00:00+00:00,0.0,arma_threshold_ma,no_position
310,2017-12-12 00:00:00+00:00,-27.060000000000002,arma_threshold_ma,long
315,2017-12-17 00:00:00+00:00,253.54000000000008,arma_threshold_ma,long
320,2017-12-22 00:00:00+00:00,45.3599999999999,arma_threshold_ma,long
325,2017-12-27 00:00:00+00:00,0.0,arma_threshold_ma,no_position
330,2018-01-01 00:00:00+00:00,0.0,arma_threshold_ma,no_position
335,2018-01-06 00:00:00+00:00,19.039999999999964,arma_threshold_ma,long
340,2018-01-11 00:00:00+00:00,247.64999999999998,arma_threshold_ma,long
345,2018-01-16 00:00:00+00:00,130.33000000000004,arma_threshold_ma,long
350,2018-01-21 00:00:00+00:00,0.0,arma_threshold_ma,no_position
355,2018-01-26 00:00:00+00:00,0.0,arma_threshold_ma,no_position
360,2018-01-31 00:00:00+00:00,-1.5600000000001728,arma_threshold_ma,long
365,2018-02-05 00:00:00+00:00,0.0,arma_threshold_ma,no_position
370,2018-02-10 00:00:00+00:00,0.0,arma_threshold_ma,no_position
